,year,ppt,tmin,tmean,tmax,tdewmean,vpdmin,vpdmax,vpddiff,tdiff,yield_acre_lbs,percent_utilized,utilized_per_acre,avg_price_pound_dollars,trees_per_acre
0,1970,144.62,36.51583333333333,48.25666666666667,59.994166666666665,31.793333333333333,1.7260833333333332,15.529916666666667,13.803833333333333,23.478333333333335,23600.0,99.85632183908046,23599.32088285229,0.0507,100.0
1,1971,157.63,36.1,47.832499999999996,59.564166666666665,32.14083333333333,1.4983333333333335,14.965499999999999,13.467166666666666,23.464166666666664,19000.0,99.50248756218906,18867.924528301886,0.062,114.625
2,1972,160.07,35.93666666666666,47.559999999999995,59.19083333333333,31.82,1.5395,14.790416666666665,13.250916666666667,23.254166666666666,20400.0,99.78463747307968,20381.23167155425,0.0821,129.25
3,1973,151.75,37.214166666666664,48.848333333333336,60.475833333333334,31.831666666666667,2.0141666666666667,15.471333333333332,13.457166666666668,23.261666666666667,25800.0,100.0,25761.7728531856,0.084,143.875
4,1974,143.71,37.306666666666665,48.983333333333334,60.665,32.799166666666665,1.9251666666666667,15.160416666666666,13.23525,23.358333333333334,25000.0,100.0,25013.850415512465,0.093,158.5
5,1975,176.08,36.07666666666667,47.36,58.64333333333333,32.3125,1.6866666666666668,14.011333333333333,12.324666666666667,22.566666666666666,29600.0,100.0,29569.89247311828,0.061,173.125
6,1976,97.12,36.11083333333333,47.94166666666667,59.785833333333336,32.9525,1.4775,13.763416666666666,12.285916666666667,23.675,30100.0,100.0,30130.548302872063,0.092,187.75
7,1977,145.13,36.87166666666667,48.3425,59.810833333333335,32.25,1.9451666666666665,15.136583333333334,13.191416666666667,22.939166666666665,26400.0,100.0,26434.010152284263,0.13,202.375
8,1978,135.54,36.34916666666666,47.60583333333333,58.86083333333333,33.45,1.3751666666666666,13.350999999999999,11.975833333333332,22.511666666666667,26500.0,100.0,26518.51851851852,0.126,217.0
9,1979,127.93,36.27833333333333,48.23166666666667,60.185833333333335,32.153333333333336,1.8860833333333333,15.753833333333334,13.867750000000001,23.907500000000002,31600.0,100.0,31554.21686746988,0.127,230.0
10,1980,181.06,36.644999999999996,47.77833333333333,58.915,34.556666666666665,1.23425,12.88075,11.6465,22.27,34900.0,100.0,34941.86046511628,0.082,243.0
11,1981,151.31,37.55416666666667,49.166666666666664,60.78,33.425,1.4721666666666666,14.29225,12.820083333333335,23.225833333333334,30700.0,100.0,30666.666666666668,0.109,256.0
12,1982,170.08,35.785,47.30333333333333,58.83166666666667,31.596666666666668,1.3001666666666667,13.559416666666666,12.25925,23.046666666666667,27500.0,100.0,27526.315789473683,0.097,269.0
13,1983,213.13,37.385,48.5225,59.6625,32.41166666666667,1.3365833333333332,13.299666666666667,11.963083333333334,22.2775,30000.0,100.0,29950.980392156864,0.114,274.2
14,1984,160.72,35.6975,46.873333333333335,58.0475,30.725,1.4184166666666667,12.758083333333333,11.339666666666666,22.35,28100.0,100.0,28095.23809523809,0.111,279.4
15,1985,93.73,33.65,45.30416666666667,56.96,28.499166666666667,1.6448333333333334,13.7485,12.103666666666667,23.31,18300.0,100.0,18303.571428571428,0.17,284.6
16,1986,139.37,37.755833333333335,48.9225,60.094166666666666,33.33,1.7161666666666666,14.05625,12.340083333333332,22.33833333333333,25100.0,100.0,25079.36507936508,0.155,289.8
17,1987,125.32,38.156666666666666,50.03333333333333,61.91916666666667,33.28333333333333,1.8898333333333333,15.468833333333333,13.579,23.7625,37000.0,96.0,35555.555555555555,0.073,295.0
