Year,Month,Average Temperature
1881,Apr,49.7
1881,Aug,62.5
1881,Dec,30.9
1881,Feb,30.8
1881,Jan,41.180085949507095
1881,Jul,66.5
1881,Jun,59.9
1881,Mar,42.5
1881,May,54.0
1881,Nov,33.4
1881,Oct,43.6
1881,Sep,54.3
1882,Apr,45.2
1882,Aug,69.0
1882,Dec,34.0
1882,Feb,25.8
1882,Jan,23.0
1882,Jul,69.5
1882,Jun,65.5
1882,Mar,37.0
1882,May,54.6
1882,Nov,34.6
1882,Oct,44.7
1882,Sep,59.0
1883,Apr,45.8
1883,Aug,67.8
1883,Dec,29.1
1883,Feb,20.0
1883,Jan,23.6
1883,Jul,69.2
1883,Jun,64.4
1883,Mar,42.0
1883,May,55.2
1883,Nov,39.5
1883,Oct,44.4
1883,Sep,58.3
1884,Apr,50.6
1884,Aug,69.5
1884,Dec,15.8
1884,Feb,21.4
1884,Jan,26.4
1884,Jul,66.4
1884,Jun,66.2
1884,Mar,37.1
1884,May,60.3
1884,Nov,38.4
1884,Oct,47.6
1884,Sep,52.6
1885,Apr,50.2
1885,Aug,68.9
1885,Dec,36.1
1885,Feb,36.8
1885,Jan,22.2
1885,Jul,70.1
1885,Jun,64.0
1885,Mar,45.5
1885,May,57.1
1885,Nov,42.4
1885,Oct,49.1
1885,Sep,59.1
1886,Apr,48.3
1886,Aug,68.4
1886,Dec,36.3
1886,Feb,38.2
1886,Jan,22.9
1886,Jul,72.1
1886,Jun,64.8
1886,Mar,40.9
1886,May,58.5
1886,Nov,33.4
1886,Oct,47.9
1886,Sep,57.8
1887,Apr,48.0
1887,Aug,67.0
1887,Dec,32.3
1887,Feb,18.299999999999997
1887,Jan,31.6
1887,Jul,68.3
1887,Jun,59.7
1887,Mar,42.8
1887,May,55.1
1887,Nov,36.0
1887,Oct,45.4
1887,Sep,56.6
1888,Apr,50.9
1888,Aug,71.3
1888,Dec,33.4
1888,Feb,39.2
1888,Jan,15.999999999999996
1888,Jul,68.1
1888,Jun,61.4
1888,Mar,38.6
1888,May,58.8
1888,Nov,36.0
1888,Oct,49.4
1888,Sep,64.7
1889,Apr,52.9
1889,Aug,66.2
1889,Dec,28.200000000000003
1889,Feb,29.1
1889,Jan,24.2
1889,Jul,71.9
1889,Jun,65.2
1889,Mar,46.7
