,location,county_zone,state,date,time,timezone,type,deaths,injuries,property_damage_dollars,crop_damage_dollars
0,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-11-19,12:00:00 AM,PST,Heavy Snow,0,0,0,0
1,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1996-11-19,12:00:00 AM,PST,Heavy Snow,1,0,0,0
2,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-11-24,12:00:00 AM,PST,Heavy Snow,0,0,0,0
3,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-11-27,12:00:00 AM,PST,Heavy Snow,0,0,0,0
4,UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,1996-12-02,3:00:00 PM,PST,Heavy Snow,0,0,0,0
5,EAST YAKIMA/EAST KLICKIT...,EAST YAKIMA/EAST KLICKIT...,WA,1996-12-04,9:00:00 AM,PST,Heavy Snow,0,3,0,0
6,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-27,3:00:00 PM,PST,Heavy Snow,0,1,0,0
7,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,0,0
8,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,0,0
9,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,30000000,0
10,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-28,9:45:00 AM,PST,Heavy Snow,0,0,0,0
11,UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO…,WA,1996-12-29,3:00:00 AM,PST,Heavy Snow,0,0,0,0
12,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-12-29,3:00:00 AM,PST,Heavy Snow,0,0,0,0
13,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-29,4:30:00 PM,PST,Heavy Snow,0,0,0,0
14,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-30,6:30:00 AM,PST,Heavy Snow,0,0,0,0
15,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-01-01,12:00:00 AM,PST,Flood,0,0,0,0
16,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1997-01-01,12:00:00 AM,PST,Flood,0,0,0,0
17,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1997-01-02,1:00:00 AM,PST,Flood,0,0,0,0
18,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-01-31,8:00:00 AM,PST,Flood,0,0,0,0
19,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1997-02-17,6:00:00 PM,PST,Flood,0,0,0,0
20,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1997-03-15,11:00:00 AM,PST,Heavy Snow,0,0,0,0
21,UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,1997-03-15,11:00:00 AM,PST,Heavy Snow,0,0,0,0
22,NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1997-05-21,12:00:00 AM,PST,Flood,0,0,0,0
23,EPHRATA,GRANT CO.,WA,1997-05-31,11:10:00 AM,PST,Heavy Rain,0,0,0,0
24,WILSON CREEK,GRANT CO.,WA,1997-05-31,11:40:00 AM,PST,Heavy Rain,0,0,0,0
25,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-06-12,7:00:00 AM,PST,Flood,0,0,0,0
26,BERRIAN,BENTON CO.,WA,1997-08-26,3:30:00 PM,PST,Wildfire,0,0,0,0
27,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-01-03,8:00:00 AM,PST,Winter Storm,0,0,0,0
28,NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1998-01-07,1:00:00 AM,PST,Heavy Snow,0,0,0,0
29,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-01-10,12:00:00 PM,PST,Heavy Snow,0,0,0,0
30,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0,0
31,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0,0
