,year,month,excessive_heat,frost_freeze,heavy_snow,heavy_rain,dense_smoke
0,2000,01,0.0,0.0,2.0,0.0,0.0
1,2000,02,0.0,0.0,2.0,0.0,0.0
2,2000,03,0.0,0.0,3.0,0.0,0.0
3,2000,04,0.0,0.0,0.0,0.0,0.0
4,2000,05,0.0,0.0,1.0,1.0,0.0
5,2000,06,0.0,0.0,0.0,0.0,0.0
6,2000,07,0.0,0.0,0.0,0.0,0.0
7,2000,08,0.0,0.0,0.0,0.0,0.0
8,2000,09,0.0,0.0,0.0,0.0,0.0
9,2000,10,0.0,0.0,0.0,1.0,0.0
10,2000,11,0.0,0.0,3.0,0.0,0.0
11,2000,12,0.0,0.0,4.0,0.0,0.0
12,2001,01,0.0,0.0,3.0,0.0,0.0
13,2001,02,0.0,0.0,2.0,0.0,0.0
14,2001,03,0.0,0.0,0.0,0.0,0.0
15,2001,04,0.0,0.0,2.0,0.0,0.0
16,2001,05,0.0,0.0,0.0,0.0,0.0
17,2001,06,0.0,0.0,0.0,1.0,0.0
18,2001,07,0.0,0.0,0.0,0.0,0.0
19,2001,08,0.0,0.0,0.0,0.0,0.0
20,2001,09,0.0,0.0,0.0,0.0,0.0
21,2001,10,0.0,0.0,1.0,0.0,0.0
22,2001,11,0.0,0.0,2.0,0.0,0.0
23,2001,12,0.0,0.0,4.0,0.0,0.0
24,2002,01,0.0,0.0,2.0,0.0,0.0
25,2002,02,0.0,0.0,2.0,0.0,0.0
26,2002,03,0.0,0.0,4.0,0.0,0.0
27,2002,04,0.0,0.0,0.0,0.0,0.0
28,2002,05,0.0,0.0,0.0,0.0,0.0
29,2002,06,0.0,0.0,0.0,0.0,0.0
30,2002,07,0.0,0.0,0.0,0.0,0.0
31,2002,08,0.0,0.0,0.0,0.0,0.0
32,2002,09,0.0,0.0,0.0,0.0,0.0
33,2002,10,0.0,0.0,0.0,0.0,0.0
34,2002,11,0.0,0.0,2.0,0.0,0.0
35,2002,12,0.0,0.0,4.0,0.0,0.0
36,2003,01,0.0,0.0,4.0,0.0,0.0
37,2003,02,0.0,1.0,0.0,0.0,0.0
38,2003,03,0.0,0.0,3.0,0.0,0.0
39,2003,04,0.0,0.0,0.0,0.0,0.0
40,2003,05,0.0,0.0,0.0,0.0,0.0
41,2003,06,0.0,0.0,0.0,1.0,0.0
42,2003,07,0.0,0.0,0.0,0.0,0.0
43,2003,08,0.0,0.0,0.0,0.0,0.0
44,2003,09,0.0,0.0,0.0,0.0,0.0
45,2003,10,0.0,0.0,0.0,0.0,0.0
46,2003,11,0.0,0.0,3.0,0.0,0.0
47,2003,12,0.0,0.0,4.0,0.0,0.0
48,2004,01,0.0,0.0,3.0,0.0,0.0
49,2004,02,0.0,0.0,2.0,0.0,0.0
50,2004,03,0.0,0.0,1.0,0.0,0.0
51,2004,04,0.0,0.0,0.0,0.0,0.0
52,2004,05,0.0,0.0,0.0,0.0,0.0
53,2004,06,0.0,0.0,0.0,0.0,0.0
54,2004,07,0.0,0.0,0.0,0.0,0.0
55,2004,08,0.0,0.0,0.0,1.0,0.0
56,2004,09,0.0,0.0,0.0,0.0,0.0
57,2004,10,0.0,0.0,0.0,0.0,0.0
58,2004,11,0.0,0.0,0.0,0.0,0.0
59,2004,12,0.0,0.0,5.0,0.0,0.0
60,2005,01,0.0,0.0,4.0,0.0,0.0
61,2005,02,0.0,0.0,0.0,0.0,0.0
62,2005,03,0.0,0.0,0.0,0.0,0.0
63,2005,04,0.0,2.0,0.0,0.0,0.0
64,2005,05,0.0,0.0,0.0,0.0,0.0
65,2005,06,0.0,0.0,0.0,0.0,0.0
66,2005,07,0.0,0.0,0.0,0.0,0.0
67,2005,08,0.0,0.0,0.0,0.0,0.0
68,2005,09,0.0,0.0,0.0,0.0,0.0
69,2005,10,0.0,0.0,0.0,0.0,0.0
70,2005,11,0.0,0.0,4.0,0.0,0.0
71,2005,12,0.0,0.0,3.0,0.0,0.0
72,2006,01,0.0,0.0,2.0,0.0,0.0
73,2006,02,0.0,0.0,1.0,0.0,0.0
74,2006,03,0.0,0.0,0.0,0.0,0.0
75,2006,04,0.0,0.0,0.0,0.0,0.0
76,2006,05,0.0,0.0,0.0,0.0,0.0
77,2006,06,0.0,0.0,0.0,0.0,0.0
78,2006,07,0.0,0.0,0.0,0.0,0.0
79,2006,08,0.0,0.0,0.0,0.0,0.0
80,2006,09,0.0,0.0,0.0,0.0,0.0
81,2006,10,0.0,0.0,0.0,0.0,0.0
82,2006,11,0.0,0.0,4.0,1.0,0.0
83,2006,12,0.0,0.0,6.0,0.0,0.0
84,2007,01,0.0,0.0,3.0,0.0,0.0
85,2007,02,0.0,0.0,2.0,0.0,0.0
86,2007,03,0.0,0.0,0.0,0.0,0.0
87,2007,04,0.0,0.0,0.0,0.0,0.0
88,2007,05,0.0,0.0,0.0,0.0,0.0
89,2007,06,0.0,0.0,0.0,0.0,0.0
90,2007,07,0.0,0.0,0.0,0.0,0.0
91,2007,08,0.0,0.0,0.0,0.0,0.0
92,2007,09,0.0,0.0,0.0,0.0,0.0
93,2007,10,0.0,0.0,1.0,0.0,0.0
94,2007,11,0.0,0.0,2.0,0.0,0.0
95,2007,12,0.0,0.0,6.0,0.0,0.0
96,2008,01,0.0,0.0,6.0,0.0,0.0
97,2008,02,0.0,0.0,1.0,0.0,0.0
98,2008,03,0.0,0.0,3.0,0.0,0.0
99,2008,04,0.0,1.0,0.0,0.0,0.0
100,2008,05,0.0,0.0,0.0,0.0,0.0
101,2008,06,1.0,0.0,1.0,0.0,0.0
102,2008,07,0.0,0.0,0.0,0.0,0.0
103,2008,08,1.0,0.0,0.0,0.0,0.0
104,2008,09,0.0,0.0,0.0,0.0,0.0
105,2008,10,0.0,0.0,0.0,0.0,0.0
106,2008,11,0.0,0.0,0.0,0.0,0.0
107,2008,12,0.0,0.0,7.0,0.0,0.0
108,2009,01,0.0,0.0,2.0,1.0,0.0
109,2009,02,0.0,0.0,0.0,0.0,0.0
110,2009,03,0.0,0.0,1.0,0.0,0.0
111,2009,04,0.0,0.0,1.0,0.0,0.0
112,2009,05,0.0,0.0,0.0,0.0,0.0
113,2009,06,0.0,0.0,0.0,1.0,0.0
114,2009,07,0.0,0.0,0.0,0.0,0.0
115,2009,08,0.0,0.0,0.0,0.0,0.0
116,2009,09,0.0,0.0,0.0,0.0,0.0
