,Probability,24F or lower,28F or lower,32F or lower
0,Last freezing temperature in spring:,,,
1,1 yr in 10 later than,May 4,May 17,May 27
2,2 yr in 10 later than,April 25,May 11,May 22
3,5 yr in 10 later than,April 7,April 29,May 12
4,First freezing temperature in fall:,April 7,April 29,May 12
5,1 yr in 10 earlier than,October 8,September 27,September 13
6,2 yr in 10 earlier than,October 14,October 2,September 18
7,5 yr in 10 earlier than,October 26,October 11,September 28
0,Last freezing temperature in spring:,October 26,October 11,September 28
1,1 yr in 10 later than,May 4,May 17,May 27
2,2 yr in 10 later than,April 25,May 11,May 22
3,5 yr in 10 later than,April 7,April 29,May 12
4,First freezing temperature in fall:,April 7,April 29,May 12
5,1 yr in 10 earlier than,October 8,September 27,September 13
6,2 yr in 10 earlier than,October 14,October 2,September 18
7,5 yr in 10 earlier than,October 26,October 11,September 28
0,Last freezing temperature in spring:,October 26,October 11,September 28
1,1 yr in 10 later than,October 26,October 11,September 28
2,2 yr in 10 later than,October 26,October 11,September 28
3,5 yr in 10 later than,October 26,October 11,September 28
4,First freezing temperature in fall:,October 26,October 11,September 28
5,1 yr in 10 earlier than,October 26,October 11,September 28
6,2 yr in 10 earlier than,October 26,October 11,September 28
7,5 yr in 10 earlier than,October 26,October 11,September 28
0,Last freezing temperature in spring:,October 26,October 11,September 28
1,1 yr in 10 later than,March 14,April 5,April 20
2,2 yr in 10 later than,March 5,March 28,April 13
3,5 yr in 10 later than,February 17,March 13,April 1
4,First freezing temperature in fall:,February 17,March 13,April 1
5,1 yr in 10 earlier than,October 27,October 18,October 10
6,2 yr in 10 earlier than,November 6,October 26,October 15
7,5 yr in 10 earlier than,November 25,November 12,October 25
0,Last freezing temperature in spring:,November 25,November 12,October 25
1,1 yr in 10 later than,April 20,May 8,May 19
2,2 yr in 10 later than,April 11,May 2,May 15
3,5 yr in 10 later than,March 25,April 21,May 6
4,First freezing temperature in fall:,March 25,April 21,May 6
5,1 yr in 10 earlier than,October 14,October 1,September 20
6,2 yr in 10 earlier than,October 19,October 6,September 24
7,5 yr in 10 earlier than,October 29,October 15,October 1
0,Last freezing temperature in spring:,October 29,October 15,October 1
1,1 yr in 10 later than,March 9,April 15,May 17
2,2 yr in 10 later than,February 23,April 4,May 10
3,5 yr in 10 later than,January 30,March 15,April 28
4,First freezing temperature in fall:,January 30,March 15,April 28
5,1 yr in 10 earlier than,November 13,October 22,October 9
6,2 yr in 10 earlier than,November 25,November 1,October 15
7,5 yr in 10 earlier than,December 19,November 21,October 26
0,Last freezing temperature in spring:,December 19,November 21,October 26
1,1 yr in 10 later than,March 6,April 17,May 11
2,2 yr in 10 later than,February 25,April 8,May 4
3,5 yr in 10 later than,February 9,March 21,April 23
4,First freezing temperature in fall:,February 9,March 21,April 23
5,1 yr in 10 earlier than,November 3,October 16,September 28
6,2 yr in 10 earlier than,November 12,October 23,October 3
7,5 yr in 10 earlier than,November 30,November 7,October 13
0,Last freezing temperature in spring:,November 30,November 7,October 13
1,1 yr in 10 later than,March 26,April 29,May 30
2,2 yr in 10 later than,March 19,April 21,May 20
3,5 yr in 10 later than,March 4,April 5,April 29
4,First freezing temperature in fall:,March 4,April 5,April 29
5,1 yr in 10 earlier than,October 13,September 28,September 17
6,2 yr in 10 earlier than,October 24,October 7,September 24
7,5 yr in 10 earlier than,November 12,October 23,October 8
0,Last freezing temperature in spring:,November 12,October 23,October 8
1,1 yr in 10 later than,November 12,October 23,October 8
2,2 yr in 10 later than,November 12,October 23,October 8
