Year,Month,Highest Temperature
1891,Apr,71.58559437561266
1891,Aug,98.0
1891,Dec,51.0
1891,Feb,71.58559437561266
1891,Jan,71.58559437561266
1891,Jul,102.5
1891,Jun,71.58559437561266
1891,Mar,71.58559437561266
1891,May,71.58559437561266
1891,Nov,65.0
1891,Oct,81.66666666666667
1891,Sep,89.0
1892,Apr,68.0
1892,Aug,91.0
1892,Dec,71.58559437561266
1892,Feb,65.0
1892,Jan,49.666666666666664
1892,Jul,88.0
1892,Jun,98.0
1892,Mar,69.0
1892,May,84.5
1892,Nov,71.58559437561266
1892,Oct,76.0
1892,Sep,83.5
1893,Apr,67.8
1893,Aug,95.66666666666667
1893,Dec,51.666666666666664
1893,Feb,46.333333333333336
1893,Jan,46.26666666666667
1893,Jul,93.2
1893,Jun,85.8
1893,Mar,56.25
1893,May,78.2
1893,Nov,59.25
1893,Oct,70.2
1893,Sep,85.33333333333333
1894,Apr,75.5
1894,Aug,96.4
1894,Dec,45.0
1894,Feb,50.75
1894,Jan,49.75
1894,Jul,95.6
1894,Jun,87.0
1894,Mar,64.0
1894,May,89.25
1894,Nov,58.333333333333336
1894,Oct,70.0
1894,Sep,86.8
1895,Apr,80.0
1895,Aug,97.33333333333333
1895,Dec,54.0
1895,Feb,58.0
1895,Jan,51.0
1895,Jul,96.33333333333333
1895,Jun,94.33333333333333
1895,Mar,62.666666666666664
1895,May,83.5
1895,Nov,61.2
1895,Oct,76.0
1895,Sep,84.0
1896,Apr,67.0
1896,Aug,92.66666666666667
1896,Dec,53.25
1896,Feb,58.75
1896,Jan,51.75
1896,Jul,94.75
1896,Jun,96.25
1896,Mar,66.0
1896,May,81.5
1896,Nov,61.25
1896,Oct,73.0
1896,Sep,87.33333333333333
1897,Apr,81.0
1897,Aug,99.25
1897,Dec,54.4
1897,Feb,51.5
1897,Jan,54.666666666666664
1897,Jul,89.25
1897,Jun,84.4
1897,Mar,56.0
1897,May,90.6
1897,Nov,62.6
1897,Oct,76.8
1897,Sep,84.6
1898,Apr,76.2
1898,Aug,99.0
1898,Dec,51.75
1898,Feb,59.4
1898,Jan,46.8
1898,Jul,95.66666666666667
1898,Jun,90.6
1898,Mar,60.8
1898,May,84.33333333333333
1898,Nov,60.0
1898,Oct,70.33333333333333
1898,Sep,87.5
1899,Apr,71.0
1899,Aug,86.0
1899,Dec,54.875
1899,Feb,56.0
1899,Jan,57.166666666666664
1899,Jul,96.42857142857143
1899,Jun,83.16666666666667
1899,Mar,59.4
1899,May,75.0
1899,Nov,61.857142857142854
1899,Oct,76.85714285714286
1899,Sep,86.85714285714286
1900,Apr,83.125
1900,Aug,88.85714285714286
1900,Dec,55.42857142857143
1900,Feb,55.57142857142857
1900,Jan,55.625
1900,Jul,94.375
1900,Jun,91.25
1900,Mar,70.25
1900,May,82.625
1900,Nov,59.5
1900,Oct,71.75
1900,Sep,85.42857142857143
1901,Apr,69.28571428571429
1901,Aug,96.375
1901,Dec,52.166666666666664
1901,Feb,59.125
1901,Jan,51.625
1901,Jul,88.57142857142857
1901,Jun,88.0
1901,Mar,66.5
1901,May,84.85714285714286
1901,Nov,62.833333333333336
1901,Oct,78.83333333333333
1901,Sep,80.66666666666667
1902,Apr,68.5
1902,Aug,91.77142857142857
1902,Dec,45.0125
1902,Feb,56.625
1902,Jan,54.833333333333336
1902,Jul,88.38571428571429
1902,Jun,84.94444444444444
1902,Mar,59.114285714285714
1902,May,83.0
1902,Nov,52.125
1902,Oct,74.97142857142856
1902,Sep,86.16666666666667
1903,Apr,66.375
1903,Aug,89.43333333333334
1903,Dec,48.18571428571429
1903,Feb,51.471428571428575
1903,Jan,46.93333333333334
1903,Jul,89.53333333333333
1903,Jun,90.86666666666666
1903,Mar,61.544444444444444
1903,May,81.73333333333333
1903,Nov,61.0375
1903,Oct,71.475
1903,Sep,78.84444444444445
1904,Apr,80.66666666666667
1904,Aug,97.85714285714286
1904,Dec,52.285714285714285
1904,Feb,50.57142857142857
1904,Jan,49.3625
1904,Jul,97.57142857142857
1904,Jun,94.28571428571429
1904,Mar,55.57142857142857
1904,May,81.66666666666667
1904,Nov,66.16666666666667
1904,Oct,82.42857142857143
1904,Sep,90.42857142857143
1905,Apr,80.21000000000001
1905,Aug,93.27777777777777
1905,Dec,45.733333333333334
1905,Feb,59.333333333333336
1905,Jan,48.900000000000006
