year,season,average_temperature,highest_temperature,lowest_temperature,precipitation_(inches),temperature_difference,snowfall_(inches)
1891,Fall,44.450683308215815,87.0,25.811499183206493,1.4578768038088419,61.18850081679351,0.0
1891,Spring,37.14534907369412,71.89820221000959,25.811499183206493,2.7236304114265257,46.08670302680309,1.0
1891,Summer,49.926995780095716,100.0,25.811499183206493,1.355290730522364,74.1885008167935,0.0
1891,Winter,35.16984189134479,71.89820221000959,14.0,4.105753607617684,57.898202210009586,38.8
1892,Fall,45.37632895338796,86.0,25.811499183206493,1.7578768038088417,60.18850081679351,0.0
1892,Spring,46.55529429982115,86.0,29.0,3.0337738872656024,57.0,1.0
1892,Summer,51.03801566607168,98.0,37.0,1.2630442053319084,61.0,0.0
1892,Winter,33.13132563700477,76.98029524942523,4.0,2.4678768038088417,72.98029524942523,49.8
1893,Fall,20.28920399285699,93.0,-1.0,5.869618323643672,94.0,20.5
1893,Spring,22.318351314247924,76.0,8.11816041164921,12.34,67.88183958835079,33.7
1893,Summer,28.383484082580264,97.0,33.0,0.9600000000000001,64.0,0.0
1893,Winter,3.2557937750295913,62.782763037520866,-25.0,7.559636933300144,87.78276303752087,64.3
1894,Fall,21.77277383399932,89.0,16.0,4.73,73.0,6.0
1894,Spring,21.518505152276948,91.0,12.209284313871038,6.96,78.79071568612896,19.0
1894,Summer,36.94448263854821,98.0,31.0,2.8514459170959805,67.0,0.0
1894,Winter,9.711669322380878,52.0,-8.0,9.5548237967054,60.0,72.3
1895,Fall,19.469715622673963,86.0,11.0,2.5315341547714962,75.0,6.0
1895,Spring,26.602593945996478,84.0,4.0,4.107876803808842,80.0,6.5
1895,Summer,48.31397221903839,98.0,36.0,2.6141369447738017,62.0,0.0
1895,Winter,12.087943863944169,59.0,-2.0,10.76,61.0,76.0
1896,Fall,17.007796657469207,88.0,-21.0,9.440000000000001,109.0,32.5
1896,Spring,17.941401094324007,79.0,-1.0,8.914986535278445,80.0,16.1
1896,Summer,37.29865631663268,101.0,32.0,1.6936131100048093,69.0,0.0
1896,Winter,23.10143630349894,54.0,-3.0,9.922380094695615,57.0,75.0
1897,Fall,19.32294596758061,85.0,-10.0,8.030000000000001,95.0,33.0
1897,Spring,18.234974713853248,96.0,-10.0,6.288579756374233,106.0,16.0
1897,Summer,27.26935504789785,102.0,30.0,3.75,72.0,0.0
1897,Winter,10.878265959784045,50.0,-12.0,12.684583965475502,62.0,131.0
1898,Fall,24.928230586496312,83.0,8.0,5.657864699549175,75.0,19.5
1898,Spring,27.773164825194954,82.0,5.0,2.9637319931524533,77.0,4.0
1898,Summer,28.912026336930705,103.0,32.0,5.4562345188552435,71.0,0.0
1898,Winter,14.486210821550216,55.0,-6.0,6.992559143843368,61.0,43.5
1899,Fall,26.907922955148535,90.0,18.0,9.719999999999999,72.0,2.5
1899,Spring,21.720601034350278,81.0,12.0,1.94,69.0,4.5
1899,Summer,26.388401268482664,103.0,33.0,3.67,70.0,0.0
1899,Winter,5.924710966487571,66.0,-18.0,11.200000000000001,84.0,96.0
