Year,Month,Snowfall (inches)
1899,Apr,20.0
1899,Aug,30.0
1899,Dec,10.0
1899,Feb,-12.999999999999998
1899,Jan,-6.999999999999998
1899,Jul,33.0
1899,Jun,32.0
1899,Mar,15.0
1899,May,27.0
1899,Nov,28.0
1899,Oct,13.0
1899,Season,14.100009474274248
1899,Sep,27.0
1900,Apr,20.0
1900,Aug,38.0
1900,Dec,5.0
1900,Feb,-7.999999999999998
1900,Jan,9.0
1900,Jul,35.0
1900,Jun,31.0
1900,Mar,21.0
1900,May,29.0
1900,Nov,-5.999999999999998
1900,Oct,26.0
1900,Season,14.100009474274248
1900,Sep,28.0
1901,Apr,22.0
1901,Aug,38.0
1901,Dec,9.0
1901,Feb,6.0
1901,Jan,8.0
1901,Jul,35.0
1901,Jun,31.0
1901,Mar,19.0
1901,May,27.0
1901,Nov,26.0
1901,Oct,24.0
1901,Season,14.100009474274248
1901,Sep,22.0
1902,Apr,25.0
1902,Aug,35.0
1902,Dec,3.0
1902,Feb,5.0
1902,Jan,-10.999999999999998
1902,Jul,34.0
1902,Jun,30.0
1902,Mar,19.0
1902,May,28.0
1902,Nov,18.0
1902,Oct,24.0
1902,Season,14.100009474274248
1902,Sep,26.0
1903,Apr,21.0
1903,Aug,35.0
1903,Dec,13.0
1903,Feb,-8.999999999999998
1903,Jan,8.0
1903,Jul,36.0
1903,Jun,35.0
1903,Mar,11.0
1903,May,20.0
1903,Nov,10.0
1903,Oct,24.0
1903,Season,14.100009474274248
1903,Sep,25.0
1904,Apr,21.0
1904,Aug,30.0
1904,Dec,17.0
1904,Feb,4.0
1904,Jan,7.0
1904,Jul,38.0
1904,Jun,28.0
1904,Mar,4.0
1904,May,26.0
1904,Nov,22.0
1904,Oct,24.0
1904,Season,14.100009474274248
1904,Sep,25.0
1905,Apr,20.0
1905,Aug,33.0
1905,Dec,5.0
1905,Feb,-12.999999999999998
1905,Jan,-5.999999999999998
1905,Jul,39.0
1905,Jun,35.0
1905,Mar,23.0
1905,May,24.0
1905,Nov,18.0
1905,Oct,12.0
1905,Season,14.100009474274248
1905,Sep,25.0
1906,Apr,18.0
1906,Aug,35.0
1906,Dec,12.0
1906,Feb,11.0
1906,Jan,5.0
1906,Jul,42.0
1906,Jun,29.0
1906,Mar,0.0
1906,May,26.0
1906,Nov,15.0
1906,Oct,19.0
