,Year,County,Month,Average_Temperature,Highest_Temperature,Lowest_Temperature,Precipitation_(inches),Temperature_difference,Snowfall_(inches)
0,1931,Adams,Jan,33.9,58.0,15.0,1.48,43.0,1.6
1,1932,Adams,Jan,21.14805174371177,53.59912438799466,8.0,0.88,45.59912438799466,6.8
2,1933,Adams,Jan,31.7,53.0,10.0,0.84,43.0,9.2
3,1934,Adams,Jan,37.6,56.0,22.0,1.04,34.0,0.4
4,1935,Adams,Jan,2.0829477104498153,33.30625427222859,-13.0,0.49,46.30625427222859,5.2
5,1936,Adams,Jan,31.7,48.0,1.0,1.97,47.0,6.9
6,1937,Adams,Jan,10.8,37.0,-14.0,0.58,51.0,6.9
7,1938,Adams,Jan,25.552445675669038,59.30205597299859,13.0,0.73,46.30205597299859,1.1
8,1939,Adams,Jan,30.029059644366882,64.53858801843138,18.0,0.71,46.53858801843138,0.5
9,1940,Adams,Jan,30.0,51.0,11.0,1.16,40.0,5.1
10,1941,Adams,Jan,30.5,48.0,9.0,2.49,39.0,11.2
11,1942,Adams,Jan,22.1,45.0,-8.0,0.84,53.0,2.9
12,1943,Adams,Jan,22.0,46.0,-8.0,0.47,54.0,8.9
13,1944,Adams,Jan,30.0,49.0,9.0,0.69,40.0,2.4
14,1945,Adams,Jan,33.0,56.0,20.0,1.07,36.0,0.5
15,1946,Adams,Jan,29.153736245417008,63.362124813771274,17.0,0.75,46.362124813771274,2.2
16,1947,Adams,Jan,10.071966049830309,43.176885360983164,-4.0,0.33,47.176885360983164,3.0
17,1948,Adams,Jan,25.17710714646159,54.89667287899986,12.0,1.67,42.89667287899986,2.7
18,1949,Adams,Jan,10.1,38.0,-14.0,0.09,52.0,2.8
19,1950,Adams,Jan,10.9,43.0,-23.0,1.66,66.0,31.4
20,1951,Adams,Jan,29.9,48.0,1.0,0.94,47.0,6.3
21,1952,Adams,Jan,23.3,45.0,-10.0,0.8,55.0,7.2
22,1953,Adams,Jan,39.3,56.0,24.0,2.35,32.0,0.3
23,1954,Adams,Jan,27.6,51.0,-9.0,1.19,60.0,8.3
24,1955,Adams,Jan,28.3,43.0,10.0,0.65,33.0,5.6
25,1956,Adams,Jan,30.9,50.0,-12.0,1.88,62.0,10.1
26,1957,Adams,Jan,15.6,39.0,-26.0,0.66,65.0,10.0
27,1958,Adams,Jan,35.6,54.0,17.0,2.01,37.0,1.0
28,1959,Adams,Jan,31.9,57.0,-4.0,2.88,61.0,7.0
29,1960,Adams,Jan,22.5,52.0,-2.0,0.4,54.0,2.7
30,1961,Adams,Jan,32.9,55.0,14.0,0.57,41.0,3.0
31,1962,Adams,Jan,28.5,55.0,-1.0,0.23,56.0,0.5
32,1963,Adams,Jan,24.0,50.0,-6.0,0.35,56.0,4.0
33,1964,Adams,Jan,33.3,48.0,19.0,0.97,29.0,8.0
34,1965,Adams,Jan,30.6,51.0,13.0,0.94,38.0,8.0
35,1966,Adams,Jan,33.2,51.0,12.0,0.61,39.0,2.0
36,1967,Adams,Jan,37.3,58.0,20.0,1.1,38.0,1.0
37,1968,Adams,Jan,33.4,55.0,7.0,0.61,48.0,1.0
38,1969,Adams,Jan,17.7,40.0,-18.0,1.25,58.0,16.0
39,1970,Adams,Jan,29.6,45.0,8.0,2.89,37.0,6.0
40,1971,Adams,Jan,34.1,62.0,8.0,0.89,54.0,4.0
41,1972,Adams,Jan,28.1,53.0,-7.0,0.37,60.0,4.0
42,1973,Adams,Jan,30.3,54.0,1.0,1.0,53.0,3.0
43,1974,Adams,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,3.0
44,1975,Adams,Jan,37.14534907369412,71.89820221000959,25.811499183206493,0.9078768038088418,46.08670302680309,3.0
