"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1893","M","M","M","44.8","54.3","58.9","M","M","59.7","49.5","39.2","39.5","M"
"1894","33.4","32.1","42.5","M","M","61.9","73.1","73.4","59.3","M","M","M","M"
"1895","M","M","M","53.3","M","M","M","69.4","54.8","51.3","38.7","M","M"
"1896","M","M","M","M","M","M","M","M","M","M","34.0","39.7","M"
"1897","31.2","38.0","37.9","51.9","62.1","62.5","M","72.9","60.0","51.3","M","34.3","M"
"1898","31.0","43.7","39.8","52.2","55.6","63.0","M","M","61.1","49.8","38.0","26.2","M"
"1899","34.8","29.0","40.4","M","51.9","59.1","69.1","62.0","62.3","46.8","47.3","37.2","M"
"1900","39.6","32.9","47.7","51.4","58.5","66.6","68.2","70.2","M","51.4","40.1","39.1","M"
"1901","30.9","33.1","M","46.2","57.5","58.2","68.4","M","M","M","M","M","M"
"1902","31.6","39.3","M","48.5","53.8","62.3","M","M","M","M","M","M","M"
"1903","M","M","42.3","47.3","55.6","67.7","66.3","66.5","59.4","53.4","42.4","34.0","M"
"1904","37.5","38.3","40.1","53.7","M","62.3","68.8","71.9","64.7","54.7","47.1","37.3","M"
"1905","34.2","M","46.5","52.2","53.9","62.1","72.2","68.6","62.1","47.0","41.3","34.7","M"
"1906","38.0","38.2","40.3","54.1","55.7","60.8","76.9","69.2","M","M","M","M","M"
"1907","M","M","M","M","58.1","60.5","68.5","64.0","59.4","55.6","44.0","38.1","M"
"1908","35.9","M","M","M","54.4","M","M","M","62.9","51.0","45.4","33.7","M"
"1909","26.0","40.4","44.8","46.9","54.5","63.2","66.9","67.8","62.4","52.0","43.5","27.7","49.7"
"1910","30.3","29.0","49.7","M","60.2","62.6","70.6","69.0","62.1","56.7","42.4","36.5","M"
"1911","34.7","30.6","46.0","48.5","53.6","62.9","71.4","66.8","57.2","50.8","39.5","35.6","M"
"1912","33.0","38.6","39.6","49.1","57.3","63.6","68.0","65.4","58.1","47.8","44.2","36.5","50.1"
"1913","30.6","28.5","39.6","50.4","57.7","62.7","68.8","71.0","61.7","48.1","43.9","30.9","49.6"
"1914","42.5","35.0","46.1","50.4","57.9","60.9","73.5","70.4","58.9","51.4","42.3","26.5","51.5"
"1915","30.4","41.8","47.6","54.1","57.3","63.8","M","75.2","59.5","M","40.2","37.2","M"
"1916","17.8","32.0","44.9","50.9","53.8","63.3","69.0","71.7","62.4","51.0","35.3","30.0","M"
"1917","32.5","35.0","37.1","47.2","56.5","62.6","73.8","75.0","M","55.0","46.1","43.7","M"
"1918","38.3","36.4","46.5","50.9","52.5","70.1","72.3","68.2","67.3","56.8","40.3","35.4","M"
"1919","36.6","36.0","45.3","52.9","57.0","62.1","73.3","72.9","61.5","47.2","38.0","22.8","M"
"1920","31.1","36.6","41.9","46.8","54.2","62.6","74.0","71.7","61.2","51.5","40.9","38.1","M"
"1921","36.1","39.8","45.8","49.2","58.3","67.4","70.0","70.7","57.0","55.4","42.6","30.4","M"
"1922","24.3","31.7","41.3","46.8","57.0","71.8","75.6","69.5","65.5","53.6","35.1","30.1","M"
"1923","38.0","27.6","43.6","51.1","56.4","60.6","70.7","68.4","62.2","M","40.8","M","M"
"1924","27.2","44.0","40.9","48.7","63.3","65.0","M","66.3","60.9","51.5","38.0","25.8","M"
"1925","39.9","43.7","44.3","53.2","59.4","65.8","74.0","67.7","60.2","49.6","40.0","38.4","M"
"1926","33.6","44.2","46.6","55.9","57.3","67.8","72.6","70.2","55.2","52.9","42.7","34.7","M"
"1927","29.5","39.8","42.1","48.5","52.5","64.3","70.4","69.2","57.2","52.1","44.8","28.4","50.0"
"1928","31.4","35.3","45.4","47.7","62.1","63.8","71.9","67.9","60.9","51.6","41.3","32.0","M"
"1929","20.7","23.2","44.8","46.5","58.9","M","68.6","71.7","M","52.6","38.9","39.3","M"
"1930","11.9","42.9","44.5","55.1","54.7","61.8","70.6","71.8","62.3","46.6","38.1","30.7","M"
"1931","M","36.6","43.9","49.0","59.7","64.2","71.3","69.9","59.6","50.1","35.5","31.8","M"
"1932","32.0","33.1","42.2","50.5","55.9","64.8","67.7","67.8","61.9","52.1","45.4","29.0","M"
"1933","35.0","29.2","43.8","49.1","52.2","62.9","70.4","70.1","58.2","55.7","41.4","42.0","M"
"1934","42.4","41.8","49.7","57.7","60.8","65.1","70.4","71.7","59.7","53.5","44.9","35.4","M"
"1935","35.0","38.0","40.1","46.8","M","64.4","69.8","68.9","65.4","53.6","35.8","32.2","M"
"1936","35.6","21.0","42.8","54.7","62.8","66.3","71.0","70.2","60.9","54.2","35.6","38.5","M"
"1937","15.5","34.6","46.0","48.2","58.3","65.0","73.1","66.9","63.6","55.3","45.0","37.2","50.9"
"1938","34.4","36.5","43.5","50.9","56.9","66.3","73.2","67.1","67.3","53.2","37.5","36.1","51.9"
"1939","38.9","34.1","45.0","52.4","58.6","60.8","71.7","71.2","63.5","52.8","44.6","41.1","M"
"1940","33.0","40.9","47.7","51.0","61.1","67.8","70.8","70.1","64.6","54.9","34.8","35.8","M"
"1941","34.2","40.7","47.8","53.0","56.0","61.6","73.6","69.7","58.0","48.9","44.4","37.9","52.2"
"1942","21.4","35.6","43.8","52.3","54.5","60.6","71.9","72.5","64.2","53.7","39.7","37.9","M"
"1943","26.1","37.1","40.6","53.1","53.5","60.5","71.2","67.9","65.0","52.9","39.1","32.5","M"
"1944","32.9","35.7","41.1","50.8","57.9","63.2","71.3","69.5","65.5","56.4","39.1","30.2","M"
"1945","36.5","39.2","41.1","47.3","57.9","61.9","72.3","71.5","59.4","54.1","M","33.1","M"
"1946","36.6","39.9","43.6","51.7","57.5","61.7","70.2","70.2","60.4","47.3","39.3","36.9","M"
"1947","30.2","39.4","47.5","51.8","62.8","62.1","69.8","67.7","63.2","53.7","39.9","37.3","M"
"1948","33.8","34.6","39.8","47.1","54.4","66.5","66.9","66.3","60.4","49.6","41.0","29.1","49.1"
"1949","16.5","33.3","42.7","53.2","61.1","61.7","68.6","68.1","62.6","46.6","45.0","35.3","49.6"
"1950","16.2","34.9","41.2","47.0","54.8","62.3","70.3","70.8","63.0","52.1","41.3","38.5","49.5"
"1951","32.7","36.0","39.0","48.7","56.9","60.8","70.3","68.1","61.2","48.8","39.7","30.2","49.4"
"1952","29.2","38.3","41.8","52.9","57.6","61.9","69.8","68.8","63.8","54.9","33.6","36.0","50.8"
"1953","45.3","39.6","44.3","47.5","54.0","58.2","68.7","68.5","63.2","52.1","44.2","38.7","52.1"
"1954","32.6","38.2","39.2","47.5","56.7","59.0","67.8","64.3","59.2","48.1","45.5","34.3","M"
