"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1920","M","M","M","44.6","49.8","58.0","64.5","63.6","56.7","48.3","44.0","39.7","M"
"1921","37.0","41.4","43.2","46.9","53.3","59.0","60.2","61.5","54.0","50.2","41.5","M","M"
"1922","33.9","36.2","38.6","M","53.0","59.6","61.4","61.9","57.8","50.8","39.6","34.2","M"
"1923","37.0","36.0","41.0","48.5","53.1","59.3","M","64.0","57.9","50.8","43.6","38.2","M"
"1924","37.6","43.3","42.3","46.7","55.8","58.1","61.8","61.7","56.0","49.4","40.2","33.5","M"
"1925","38.2","42.6","43.3","48.2","56.1","58.2","62.9","60.8","M","47.5","41.4","42.9","M"
"1926","38.8","42.8","46.8","53.2","54.2","61.0","63.7","62.6","54.8","53.8","M","M","M"
"1927","M","40.7","M","M","49.4","59.9","63.7","64.1","57.0","M","M","34.1","M"
"1928","M","40.0","45.3","M","56.1","58.7","64.5","M","55.3","48.7","43.7","38.2","M"
"1929","M","32.8","42.4","M","M","M","61.1","62.1","M","50.9","M","37.9","M"
"1930","M","37.9","44.9","M","M","M","M","M","M","M","M","M","M"
"1931","M","40.0","M","49.2","56.0","M","62.4","62.7","57.1","50.2","40.2","38.8","M"
"1932","36.4","38.7","45.3","48.9","52.4","59.6","59.8","61.6","58.6","52.5","48.0","36.7","M"
"1933","36.7","34.6","41.9","47.1","50.4","56.8","60.7","64.8","55.1","50.5","44.2","41.0","M"
"1934","42.2","45.2","48.5","54.2","55.6","58.6","M","M","M","M","M","39.6","M"
"1935","M","42.1","M","M","52.5","58.8","M","62.7","59.0","47.2","40.7","41.4","M"
"1936","39.8","32.5","41.6","51.3","57.3","61.7","63.5","65.1","57.7","53.9","41.9","39.5","50.6"
"1937","28.5","38.1","46.5","47.6","55.6","62.4","64.9","62.6","59.7","54.8","45.4","40.3","M"
"1938","M","41.7","44.1","51.2","57.4","M","66.3","61.4","63.0","52.1","40.2","40.2","M"
"1939","42.8","39.3","45.9","52.7","55.8","57.0","63.4","64.4","57.8","50.0","47.0","45.1","M"
"1940","40.2","42.8","46.9","50.9","58.2","61.1","63.5","63.5","61.0","53.5","39.5","M","M"
"1941","41.1","43.4","49.7","52.5","54.6","58.8","66.9","63.4","55.3","49.9","44.3","38.7","M"
"1942","36.6","39.9","42.8","49.7","54.3","58.5","66.5","66.8","59.2","52.0","40.8","M","M"
"1943","M","M","42.6","50.6","52.2","57.9","63.2","61.4","60.7","51.2","42.6","36.3","M"
"1944","38.4","37.5","42.1","48.1","54.3","59.2","64.2","61.5","60.7","54.9","46.3","34.4","M"
"1945","38.3","40.5","41.0","46.2","56.1","57.9","63.5","62.0","55.4","50.8","41.1","37.5","49.2"
"1946","38.4","39.9","42.6","48.5","57.0","58.1","63.1","62.9","58.0","48.1","39.0","37.4","M"
"1947","33.5","42.3","46.5","50.5","58.2","59.6","62.6","M","59.0","51.8","42.9","40.8","M"
