"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1899","M","M","M","M","51.0","57.2","64.1","60.7","60.9","51.2","50.5","42.7","M"
"1900","M","M","50.0","51.5","55.3","61.0","64.0","62.6","58.1","50.0","42.2","M","M"
"1901","39.1","41.6","45.6","47.4","55.5","56.7","61.2","M","57.7","56.9","48.2","42.0","M"
"1902","39.0","45.0","44.4","49.1","56.2","59.4","62.5","63.7","57.4","51.5","42.7","38.4","M"
"1903","M","37.5","40.4","45.6","52.9","59.3","59.5","60.8","59.3","55.5","44.3","M","M"
"1904","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1905","M","41.4","49.1","51.2","M","57.2","M","M","M","M","M","M","M"
"1906","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1907","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1908","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1909","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1910","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1913","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1914","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1915","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1916","M","M","M","M","53.9","60.1","61.9","63.8","59.4","M","46.0","41.3","M"
"1917","41.0","M","44.8","M","M","59.8","65.0","M","M","M","M","M","M"
"1918","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1919","M","M","M","M","55.3","M","63.6","M","M","50.2","M","M","M"
"1920","M","M","M","M","54.1","M","M","65.8","58.8","54.1","50.1","44.7","M"
"1921","M","M","M","48.8","55.2","M","M","M","58.0","54.4","M","M","M"
"1922","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1923","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1924","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1925","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1926","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1927","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1928","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1929","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1930","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1931","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1932","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1933","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1934","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1935","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1936","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1937","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1938","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1939","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1940","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1941","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1942","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1943","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1944","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1945","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1946","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1947","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1948","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1949","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1950","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1951","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1952","M","M","M","M","55.4","57.4","64.2","63.9","60.9","56.0","43.3","41.3","M"
"1953","44.0","41.5","43.8","48.3","54.8","56.9","63.4","64.3","61.3","53.5","47.0","41.9","51.8"
"1954","36.5","42.4","42.2","47.2","54.7","56.6","59.6","60.1","58.2","50.8","48.7","39.0","49.7"
"1955","38.9","39.0","39.6","45.2","50.9","58.4","60.1","61.1","58.0","51.0","38.4","38.8","M"
"1956","38.4","35.5","41.1","50.6","58.0","57.9","65.2","63.5","58.6","50.3","43.0","40.0","50.2"
"1957","33.8","39.6","44.9","51.9","59.3","60.8","61.6","62.1","62.7","51.3","43.5","42.5","51.2"
"1958","42.5","47.2","45.2","50.0","61.1","64.8","69.7","66.7","60.5","54.1","44.2","45.2","M"
"1959","39.9","40.4","44.4","50.0","54.6","60.0","65.8","63.0","58.0","52.9","44.7","40.4","51.2"
"1960","38.4","42.2","43.9","50.0","53.8","60.1","65.9","61.8","58.2","53.0","43.8","40.4","51.0"
"1961","42.0","44.8","45.0","48.3","54.6","62.5","66.0","67.0","58.1","51.0","42.1","40.1","M"
"1962","38.8","43.3","42.1","51.5","51.6","58.7","62.8","63.2","60.4","53.6","46.2","42.4","51.2"
"1963","34.6","46.7","44.6","48.8","56.2","58.1","61.8","63.8","63.1","54.1","45.0","41.1","51.6"
"1964","40.1","41.5","43.8","47.3","52.3","58.2","62.8","62.1","57.8","52.8","42.3","36.5","49.8"
"1965","39.0","41.6","45.1","49.8","52.4","59.5","65.6","65.0","57.6","54.9","48.3","40.2","51.6"
"1966","39.2","41.8","44.4","51.1","54.8","59.1","62.3","64.3","61.1","51.8","45.7","43.3","M"
"1967","41.0","42.6","42.2","46.4","54.9","62.7","65.0","68.2","63.5","53.4","46.8","40.0","52.3"
"1968","38.4","44.9","46.8","47.8","55.9","59.0","M","M","58.7","M","45.3","35.6","M"
"1969","31.7","39.1","45.6","49.6","57.6","63.7","63.3","61.5","59.3","50.9","45.0","42.5","M"
"1970","39.2","44.9","45.0","46.9","53.8","M","63.3","M","56.5","49.5","43.8","36.7","M"
"1971","39.0","40.8","40.1","48.0","54.5","56.2","64.4","66.8","57.9","50.0","44.7","36.6","50.0"
