"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1948","M","M","M","M","M","M","69.3","68.7","62.4","51.7","42.4","32.9","M"
"1949","22.2","36.3","45.9","55.2","62.3","65.7","70.3","70.8","65.7","50.3","46.7","39.0","52.6"
"1950","20.7","M","43.5","50.0","57.6","65.3","72.5","73.8","65.9","51.8","43.4","39.9","M"
"1951","35.3","39.0","42.5","54.5","59.4","68.0","72.4","70.1","66.0","52.0","41.5","33.3","52.9"
"1952","27.8","38.7","44.9","53.6","60.3","63.3","73.0","71.8","67.5","59.0","36.2","36.5","52.8"
"1953","44.0","43.6","46.9","51.2","56.1","61.2","71.6","70.5","66.4","55.7","45.1","41.7","54.6"
"1954","32.4","40.1","43.3","51.4","59.7","61.5","68.0","67.0","63.9","51.4","47.5","35.6","51.9"
"1955","36.7","39.1","40.7","47.4","56.4","65.4","67.4","71.1","63.9","52.9","36.8","34.3","51.1"
"1956","33.9","31.6","44.9","55.0","63.0","62.6","73.2","70.6","65.3","51.6","40.7","38.1","52.6"
"1957","M","37.8","44.9","54.7","63.3","67.1","69.8","68.8","68.0","51.8","42.0","39.7","M"
"1958","39.2","45.9","44.3","51.8","65.7","70.1","76.8","76.2","65.0","55.0","43.3","39.9","56.2"
"1959","36.4","40.4","46.1","53.3","56.1","64.9","72.8","69.3","62.0","54.7","39.8","35.6","52.7"
"1960","24.8","37.5","42.7","50.8","55.1","66.2","75.2","68.4","64.1","53.7","40.3","30.6","50.8"
"1961","34.5","41.8","44.6","50.0","57.0","69.2","72.8","75.6","60.5","49.8","38.1","36.5","52.6"
"1962","32.9","38.3","42.1","54.0","55.9","66.2","72.0","70.5","65.7","54.0","45.6","39.4","53.1"
"1963","31.2","42.4","46.6","50.1","60.4","66.6","68.9","72.6","70.1","55.6","44.1","33.3","53.5"
"1964","38.6","41.8","44.0","50.0","57.6","64.3","71.0","69.4","62.8","53.4","40.7","31.2","52.1"
"1965","36.3","43.0","45.1","54.0","58.4","66.4","74.0","72.5","62.7","56.9","45.4","35.5","54.3"
"1966","36.6","41.3","46.0","54.2","60.8","64.9","71.9","73.0","68.1","54.2","45.3","39.6","54.7"
"1967","42.7","45.0","45.0","49.4","62.1","71.8","76.4","80.1","71.7","56.1","44.2","39.5","57.1"
"1968","38.1","45.3","52.0","55.5","65.0","67.4","74.4","69.5","65.4","50.9","43.0","33.0","55.0"
"1969","23.1","34.9","46.2","51.5","63.9","71.1","72.6","71.2","65.8","51.1","43.3","37.4","52.7"
"1970","31.7","41.3","45.6","49.3","60.8","70.4","74.1","73.2","61.4","51.5","42.4","35.3","53.1"
"1971","40.1","41.6","42.3","50.6","61.1","63.7","75.3","76.8","62.0","53.3","41.6","34.1","53.6"
"1972","33.4","37.7","46.8","47.5","61.6","67.3","73.4","74.8","60.7","51.4","44.3","M","M"
"1973","32.2","39.9","46.7","53.8","61.2","66.5","76.0","70.8","65.3","54.0","39.4","39.6","53.9"
"1974","30.2","41.4","45.6","52.3","58.0","70.1","72.5","75.2","68.9","55.1","45.7","40.7","54.7"
"1975","37.3","37.0","43.6","49.2","60.3","66.2","75.2","70.0","67.8","54.4","41.6","40.0","53.7"
"1976","38.5","38.8","42.4","51.0","60.7","64.6","72.7","71.0","69.1","54.9","44.8","35.8","53.7"
"1977","29.8","42.6","46.0","57.4","57.9","72.6","74.6","78.7","63.3","54.5","39.8","38.5","54.7"
"1978","35.2","41.1","48.1","52.4","59.3","70.7","75.0","73.4","64.3","56.7","37.6","34.2","54.1"
"1979","18.5","36.7","48.8","54.1","63.6","69.2","75.5","73.2","68.8","58.2","40.1","39.6","53.9"
"1980","27.8","37.4","45.6","54.6","60.9","63.9","74.1","70.4","66.8","54.8","44.5","38.5","53.3"
"1981","40.8","40.0","47.8","52.0","60.4","64.5","71.7","M","65.3","51.6","43.0","37.9","M"
"1982","37.2","38.9","46.3","50.2","61.6","70.5","73.8","74.8","66.5","53.1","39.5","37.4","54.2"
"1983","41.0","42.8","50.5","53.7","64.5","65.2","69.6","72.1","61.7","54.1","46.6","27.0","54.1"
"1984","35.7","41.3","49.0","50.7","57.9","65.9","75.6","74.1","64.2","52.6","43.1","34.0","53.7"
"1985","32.5","36.5","45.2","53.8","62.2","69.5","81.6","70.8","60.2","52.2","31.5","24.3","51.8"
"1986","35.1","39.9","50.0","51.4","61.7","70.7","68.7","76.4","61.8","55.9","44.7","35.1","54.3"
"1987","33.5","42.1","47.0","56.2","63.0","70.5","70.9","73.2","67.9","56.9","44.5","36.4","55.2"
"1988","34.7","42.8","46.9","54.3","59.4","66.0","73.2","72.0","66.2","61.1","45.5","38.1","55.1"
"1989","40.5","30.3","44.5","56.7","60.6","68.8","70.9","71.1","65.9","54.6","46.9","36.8","54.1"
"1990","40.9","39.5","48.0","57.2","58.5","66.6","76.3","74.9","70.6","53.3","46.9","29.1","55.2"
"1991","34.5","44.6","45.0","52.2","57.9","63.0","73.7","75.2","68.0","54.4","44.0","39.7","54.4"
"1992","40.1","44.5","50.7","54.5","64.2","71.1","75.6","74.3","64.8","56.0","44.2","32.6","56.1"
"1993","26.4","32.8","43.3","51.7","64.4","66.2","67.7","71.2","67.2","57.3","37.1","37.5","52.1"
"1994","41.5","36.8","48.3","56.6","63.1","66.2","77.4","75.1","70.5","55.5","42.3","38.4","56.1"
"1995","36.2","45.0","47.9","53.2","64.2","67.8","75.2","70.6","67.8","53.1","47.2","37.7","55.5"
"1996","36.8","35.8","47.7","55.2","58.4","67.5","77.4","74.5","64.8","55.1","42.6","35.8","54.4"
"1997","36.0","42.5","47.4","53.8","65.1","67.9","74.7","77.1","68.7","55.0","45.6","39.9","56.2"
