"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1909","29.3","M","37.6","41.1","M","M","M","M","M","M","M","32.3","M"
"1910","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1913","M","M","M","M","M","M","M","M","M","43.4","36.9","M","M"
"1914","M","M","M","42.8","52.5","53.0","M","61.5","M","M","36.9","29.2","M"
"1915","31.9","35.5","41.6","47.0","47.3","53.8","59.2","64.1","52.9","45.2","33.2","31.8","M"
"1916","21.5","32.7","33.5","39.7","41.7","52.5","56.0","60.9","54.2","M","33.5","29.1","M"
"1917","27.7","29.6","30.1","35.4","40.4","48.8","61.3","62.8","M","48.4","42.1","35.3","M"
"1918","33.0","28.9","33.6","41.4","45.4","58.7","59.9","57.6","60.9","46.7","35.5","30.3","M"
"1919","31.6","31.6","34.7","39.0","47.1","52.4","60.4","60.5","54.6","42.2","36.2","29.8","M"
"1920","32.6","35.8","35.3","36.2","44.9","51.9","62.2","62.0","52.0","43.3","37.2","32.5","43.8"
"1921","30.1","31.4","35.0","37.8","46.4","55.1","58.4","59.1","49.5","49.3","38.5","29.6","43.4"
"1922","26.2","28.3","31.2","36.5","45.5","58.7","62.4","60.6","56.4","47.2","34.8","27.4","43.0"
"1923","30.4","28.9","32.6","40.5","46.5","53.7","61.2","62.7","57.6","47.7","40.5","30.8","44.5"
"1924","29.3","34.8","35.2","41.9","53.0","55.1","59.7","58.6","M","43.8","33.3","27.9","M"
"1925","31.1","33.8","35.4","42.6","51.9","54.8","62.3","58.9","53.8","47.1","36.3","36.0","M"
"1926","M","34.5","43.1","49.7","49.4","59.0","M","M","49.1","44.9","39.8","31.2","M"
"1927","30.5","30.9","33.3","36.9","41.9","54.8","60.7","60.0","52.4","45.8","37.0","27.6","M"
"1928","M","33.0","M","39.7","54.5","52.6","M","59.7","56.0","44.4","37.4","30.4","M"
"1929","25.4","27.3","34.0","35.9","45.2","52.6","59.7","60.9","55.2","49.4","M","33.9","M"
"1930","21.1","32.0","36.2","44.0","45.8","52.4","59.1","61.6","53.6","M","37.0","31.8","M"
"1931","M","32.9","34.1","M","52.0","53.3","62.1","60.8","51.9","45.8","34.1","30.9","M"
"1932","29.3","30.8","34.6","39.5","47.0","56.8","56.5","58.8","56.5","47.1","39.5","28.7","43.8"
"1933","28.0","26.8","31.9","38.6","42.1","52.2","58.4","61.2","49.2","49.0","42.1","35.2","43.1"
"1934","35.4","40.4","44.0","49.8","52.5","55.1","59.2","61.8","53.7","48.9","40.1","35.0","48.0"
"1935","29.4","35.9","33.1","40.3","48.8","55.9","60.6","60.7","59.0","44.2","34.6","38.2","45.1"
"1936","33.4","26.7","34.1","44.1","51.7","55.5","59.0","60.5","54.9","53.4","44.0","34.2","46.0"
"1937","22.6","32.0","38.8","38.7","49.8","56.2","60.1","57.8","56.6","51.5","39.8","35.7","45.0"
"1938","34.1","35.3","36.4","44.6","50.3","57.7","63.8","57.7","60.2","48.7","35.0","34.3","46.6"
"1939","33.5","30.3","37.5","46.0","50.9","51.7","60.4","63.2","56.7","47.7","43.3","37.8","46.7"
"1940","34.8","35.6","41.2","44.6","53.6","58.5","59.5","61.3","58.0","48.8","35.6","36.8","47.4"
"1941","36.3","40.4","44.7","46.4","49.2","53.7","65.1","60.0","50.1","45.6","40.1","32.7","M"
"1942","M","31.9","34.4","42.9","46.5","50.9","62.9","62.5","57.3","47.9","33.9","M","M"
"1943","M","34.0","M","42.8","44.9","51.2","60.4","57.6","57.4","46.0","40.2","33.5","M"
"1944","M","M","M","41.6","49.6","54.6","62.5","60.4","58.4","53.6","M","M","M"
"1945","M","M","35.2","39.1","51.0","55.6","65.7","63.8","53.3","M","M","32.8","M"
"1946","31.0","33.2","35.9","M","51.4","51.9","61.4","63.0","54.7","41.2","34.2","32.0","M"
"1947","27.2","35.5","41.8","45.5","54.5","53.4","59.5","58.7","57.2","45.5","36.4","33.4","45.8"
"1948","31.0","29.4","34.3","37.3","46.5","58.7","58.7","57.1","53.4","45.6","32.9","27.2","42.7"
"1949","22.4","28.8","37.9","43.2","52.1","54.0","59.7","60.7","58.2","44.7","45.5","29.6","44.8"
"1950","19.0","31.9","33.8","38.6","45.9","54.9","62.6","61.9","56.7","43.8","36.2","38.4","M"
"1951","29.1","32.5","33.1","44.9","50.3","58.0","62.8","60.0","59.1","45.5","M","28.3","M"
"1952","28.3","32.4","34.6","44.8","50.7","53.1","63.2","62.6","60.2","55.7","38.0","32.4","46.4"
"1953","35.4","34.2","36.4","40.8","46.8","50.0","61.2","60.9","57.7","50.0","40.6","33.4","45.7"
"1954","29.0","32.9","32.7","38.7","49.2","50.5","58.3","57.0","54.6","47.0","42.3","32.9","43.8"
"1955","31.5","30.4","29.5","34.9","41.8","52.6","55.9","59.8","54.5","46.0","32.5","30.3","41.7"
"1956","30.4","29.5","31.4","41.7","52.3","52.0","63.2","60.9","55.7","43.4","38.0","34.2","44.5"
"1957","25.9","31.9","36.8","43.5","52.6","55.9","58.6","57.4","60.9","46.3","37.0","34.0","M"
"1958","34.1","39.2","36.8","41.9","56.5","60.1","68.0","64.6","53.9","49.8","35.9","37.6","M"
"1959","32.5","32.8","35.7","42.9","47.0","55.0","62.9","58.7","51.9","47.0","38.3","33.7","M"
"1960","30.9","32.6","37.1","42.6","45.5","55.7","64.7","57.8","56.2","48.3","36.2","34.1","45.1"
"1961","37.3","35.5","37.2","40.7","48.7","M","64.0","66.6","52.8","44.9","33.8","31.5","M"
"1962","30.6","35.2","35.3","45.1","45.1","54.8","60.2","59.5","58.0","47.9","39.8","35.5","45.6"
"1963","28.6","41.8","37.8","40.2","50.8","53.6","57.2","60.7","60.9","48.4","36.8","M","M"
"1964","31.7","34.2","M","37.9","44.9","51.5","58.7","57.6","53.4","50.3","35.2","29.5","M"
"1965","32.7","33.6","39.6","44.1","46.8","56.5","63.7","61.4","54.1","51.6","41.3","32.0","M"
"1966","31.9","33.8","37.3","43.3","50.7","52.9","58.6","60.2","58.0","46.6","39.0","35.0","M"
"1967","32.4","35.1","34.5","38.3","48.4","58.8","62.3","67.1","62.3","46.2","39.3","31.1","46.3"
"1968","30.8","39.9","40.4","40.2","50.1","55.5","62.9","57.9","54.8","44.3","36.6","28.6","45.2"
"1969","25.5","32.7","38.5","42.0","52.9","59.9","59.2","58.6","54.6","44.6","39.9","M","M"
"1970","30.8","M","36.8","37.4","47.6","M","61.1","M","M","M","M","29.5","M"
"1971","M","M","M","39.3","M","48.8","61.0","M","M","M","M","28.9","M"
"1972","26.6","32.9","M","36.3","48.4","52.9","59.8","61.7","M","M","37.7","M","M"
"1973","29.2","M","M","42.3","50.2","54.5","M","M","55.5","M","32.4","33.8","M"
"1974","27.4","33.5","34.6","M","43.3","55.1","58.8","61.8","60.1","M","M","33.3","M"
"1975","29.6","31.0","34.9","M","M","51.5","M","56.4","57.9","43.0","34.1","32.5","M"
"1976","32.3","32.2","33.1","39.7","47.7","50.4","57.9","55.8","56.7","47.3","40.6","34.8","M"
"1977","32.0","38.9","34.1","44.1","43.5","57.0","57.7","63.9","50.6","46.0","32.1","31.9","M"
"1978","33.5","35.9","40.0","41.2","45.1","56.7","59.6","59.2","50.1","M","M","25.8","M"
"1979","26.3","31.3","39.1","40.6","49.7","55.3","60.4","58.8","57.2","48.8","37.2","M","M"
"1980","M","34.6","36.2","43.8","48.1","50.1","59.4","56.5","53.9","48.5","38.3","35.0","M"
"1981","38.5","35.4","40.5","40.4","46.6","50.2","57.8","64.9","55.0","44.1","39.3","31.7","45.4"
"1982","28.5","30.4","35.5","38.1","46.3","56.5","58.6","58.9","54.4","45.2","33.5","31.1","M"
"1983","M","36.7","M","42.6","50.2","52.1","54.5","59.9","51.3","44.9","36.9","25.6","M"
"1984","33.3","35.7","39.6","39.1","43.2","51.0","60.9","60.1","51.1","41.9","34.0","27.8","M"
"1985","30.5","30.4","34.8","40.8","47.8","54.5","65.6","58.4","50.5","42.8","M","30.9","M"
"1986","34.9","32.9","41.3","40.4","46.9","57.5","54.2","63.5","49.3","50.0","37.1","M","M"
"1987","29.8","35.8","37.5","46.3","52.0","57.6","59.2","61.0","58.1","53.3","39.4","30.0","M"
"1988","30.9","34.9","36.6","42.1","47.7","53.4","60.3","61.4","55.6","52.4","35.9","32.4","45.4"
"1989","30.7","29.3","34.9","44.7","48.2","56.8","57.9","58.4","58.4","44.9","38.4","M","M"
"1990","32.6","30.0","37.9","45.1","46.8","53.6","62.9","62.2","59.5","41.5","36.9","M","M"
"1991","29.5","38.7","36.1","40.6","M","50.7","M","61.7","M","47.4","36.8","33.7","M"
"1992","34.5","41.1","45.1","45.5","M","60.2","60.7","62.6","M","47.7","35.8","29.0","M"
"1993","26.5","31.6","38.7","40.2","52.2","52.4","53.2","60.3","59.2","50.3","M","32.9","M"
"1994","36.3","32.9","38.8","43.3","50.9","53.1","62.5","60.6","58.3","43.8","30.7","29.5","M"
"1995","34.7","35.6","37.9","40.9","51.2","54.2","61.1","56.2","58.8","43.6","40.3","33.0","M"
"1996","31.3","32.7","37.8","42.1","45.0","M","63.7","M","51.9","44.4","35.4","31.0","M"
"1997","31.5","M","35.4","38.9","51.0","M","59.3","62.7","M","43.3","39.1","31.8","M"
"1998","31.6","35.7","M","M","46.9","54.9","M","61.4","58.3","M","36.8","28.7","M"
"1999","32.0","30.9","34.8","38.4","M","50.9","57.5","61.0","56.0","45.3","39.2","32.9","M"
"2000","29.6","33.8","34.7","43.3","M","M","M","M","M","M","33.8","M","M"
"2001","34.2","33.3","38.5","40.3","49.8","M","M","61.8","M","44.2","M","31.2","M"
"2002","31.4","32.6","33.5","39.7","46.1","56.2","62.8","59.9","55.1","46.2","41.1","34.7","M"
"2003","37.5","35.2","36.6","40.6","48.3","57.8","63.6","62.7","58.1","M","33.1","32.7","M"
"2004","M","34.9","40.0","46.8","M","56.6","M","63.1","53.3","47.1","37.4","35.2","M"
"2005","34.9","35.8","M","42.2","50.8","52.6","61.4","63.2","52.3","M","35.6","31.6","M"
"2006","34.5","30.9","35.7","42.9","50.0","56.9","63.1","60.4","56.5","M","35.0","30.6","M"
"2007","28.7","34.0","M","40.5","M","53.9","M","59.2","54.6","M","36.8","30.3","M"
"2008","28.1","32.3","M","M","M","50.8","59.5","60.3","54.8","43.9","40.2","M","M"
"2009","30.1","31.6","32.0","M","47.1","56.6","65.0","60.7","56.0","M","34.4","M","M"
"2010","M","37.4","M","39.1","44.4","50.5","59.9","60.4","52.5","46.3","M","31.0","M"
"2011","31.2","29.7","34.5","36.1","43.3","51.9","56.4","60.6","58.6","44.8","33.4","31.4","M"
"2012","M","32.9","33.2","41.9","47.4","50.9","60.8","64.2","58.7","M","M","M","M"
"2013","29.0","M","M","39.8","49.1","55.6","63.1","62.7","56.2","M","M","M","M"
"2014","M","30.0","37.6","42.2","51.2","53.7","64.4","61.6","56.9","M","M","35.1","M"
"2015","M","M","M","43.1","52.6","61.7","64.8","63.1","52.5","50.3","M","31.8","M"
"2016","31.8","36.5","37.6","49.8","M","55.8","59.2","62.0","52.4","M","M","M","M"
"2017","26.8","31.1","34.1","39.1","50.0","55.6","61.9","65.2","56.4","M","35.9","M","M"
