"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1896","M","M","M","M","M","M","M","M","55.3","52.3","36.5","45.2","M"
"1897","39.8","42.1","40.7","52.8","58.5","62.8","61.9","66.3","58.1","52.1","41.4","41.0","51.5"
"1898","38.5","44.7","43.6","52.2","58.5","61.5","63.4","65.1","60.5","52.2","42.5","M","M"
"1899","M","M","42.4","50.0","52.1","56.8","M","M","61.5","M","51.0","43.9","M"
"1900","44.8","40.5","M","50.3","M","M","61.4","59.4","56.5","49.3","41.5","43.8","M"
"1901","36.0","40.5","44.6","46.5","54.5","55.5","M","66.2","56.8","55.5","47.4","38.5","M"
"1902","M","45.0","45.1","50.3","55.9","58.8","61.7","M","55.6","52.7","42.8","39.3","M"
"1903","40.0","38.4","41.7","47.7","53.9","61.2","60.8","62.1","56.7","52.8","45.1","40.8","M"
"1904","39.7","38.0","41.8","52.3","53.8","M","62.9","59.9","57.3","52.5","48.4","41.5","M"
"1905","38.6","40.8","48.3","51.4","53.6","M","63.6","60.9","57.7","46.7","43.3","40.8","M"
"1906","40.3","42.0","45.1","51.7","54.8","59.7","65.8","61.7","57.0","51.6","42.3","40.1","51.1"
"1907","29.2","39.9","41.6","47.6","56.4","M","63.0","60.3","56.9","51.4","45.8","M","M"
"1908","37.6","40.5","45.0","M","55.0","M","64.8","62.0","56.5","51.2","47.4","36.1","M"
"1909","30.2","41.2","M","48.5","53.4","61.1","61.2","60.4","58.0","51.4","42.3","M","M"
"1910","M","36.2","50.9","53.2","61.3","59.7","62.5","60.6","58.8","51.5","42.9","40.9","M"
"1911","33.5","38.1","46.0","46.7","53.9","57.7","63.7","61.0","55.8","49.4","41.3","39.1","M"
"1912","39.4","42.4","42.8","49.5","57.2","59.8","62.6","61.0","56.4","48.1","44.8","39.0","50.3"
"1913","33.0","36.8","40.3","49.6","53.1","59.0","61.7","62.3","57.2","48.7","43.6","41.1","49.0"
"1914","41.0","39.2","45.6","51.6","58.0","61.9","65.1","62.3","55.1","53.5","M","34.7","M"
"1915","37.3","44.1","49.5","52.8","57.8","63.6","66.4","M","57.8","52.3","40.6","38.9","M"
"1916","M","39.6","43.7","51.0","54.6","61.0","63.2","64.0","57.3","47.2","40.3","33.7","M"
"1917","34.2","36.6","40.2","48.1","54.5","59.3","65.4","64.4","57.8","50.6","48.7","41.0","50.1"
"1918","41.3","38.6","44.0","48.9","52.6","59.7","62.3","62.0","59.4","52.3","44.7","40.0","50.5"
"1919","40.0","39.2","44.1","50.1","53.9","55.8","60.0","61.1","57.7","46.5","43.0","38.0","49.2"
"1920","36.8","39.4","44.2","45.1","51.0","58.6","63.1","62.4","56.8","49.6","45.8","41.8","49.6"
"1921","39.7","41.6","43.5","48.4","53.2","59.7","59.8","61.1","56.0","51.2","43.8","36.7","49.6"
"1922","33.6","37.5","42.2","46.5","53.9","59.8","61.0","60.9","58.2","52.2","42.9","M","M"
"1923","38.9","36.3","43.4","50.6","54.9","59.8","63.8","64.8","59.4","54.1","46.9","41.5","51.2"
"1924","39.4","46.3","43.6","48.7","56.0","58.8","61.1","61.2","57.6","M","42.6","M","M"
"1925","39.7","44.4","44.2","50.6","56.8","58.6","62.5","61.3","57.8","47.3","45.1","44.3","M"
"1926","39.4","44.5","48.6","53.7","56.5","60.8","63.0","61.5","55.1","54.0","47.5","38.1","51.9"
"1927","38.5","42.2","43.1","48.3","52.6","60.2","62.7","M","57.8","52.9","42.7","34.0","M"
"1928","40.9","42.9","47.7","50.3","56.4","59.3","63.2","60.3","55.8","50.3","45.7","39.6","51.1"
"1929","31.0","32.1","45.3","M","54.1","58.3","61.5","62.2","57.8","54.1","42.6","40.4","M"
"1930","28.9","43.4","M","52.7","52.6","58.6","60.7","62.2","57.0","49.4","M","41.6","M"
"1931","44.9","42.6","46.6","51.9","56.0","58.7","61.7","60.6","58.9","51.6","41.4","40.0","51.3"
"1932","36.9","39.5","45.3","50.5","54.5","59.3","58.4","61.5","57.2","51.8","47.0","35.2","49.7"
"1933","37.5","35.1","44.7","47.8","52.9","55.8","59.5","M","56.0","51.2","45.3","42.6","M"
"1934","43.7","47.5","49.7","54.5","57.2","59.0","61.6","63.0","57.2","M","M","40.7","M"
"1935","39.5","45.6","M","48.2","53.9","59.9","61.3","61.3","58.9","50.5","41.4","42.8","M"
"1936","40.8","31.2","42.1","51.4","56.9","60.5","61.2","62.8","56.4","53.1","42.8","41.2","50.1"
"1937","26.4","38.2","47.7","47.6","53.4","60.1","62.2","61.3","58.3","54.5","46.0","41.7","49.9"
"1938","39.7","42.6","45.2","51.6","55.0","59.8","62.6","60.4","60.3","52.8","41.8","40.3","51.1"
"1939","42.3","38.2","44.0","51.5","55.7","57.4","61.7","63.0","57.6","51.2","51.1","47.1","51.8"
"1940","41.7","44.0","48.9","53.0","56.9","58.8","60.9","62.1","58.9","53.2","41.0","42.8","51.9"
"1941","44.5","46.4","50.7","52.9","55.4","59.4","65.7","63.0","56.8","53.3","47.0","41.0","53.0"
"1942","40.2","42.2","46.2","52.1","55.7","58.3","65.2","65.1","58.5","53.8","42.7","41.2","51.8"
"1943","M","43.9","43.9","52.5","53.6","57.9","62.9","63.1","60.6","53.0","46.3","38.5","M"
"1944","41.5","43.1","44.5","51.1","58.8","62.0","67.8","65.1","60.0","56.2","46.7","38.0","53.0"
"1945","41.9","44.3","45.5","49.2","58.3","60.1","64.5","63.9","57.8","52.7","42.8","38.9","51.7"
"1946","41.4","40.8","45.8","48.8","57.5","61.0","63.6","61.7","59.5","47.5","40.2","38.1","50.6"
"1947","34.0","42.3","46.3","51.9","56.7","60.1","62.2","61.3","58.5","52.1","41.0","41.3","50.8"
"1948","37.4","37.7","43.4","47.3","53.9","61.3","61.5","61.9","56.4","49.7","41.6","33.8","48.9"
"1949","28.3","36.1","44.7","50.6","55.1","57.5","60.4","62.0","59.4","47.8","M","37.2","M"
"1950","22.9","39.5","43.1","47.8","50.9","61.2","61.9","62.9","57.5","50.1","42.7","45.0","48.8"
"1951","37.4","40.6","40.5","49.5","54.3","60.3","63.8","61.7","59.6","51.2","44.3","35.9","50.0"
"1952","36.1","41.5","43.0","49.0","54.9","56.1","62.2","62.8","59.8","53.2","41.3","41.3","50.2"
"1953","44.3","42.0","44.7","49.9","56.0","57.7","62.8","63.6","59.3","52.9","48.3","42.1","M"
"1954","34.5","43.2","41.9","46.5","54.8","56.3","59.6","60.4","59.0","50.7","49.1","41.2","49.8"
"1955","38.4","38.1","38.8","46.5","50.9","58.2","59.4","60.2","56.9","50.6","37.8","36.8","M"
"1956","38.4","35.1","41.9","49.5","56.7","58.0","64.0","62.8","58.2","49.4","41.7","39.2","49.6"
"1957","29.6","37.2","44.6","50.9","57.8","60.0","60.3","61.5","61.0","50.1","42.6","42.9","50.0"
"1958","43.4","47.0","45.3","50.0","58.2","64.3","68.0","64.6","58.9","52.8","41.3","43.9","53.2"
