"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1959","M","39.0","43.2","49.6","52.9","59.2","68.1","63.8","57.6","52.8","43.7","40.0","M"
"1960","34.6","40.5","42.1","46.9","52.2","61.2","69.7","62.9","60.8","53.7","42.7","40.0","M"
"1961","41.1","41.5","43.3","46.9","53.8","65.7","67.6","69.0","57.8","50.0","40.7","37.0","51.3"
"1962","36.0","41.5","40.5","50.2","50.1","59.6","64.0","63.4","61.7","53.3","45.7","40.7","50.6"
"1963","33.8","46.2","43.2","44.9","55.6","58.1","60.3","63.9","63.8","53.1","43.5","39.1","M"
"1964","37.6","41.0","41.0","45.9","51.8","57.8","64.0","61.6","57.2","53.7","40.9","36.4","M"
"1965","37.5","40.0","46.2","49.9","52.3","59.3","67.0","64.7","58.3","56.7","47.5","38.9","M"
"1966","37.3","39.6","42.8","50.2","56.6","58.5","63.2","64.3","62.2","51.8","44.7","40.6","M"
"1967","39.4","40.7","39.4","43.8","54.0","63.6","67.7","72.7","65.9","53.7","46.1","37.0","52.1"
"1968","M","M","47.0","48.5","55.5","61.0","67.7","64.5","61.1","51.2","45.8","35.1","M"
"1969","30.1","36.6","44.2","48.2","58.5","64.9","63.8","63.3","61.5","51.2","46.7","40.7","M"
"1970","37.5","45.0","44.8","44.2","54.3","65.0","67.1","65.7","57.6","51.6","45.5","37.2","M"
"1971","36.3","40.2","39.2","46.4","54.9","55.8","65.4","67.7","58.6","49.8","42.4","36.0","49.5"
"1972","34.5","38.6","44.4","43.7","56.9","60.8","67.5","67.5","56.9","52.2","44.8","35.0","M"
"1973","34.8","41.6","43.1","49.3","56.7","59.9","66.7","61.2","60.5","M","40.1","40.6","M"
"1974","33.8","38.2","41.2","46.4","50.5","60.4","M","66.0","64.6","54.7","45.2","40.0","M"
"1975","36.6","36.7","39.8","42.3","52.6","57.3","64.2","59.5","63.3","51.0","42.2","40.0","M"
"1976","39.5","38.7","39.1","46.9","55.0","57.0","61.7","61.3","60.9","52.8","M","39.5","M"
"1977","35.9","41.6","39.0","49.8","49.3","60.4","62.0","68.1","56.1","51.6","39.2","38.3","M"
"1978","37.7","40.8","45.8","45.8","50.6","60.8","64.5","63.2","56.2","54.3","38.5","32.7","M"
"1979","28.0","34.5","44.0","46.2","54.3","59.1","64.8","62.3","62.2","54.2","41.5","39.4","M"
"1980","31.9","38.5","40.0","49.0","M","M","M","M","M","M","44.1","40.3","M"
"1981","42.0","40.6","M","46.3","53.4","56.5","62.3","68.8","60.8","51.1","47.0","39.0","M"
"1982","35.4","M","M","M","M","M","M","M","M","M","M","M","M"
"1983","M","M","M","M","59.0","58.8","63.0","66.1","59.5","M","45.6","M","M"
"1984","40.5","42.9","46.6","46.1","M","57.5","65.9","64.4","59.7","48.7","42.3","M","M"
"1985","36.5","35.9","41.7","48.9","54.4","M","70.8","63.9","57.2","M","32.8","36.3","M"
"1986","42.1","40.2","48.6","45.9","54.8","63.1","60.8","70.4","58.7","57.2","45.6","40.2","M"
"1987","M","44.4","46.0","53.2","58.0","63.2","64.7","67.5","65.6","M","48.3","37.0","M"
"1988","37.8","43.6","44.4","50.1","54.0","59.9","66.5","65.8","62.4","58.2","43.7","40.3","M"
"1989","37.9","M","42.0","52.8","54.7","63.0","62.5","64.1","65.2","52.8","M","41.6","M"
"1990","40.3","36.3","46.7","52.8","54.4","60.3","69.4","67.6","64.4","49.9","44.2","M","M"
"1991","37.6","47.7","42.9","47.7","52.0","56.3","67.0","67.6","65.3","M","M","M","M"
"1992","M","M","M","M","62.3","65.7","68.1","68.1","60.9","55.5","44.3","36.2","M"
"1993","M","M","M","48.3","59.5","M","61.1","66.1","M","M","M","M","M"
"1994","42.8","38.9","47.7","M","58.0","60.0","M","66.7","65.9","51.9","38.1","38.7","M"
"1995","M","M","45.4","48.5","M","60.8","M","64.0","M","52.8","48.6","M","M"
"1996","M","M","M","50.3","52.1","60.3","70.8","68.1","M","52.3","44.2","38.1","M"
"1997","38.9","42.3","43.6","M","60.0","60.4","66.1","68.9","64.4","M","48.7","39.9","M"
"1998","39.7","43.7","46.4","50.9","54.2","62.3","69.7","69.1","65.9","M","45.5","M","M"
"1999","40.5","39.5","43.8","M","M","58.7","66.3","68.4","64.4","M","48.0","41.9","M"
"2000","37.8","42.8","M","53.7","M","63.0","66.7","65.6","M","53.9","41.9","40.0","M"
"2001","M","40.9","45.9","47.5","57.6","59.5","65.4","66.6","63.0","52.5","47.5","M","M"
"2002","38.9","M","M","M","M","63.4","68.3","66.8","64.1","53.4","M","42.3","M"
"2003","M","M","45.1","48.8","M","64.9","69.9","67.8","64.3","M","M","40.1","M"
"2004","38.5","43.3","48.3","52.8","55.7","62.6","69.4","69.1","60.8","54.9","M","42.6","M"
"2005","40.7","45.6","49.1","50.6","58.8","M","67.4","M","61.1","54.3","43.8","M","M"
"2006","M","M","43.0","51.0","M","64.0","69.5","67.4","63.9","52.2","43.9","40.2","M"
"2007","37.3","41.9","47.3","49.8","57.5","60.8","68.8","66.5","60.4","51.0","M","M","M"
"2008","35.5","41.8","41.8","M","55.8","M","67.7","67.4","63.7","53.6","48.5","M","M"
"2009","M","M","M","M","M","62.7","72.4","M","65.0","51.1","43.7","36.7","M"
"2010","43.6","44.9","46.5","47.8","52.7","58.7","67.0","66.9","M","54.9","43.5","41.3","M"
"2011","39.8","39.0","42.7","44.5","52.6","59.4","63.9","67.7","66.9","54.2","43.5","40.2","M"
"2012","39.7","42.6","41.7","M","M","M","M","M","M","54.0","M","M","M"
"2013","M","M","M","M","57.6","63.7","M","69.5","63.9","54.5","46.0","36.3","M"
"2014","M","M","46.7","51.0","M","M","70.8","70.7","66.3","58.3","46.0","42.9","M"
"2015","45.1","M","52.6","52.5","M","M","71.4","70.8","61.7","57.9","43.1","39.5","M"
"2016","M","46.7","M","56.7","M","M","66.0","70.0","61.6","53.9","50.4","35.3","M"
"2017","34.6","39.9","42.8","48.0","58.1","62.7","68.2","72.7","65.1","M","44.0","38.4","M"
"2018","42.1","38.6","43.2","50.3","61.0","M","M","70.5","61.0","55.4","47.5","40.7","M"
"2019","42.1","35.8","43.9","M","59.4","62.8","66.2","68.5","61.6","49.8","47.2","42.1","M"
"2020","40.4","M","44.1","51.9","57.1","61.0","67.1","68.5","65.6","55.1","44.7","42.4","M"
"2021","42.0","37.5","43.9","52.4","56.8","68.6","70.2","69.2","64.3","52.0","47.3","37.7","M"
"2022","40.1","41.6","46.3","45.3","52.4","61.3","70.6","72.2","67.1","M","M","M","M"
