"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1899","M","M","M","M","M","62.2","65.9","59.2","55.9","43.0","40.5","28.1","M"
"1900","28.5","24.5","39.1","49.6","55.6","63.9","65.7","60.1","54.5","46.6","M","33.8","M"
"1901","M","26.5","39.5","46.7","59.3","61.2","68.2","M","M","47.8","41.4","28.8","M"
"1902","M","30.8","39.3","M","M","M","M","M","M","M","M","M","M"
"1903","M","M","M","M","53.1","M","M","63.6","51.4","42.8","33.1","29.3","M"
"1904","25.0","27.6","31.1","46.5","53.1","58.5","65.8","63.8","M","44.8","40.0","M","M"
"1905","26.2","M","40.5","47.0","51.5","58.5","65.4","63.0","55.2","39.3","31.1","27.3","M"
"1906","M","30.1","32.4","M","53.7","56.8","M","M","55.0","M","30.6","27.6","M"
"1907","M","27.8","33.8","41.6","53.5","57.5","64.2","59.4","53.7","46.9","34.9","27.4","M"
"1908","21.3","25.9","M","45.6","50.7","M","M","M","54.0","42.2","33.9","20.3","M"
"1909","M","28.1","M","40.7","50.9","58.2","60.5","M","M","41.0","32.6","M","M"
"1910","24.2","23.2","42.1","51.4","58.6","62.9","M","62.0","M","M","M","32.4","M"
"1911","21.8","26.5","40.2","47.4","54.6","63.1","68.4","64.9","56.3","45.5","29.5","25.4","M"
"1912","21.5","32.1","37.1","49.8","57.7","65.4","66.7","63.3","55.0","42.6","35.4","27.5","46.1"
"1913","20.1","20.4","34.4","48.3","56.1","63.3","66.8","67.4","58.0","43.0","36.2","29.8","M"
"1914","30.7","29.1","41.1","51.8","58.1","62.0","M","M","M","M","M","M","M"
"1915","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1916","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1917","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1918","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1919","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1920","24.4","31.5","38.9","45.0","53.3","59.7","71.7","M","57.5","46.5","M","31.5","M"
"1921","M","30.9","38.1","M","M","64.3","67.8","69.2","54.2","48.9","34.8","24.6","M"
"1922","21.5","21.1","35.7","46.4","55.1","66.7","70.1","M","M","M","M","M","M"
