"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1957","M","M","M","M","65.0","71.3","73.1","71.9","68.3","51.7","40.8","41.6","M"
"1958","37.8","46.0","44.1","52.1","67.3","73.7","79.6","79.9","65.5","54.5","42.1","36.4","56.7"
"1959","34.5","37.7","47.1","53.6","57.3","69.1","76.6","71.7","62.9","53.5","37.4","33.3","53.0"
"1960","23.9","38.7","45.2","53.9","59.1","69.8","81.4","72.4","66.6","56.1","43.8","31.0","53.5"
"1961","35.9","46.0","47.8","53.1","60.7","74.7","79.3","79.4","62.3","52.2","35.6","35.6","M"
"1962","31.4","38.0","42.7","56.6","57.7","67.8","75.2","72.9","66.8","54.3","45.3","38.7","M"
"1963","27.9","38.3","46.8","51.3","60.9","68.3","72.5","75.3","70.9","57.9","45.9","32.8","54.1"
"1964","39.3","M","44.0","51.4","59.2","67.2","75.5","70.5","63.8","53.1","41.3","31.3","M"
"1965","35.9","42.1","42.6","56.2","60.2","67.3","75.0","74.5","62.6","58.1","46.3","35.7","54.7"
"1966","37.3","39.7","46.9","54.3","63.2","66.9","73.1","74.7","69.5","55.3","45.6","40.8","55.7"
"1967","43.4","44.4","45.8","49.7","60.6","70.1","77.7","79.8","72.2","56.5","42.6","36.0","56.7"
"1968","37.7","42.6","49.3","51.1","61.5","69.0","78.0","72.5","66.6","52.7","43.1","33.7","M"
"1969","23.0","33.9","45.2","52.8","62.9","71.7","73.4","71.6","65.9","51.3","43.9","36.5","52.8"
"1970","33.8","41.9","45.1","49.3","60.3","70.6","76.4","74.0","61.4","51.9","42.0","36.0","53.6"
"1971","39.2","40.9","42.6","51.4","61.0","63.6","74.7","79.0","61.0","52.5","43.6","36.6","54.0"
"1972","34.6","37.1","48.5","48.7","61.3","67.4","73.5","M","62.8","53.3","42.2","29.7","M"
"1973","31.0","38.3","47.7","52.7","61.2","67.5","74.6","73.6","64.7","54.3","42.0","40.6","54.1"
"1974","29.4","43.6","46.3","52.3","57.8","69.0","72.1","73.3","66.7","53.4","45.5","41.1","M"
"1975","35.9","36.1","43.5","48.0","58.7","64.7","76.7","70.5","65.2","54.6","42.5","37.6","M"
"1976","37.5","39.5","43.3","50.7","60.1","63.5","72.5","69.8","67.2","53.2","41.7","33.7","M"
"1977","27.3","41.5","45.1","57.1","56.4","70.0","71.8","76.1","61.4","51.7","40.8","37.4","53.1"
"1978","32.4","39.6","M","51.2","57.2","67.1","72.0","71.1","62.6","52.3","35.2","32.0","M"
"1979","M","36.4","45.6","52.0","M","67.4","M","73.6","66.7","57.4","38.4","39.3","M"
"1980","M","M","44.3","54.5","59.6","63.3","73.2","70.3","65.7","52.7","44.4","38.9","M"
"1981","38.5","40.3","47.5","52.6","59.2","63.3","71.6","75.5","64.8","51.7","44.2","36.3","M"
"1982","M","38.4","M","48.8","59.2","68.2","72.9","73.7","64.3","52.5","M","35.4","M"
"1983","40.0","43.0","49.2","52.3","M","65.9","70.3","74.7","61.6","52.8","47.1","25.1","M"
"1984","34.3","40.4","48.0","51.6","M","64.3","73.5","73.6","62.2","50.7","41.4","28.5","M"
"1985","27.5","32.6","44.5","55.0","62.2","68.3","78.5","M","60.0","52.5","M","22.6","M"
"1986","34.5","39.3","49.4","51.4","60.2","71.0","69.4","M","M","54.8","45.0","33.8","M"
"1987","31.4","40.3","47.8","57.2","64.3","69.5","73.1","73.0","68.8","54.1","45.2","34.7","M"
"1988","33.4","40.4","46.7","54.2","60.1","66.8","73.6","72.6","64.1","58.7","47.2","34.1","M"
"1989","38.6","27.0","43.8","54.9","59.6","69.3","73.1","71.2","M","53.8","46.1","35.2","M"
"1990","M","37.7","M","M","59.2","66.8","76.1","74.6","70.3","52.8","47.3","27.2","M"
"1991","30.7","44.4","43.9","52.8","58.2","63.4","74.5","76.3","M","54.1","43.0","39.1","M"
"1992","39.4","43.1","M","56.0","63.4","72.7","73.1","74.3","63.0","54.8","42.3","34.0","M"
"1993","M","30.7","M","53.2","64.5","M","68.9","70.9","65.8","55.9","37.2","37.6","M"
"1994","40.2","36.6","48.1","56.4","M","67.1","77.4","76.7","68.6","54.0","41.9","37.4","M"
"1995","M","43.2","45.3","52.3","61.1","65.3","73.7","69.8","67.2","51.9","46.6","35.9","M"
"1996","35.0","M","44.9","53.9","57.3","66.0","75.1","72.0","63.2","53.9","41.7","32.4","M"
"1997","34.5","39.9","47.4","51.2","62.0","65.9","72.9","75.1","65.7","53.6","43.7","37.7","M"
"1998","37.2","43.0","47.9","52.5","60.5","67.6","78.8","74.7","70.2","52.7","47.6","36.2","M"
"1999","41.2","43.2","46.2","50.4","56.7","66.0","70.4","72.5","63.6","52.3","47.5","41.0","M"
"2000","37.5","39.6","46.3","55.6","60.5","65.2","73.0","73.7","63.4","52.4","37.2","32.9","M"
"2001","34.1","36.9","46.8","51.4","61.4","64.8","74.2","75.2","67.0","52.9","44.7","M","M"
"2002","M","39.1","43.0","52.6","M","68.0","75.4","71.1","64.4","51.2","42.5","40.6","M"
"2003","40.4","40.2","50.4","53.2","59.9","69.5","77.2","75.1","67.6","58.1","39.6","37.2","M"
"2004","30.0","38.0","M","55.3","61.2","68.4","76.7","75.6","64.5","55.8","42.8","38.6","M"
"2005","33.1","M","49.6","M","63.0","66.3","75.2","74.8","64.0","M","42.4","M","M"
"2006","M","36.8","45.6","53.1","60.8","68.3","77.6","73.1","65.5","53.6","43.8","33.0","M"
"2007","31.8","39.1","48.1","52.5","61.7","67.4","77.8","71.8","64.4","52.7","42.9","37.5","M"
"2008","31.7","41.7","44.7","48.5","M","65.1","74.8","72.4","63.8","52.1","45.1","30.2","M"
"2009","35.1","36.5","42.6","52.0","60.4","68.6","M","75.0","66.5","50.5","44.1","28.6","M"
"2010","39.5","41.9","47.3","51.0","57.3","65.3","M","72.3","64.9","54.4","41.8","35.4","M"
"2011","36.3","36.5","45.8","48.2","M","64.3","69.6","74.7","67.2","55.3","42.8","33.7","M"
"2012","35.8","38.9","46.4","53.8","59.1","64.2","74.6","73.8","M","53.8","M","M","M"
"2013","32.4","M","46.1","M","M","M","M","75.2","68.0","M","41.1","29.6","M"
"2014","35.9","M","47.0","M","61.1","67.2","77.5","75.4","65.7","59.4","40.9","38.1","M"
"2015","36.5","43.3","50.6","M","M","74.0","77.2","75.2","64.1","58.0","42.2","38.0","M"
"2016","35.1","43.5","47.8","58.5","62.9","68.4","73.8","74.5","63.7","55.5","48.5","31.6","M"
"2017","22.8","32.9","M","51.5","61.2","67.8","77.3","75.4","66.1","52.7","44.6","33.0","M"
"2018","39.4","40.4","44.7","53.0","65.1","67.1","75.6","74.2","64.8","M","M","39.1","M"
"2019","37.0","26.7","36.7","54.0","61.9","69.4","73.1","75.3","68.0","49.1","39.7","35.9","M"
"2020","40.0","41.5","45.7","52.7","61.2","67.3","74.4","75.4","66.6","56.0","43.2","35.9","55.1"
"2021","39.2","35.7","46.6","53.8","61.7","73.4","80.1","75.1","66.1","55.3","46.9","37.5","56.1"
"2022","32.6","38.2","48.5","48.4","56.6","66.2","77.8","78.8","68.5","M","M","M","M"
