"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1893","M","M","M","M","M","M","M","M","M","46.6","38.1","M","M"
"1894","33.8","34.9","M","45.3","M","57.5","M","M","M","M","M","M","M"
"1895","33.1","M","42.3","M","M","58.4","60.6","M","51.2","M","40.1","M","M"
"1896","M","M","M","M","M","M","M","58.7","52.4","M","M","M","M"
"1897","M","M","M","M","M","M","M","M","M","M","M","34.1","M"
"1898","32.5","38.6","36.1","M","M","M","59.0","M","54.6","45.6","M","32.1","M"
"1899","M","M","M","M","46.9","M","M","M","M","M","M","M","M"
"1900","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1901","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1902","M","M","M","M","M","M","M","M","M","49.4","42.2","39.1","M"
"1903","39.1","36.1","39.2","45.9","52.1","59.8","59.1","59.2","54.0","48.4","43.6","40.0","48.1"
"1904","38.9","36.6","40.5","49.4","52.0","56.5","60.6","57.9","54.7","50.8","47.8","41.7","M"
"1905","38.0","38.6","47.1","49.0","52.9","58.6","62.1","59.9","56.3","44.9","41.0","40.6","49.1"
"1906","40.3","42.0","43.6","50.3","54.1","58.2","65.4","62.0","M","M","42.4","M","M"
"1907","M","M","M","M","M","M","M","M","56.6","50.3","M","40.5","M"
"1908","39.4","38.8","43.0","47.6","51.4","57.9","62.2","59.9","53.8","48.1","46.6","36.8","48.8"
"1909","29.5","40.3","42.5","46.1","51.6","57.5","59.1","58.3","55.7","49.2","43.0","33.2","47.2"
"1910","35.7","M","44.5","46.6","54.1","54.7","59.8","57.1","55.8","50.3","42.4","40.6","M"
"1911","31.8","36.9","42.4","44.2","51.9","55.4","61.0","59.6","54.6","48.4","39.9","38.3","47.1"
"1912","36.0","41.4","40.1","46.8","54.6","58.2","60.8","59.3","55.2","M","44.4","39.9","M"
"1913","33.1","M","M","M","52.2","57.7","60.8","61.4","55.3","47.3","42.5","39.7","M"
"1914","40.9","38.6","44.7","49.9","54.6","57.3","60.9","59.1","54.4","51.6","43.9","35.2","49.3"
"1915","37.5","42.4","47.2","50.7","55.1","58.6","62.1","61.2","55.4","50.7","41.0","39.3","50.1"
"1916","24.9","36.7","42.3","47.4","50.9","57.2","M","M","M","M","M","M","M"
"1917","M","M","M","M","M","M","M","M","57.4","M","48.4","38.8","M"
"1918","41.0","37.8","43.3","48.8","54.1","60.6","62.4","62.0","59.5","52.2","44.3","39.8","50.5"
"1919","39.7","38.9","43.0","49.4","53.4","56.9","60.8","61.6","58.5","46.3","41.6","37.4","49.0"
"1920","36.1","39.8","43.6","45.8","51.5","58.2","63.6","63.1","56.8","48.3","45.3","41.6","49.5"
"1921","39.0","41.4","43.5","47.3","53.3","59.4","60.2","61.4","55.8","50.3","43.1","35.4","49.2"
"1922","34.6","36.0","41.5","46.3","53.4","60.3","61.8","61.5","58.3","52.0","41.6","34.9","48.6"
"1923","37.6","34.0","42.2","49.5","54.4","60.1","63.9","63.8","57.7","M","M","M","M"
"1924","38.0","45.6","43.3","M","M","M","M","M","M","M","M","M","M"
"1925","M","M","M","M","M","M","65.7","M","57.4","45.2","45.3","43.5","M"
"1926","38.3","43.9","45.6","50.9","53.8","59.0","62.0","59.6","52.4","50.9","44.7","37.9","50.0"
"1927","36.8","41.4","41.9","46.2","51.4","59.2","61.8","61.8","56.4","50.4","41.7","32.4","M"
"1928","39.3","40.3","45.1","48.3","55.1","58.5","62.5","59.7","54.2","48.5","44.6","37.5","M"
"1929","30.7","32.6","43.4","45.4","52.0","57.4","60.4","60.5","55.8","51.2","40.8","37.9","47.4"
"1930","26.7","41.2","42.6","50.2","51.8","57.0","60.3","61.0","56.2","46.5","40.7","40.6","47.9"
"1931","43.0","40.8","45.0","50.4","54.7","57.6","61.4","60.0","56.3","48.9","39.5","38.9","49.8"
"1932","35.1","38.4","44.8","48.9","53.2","58.4","59.4","61.1","55.8","50.6","46.3","36.3","49.1"
"1933","M","M","M","44.2","48.8","58.7","62.0","62.1","54.5","50.4","41.9","39.5","M"
"1934","42.0","41.7","M","52.4","55.3","M","60.9","60.9","55.9","51.3","47.9","39.0","M"
"1935","36.5","42.3","41.0","45.3","52.7","58.4","60.4","61.4","57.9","49.0","40.5","M","M"
"1936","40.7","29.5","41.4","48.7","55.7","60.9","62.5","62.2","55.5","51.3","40.2","41.7","M"
"1937","25.3","37.2","47.0","49.3","54.5","60.8","63.6","60.9","58.5","52.5","45.2","39.5","M"
"1938","39.0","39.4","M","49.2","54.1","60.1","63.5","59.5","58.7","M","41.0","38.5","M"
