"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1946","M","M","M","M","M","M","M","M","M","45.8","34.6","33.9","M"
"1947","27.8","39.3","47.2","53.7","65.0","64.1","70.4","67.2","62.7","51.2","40.4","34.2","52.0"
"1948","31.2","31.2","40.5","47.4","57.2","70.1","68.0","67.5","59.5","49.3","38.2","24.0","48.7"
"1949","14.6","29.6","43.7","52.4","62.7","65.2","69.6","68.7","63.0","47.3","43.5","33.6","49.6"
"1950","12.4","30.7","40.7","46.7","56.5","64.6","72.1","70.4","61.8","48.0","38.9","34.7","48.3"
"1951","28.4","34.9","37.9","50.7","57.2","66.2","71.0","68.9","61.6","48.2","37.8","26.3","49.1"
"1952","20.9","34.6","40.9","51.5","58.6","62.8","70.6","68.2","63.8","55.7","33.1","32.4","49.5"
"1953","38.8","39.8","43.2","48.1","54.9","58.7","69.4","68.2","61.5","51.9","41.4","36.4","51.1"
"1954","28.2","35.8","39.4","47.5","57.7","59.7","66.6","65.4","59.5","47.5","43.6","31.5","48.6"
"1955","29.4","34.6","37.1","43.7","54.0","65.4","67.4","67.9","60.3","49.2","31.2","24.7","47.1"
"1956","27.2","22.7","40.5","52.8","61.2","61.3","72.8","69.8","61.0","48.3","35.1","31.2","48.8"
"1957","16.0","32.5","41.5","51.4","62.4","65.6","66.9","65.0","63.1","47.9","36.7","35.3","48.7"
"1958","34.9","42.7","40.6","48.0","64.0","69.3","75.0","71.7","59.2","50.1","37.4","33.7","52.3"
"1959","31.0","34.9","42.0","50.5","53.1","63.5","71.2","65.8","58.3","50.3","35.1","32.2","49.1"
"1960","22.2","35.1","41.2","49.1","54.2","64.8","75.2","66.0","60.6","50.9","38.1","27.2","48.7"
"1961","32.7","40.7","42.9","49.7","55.9","68.3","73.0","73.5","58.2","47.9","33.7","31.4","50.7"
"1962","29.9","35.5","40.0","51.8","53.7","63.2","69.7","66.0","61.8","49.7","41.2","35.9","49.9"
"1963","25.2","37.8","43.6","47.1","57.8","64.4","67.1","69.2","65.5","51.7","40.7","29.5","50.0"
"1964","33.1","36.1","40.3","45.5","53.5","62.0","68.0","62.8","57.1","50.1","38.2","27.2","47.9"
"1965","28.9","37.5","41.2","50.4","56.4","64.5","70.0","68.4","57.9","52.5","42.4","31.0","50.1"
"1966","29.1","37.4","43.4","51.9","58.3","61.4","67.5","71.1","66.5","52.0","43.8","36.4","51.6"
"1967","38.5","41.3","41.7","44.9","57.6","67.8","71.3","73.3","65.6","51.8","40.3","31.5","52.2"
"1968","30.9","40.0","45.9","47.9","56.8","63.9","70.9","65.3","61.0","46.3","39.7","28.3","49.7"
"1969","18.1","28.4","41.8","48.3","59.9","68.9","68.4","66.2","61.1","47.3","39.7","33.5","48.6"
"1970","28.4","40.0","43.6","46.2","58.5","68.8","72.5","70.1","57.5","48.6","38.6","28.0","50.1"
"1971","34.7","37.8","38.6","47.8","60.7","60.7","71.3","72.3","55.4","47.0","38.4","27.7","49.5"
"1972","29.4","32.2","44.2","45.5","59.8","65.6","69.9","71.6","56.8","49.0","40.8","26.8","49.4"
"1973","27.5","37.7","45.0","51.7","58.5","64.4","72.1","69.3","61.8","49.1","37.6","35.9","51.0"
"1974","27.4","40.1","43.7","50.3","54.2","68.2","68.2","70.7","63.0","50.2","41.2","35.2","51.1"
"1975","30.1","33.0","40.8","46.7","57.6","63.8","74.9","66.3","62.1","49.4","37.8","34.7","49.9"
"1976","32.4","35.1","39.1","48.0","56.1","59.9","69.0","66.3","64.3","49.5","39.1","29.9","49.1"
"1977","24.5","38.7","42.7","54.1","52.7","68.7","68.8","74.2","57.7","48.9","35.9","33.5","50.1"
"1978","32.7","37.9","45.8","49.4","54.8","64.8","71.0","67.4","58.8","49.5","32.3","27.5","49.4"
"1979","14.8","32.6","44.0","49.6","59.5","65.4","72.1","70.2","64.0","52.9","34.1","34.8","49.6"
"1980","20.7","33.7","43.7","53.7","58.9","62.1","70.4","66.4","62.6","51.4","40.4","34.8","49.9"
"1981","39.9","39.3","47.7","49.7","56.8","61.8","68.9","73.0","61.5","48.8","41.1","30.2","51.6"
"1982","26.2","36.7","43.0","45.8","56.0","66.8","68.7","68.0","60.2","49.0","35.8","29.0","48.8"
"1983","37.6","40.2","47.8","49.8","60.9","62.9","67.6","70.8","58.1","50.6","42.4","22.1","50.9"
"1984","31.1","37.8","45.3","47.1","52.4","61.1","70.5","68.8","59.0","47.0","36.1","20.0","48.0"
"1985","26.4","28.9","41.9","50.8","58.8","64.6","74.8","66.0","55.3","46.6","23.0","19.1","46.5"
"1986","30.0","35.1","45.6","47.3","57.6","67.4","65.7","72.6","56.9","51.1","38.5","28.5","49.8"
"1987","28.1","37.6","44.0","52.8","59.5","65.9","67.8","68.4","62.9","50.3","40.1","29.0","50.6"
"1988","28.8","38.2","42.2","51.1","55.1","62.1","69.2","67.7","59.5","55.0","39.4","28.0","49.7"
"1989","33.7","26.4","40.0","52.0","56.2","65.8","68.6","66.8","61.0","48.7","41.7","31.4","49.5"
