"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1931","58","58","60","83","93","M","106","99","92","M","M","44","M"
"1932","M","62","69","M","M","96","98","103","92","86","58","55","M"
"1933","53","48","58","79","85","M","M","M","M","84","63","59","M"
"1934","56","58","71","90","M","M","M","M","95","91","65","M","M"
"1935","M","54","68","72","84","M","108","M","96","89","56","44","M"
"1936","48","54","65","M","99","M","105","M","M","83","56","53","M"
"1937","37","49","61","M","M","M","M","M","M","79","60","52","M"
"1938","M","47","62","80","89","91","M","98","98","81","55","56","M"
"1939","M","50","75","87","94","101","111","M","99","78","61","60","M"
"1940","51","55","70","M","M","M","104","M","96","82","54","54","M"
"1941","48","59","75","84","91","95","109","99","81","70","61","57","M"
"1942","45","M","75","83","89","97","105","104","95","82","54","46","M"
"1943","46","54","61","82","83","90","M","95","95","91","58","49","M"
"1944","49","53","70","M","92","97","103","94","100","82","60","56","M"
"1945","56","57","M","M","M","M","M","M","M","M","M","M","M"
"1946","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1947","M","M","72","M","96","92","M","M","M","M","M","M","M"
"1948","M","M","M","76","88","99","M","94","96","76","53","47","M"
"1949","38","55","61","83","95","98","103","103","97","71","64","56","103"
"1950","43","54","56","72","86","96","102","99","101","73","53","56","102"
"1951","48","56","63","77","90","93","104","99","91","82","57","55","104"
"1952","45","55","68","84","88","93","104","101","98","86","64","47","104"
"1953","56","57","71","76","86","86","101","102","102","80","67","50","102"
"1954","51","59","64","77","93","90","98","98","88","75","59","47","98"
"1955","43","50","58","72","81","100","106","99","100","73","60","50","106"
"1956","50","50","64","85","93","91","105","104","92","80","54","55","105"
"1957","39","59","62","86","95","96","97","94","94","75","56","54","97"
"1958","54","64","65","73","98","101","105","104","98","85","62","53","105"
"1959","57","58","62","75","87","96","105","103","91","72","64","58","105"
"1960","52","51","76","75","87","92","110","101","92","85","57","44","110"
"1961","55","56","64","72","90","105","103","113","84","80","52","51","113"
