"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1944","M","M","M","M","M","100","105","99","102","80","61","M","M"
"1945","65","69","73","M","92","102","108","106","M","M","M","M","M"
"1946","M","M","78","91","92","M","110","M","94","M","M","M","M"
"1947","M","M","M","92","105","95","106","M","98","86","71","58","M"
"1948","M","M","M","M","M","107","101","97","M","83","63","56","M"
"1949","51","59","68","88","100","103","106","108","101","75","74","62","108"
"1950","49","62","67","79","94","102","105","105","106","80","61","64","106"
"1951","60","66","68","86","97","95","106","102","96","80","61","64","106"
"1952","50","59","74","90","94","97","108","102","99","88","66","56","108"
"1953","64","66","72","81","91","89","105","106","97","82","73","60","M"
"1954","61","67","69","84","98","97","102","103","94","75","65","55","M"
"1955","54","60","68","78","89","104","109","104","101","80","68","64","109"
"1956","62","60","69","89","99","98","107","106","96","81","65","60","M"
"1957","49","67","65","92","99","101","102","99","98","84","64","61","102"
"1958","62","68","67","80","102","110","110","107","100","89","67","66","110"
"1959","61","63","68","80","91","97","105","102","92","81","73","65","105"
"1960","53","60","82","83","88","94","107","102","91","85","67","52","107"
"1961","61","65","73","77","95","108","108","113","91","82","59","59","113"
"1962","62","60","68","86","81","99","104","101","95","77","69","55","104"
"1963","59","63","73","76","93","102","95","100","97","86","64","54","102"
"1964","55","65","78","75","86","95","104","95","89","78","62","58","104"
"1965","64","69","72","83","91","92","100","103","90","84","69","57","103"
"1966","56","63","77","81","95","94","101","102","97","86","64","59","102"
"1967","65","63","70","72","93","98","104","105","98","80","73","63","105"
"1968","67","68","70","90","88","99","110","100","96","84","62","61","110"
"1969","52","50","76","78","93","99","99","96","95","75","66","56","99"
"1970","54","61","68","71","93","101","103","100","90","87","62","63","103"
"1971","71","73","67","76","90","97","105","106","90","82","62","58","106"
"1972","62","71","76","78","95","98","100","106","94","83","63","65","106"
"1973","61","64","70","80","95","98","104","101","98","78","67","59","104"
"1974","65","61","74","77","85","102","102","106","98","83","69","60","106"
"1975","60","62","65","74","89","96","108","97","95","81","77","65","M"
"1976","64","63","72","78","90","100","101","95","99","88","69","61","101"
"1977","63","71","73","92","80","99","98","106","88","78","69","63","106"
"1978","52","60","77","76","89","99","105","105","88","79","70","54","M"
"1979","39","62","75","81","90","101","109","100","92","84","58","58","109"
"1980","52","60","65","89","87","87","103","98","M","88","68","65","M"
"1981","53","64","69","86","90","93","100","105","96","80","70","59","105"
"1982","59","68","68","81","87","99","104","102","93","78","65","63","104"
"1983","64","63","67","78","101","90","99","100","85","74","67","50","101"
"1984","60","60","65","84","93","94","104","101","M","M","M","M","M"
"1985","41","M","69","83","95","102","106","M","84","M","M","44","M"
"1986","56","73","M","86","M","M","M","M","M","M","66","M","M"
"1987","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1988","M","M","M","M","92","93","101","99","95","86","66","59","M"
"1989","63","52","68","79","85","93","95","99","91","80","73","58","99"
"1990","65","63","72","78","86","94","105","103","95","80","68","56","105"
"1991","57","62","68","79","77","89","100","98","90","86","64","57","100"
"1992","59","62","72","81","92","103","102","104","87","82","60","54","104"
"1993","55","50","67","72","99","93","92","96","93","81","64","66","99"
"1994","M","58","76","84","89","94","104","M","M","78","61","64","M"
"1995","66","72","M","77","91","94","100","96","96","M","66","60","M"
"1996","56","67","66","81","81","91","103","102","90","79","65","52","103"
"1997","55","63","75","74","88","91","96","100","89","73","M","60","M"
"1998","56","56","68","89","89","95","106","106","98","78","M","58","M"
"1999","60","63","71","79","92","98","100","100","89","78","76","61","100"
"2000","53","57","66","79","85","95","100","96","92","76","60","48","100"
"2001","56","55","70","82","99","94","100","100","M","83","67","59","M"
"2002","65","64","68","75","83","101","106","98","92","78","62","61","106"
"2003","64","62","77","77","90","94","103","98","96","85","67","50","103"
"2004","60","57","74","81","83","97","102","101","86","78","63","61","102"
"2005","63","60","74","80","94","93","100","99","88","73","58","51","100"
"2006","59","58","66","83","96","100","108","97","93","72","70","56","M"
"2007","56","66","76","77","90","96","104","98","90","75","70","65","104"
"2008","54","M","62","80","94","99","97","101","89","80","69","51","M"
"2009","61","58","69","83","95","92","100","102","93","69","64","52","102"
"2010","56","61","69","80","83","90","99","98","86","83","69","58","M"
"2011","63","64","72","74","80","90","96","96","94","78","67","60","96"
"2012","57","62","71","88","90","88","101","100","91","80","68","60","101"
"2013","54","57","73","83","93","96","103","103","95","70","64","58","103"
"2014","58","60","M","80","87","89","104","99","88","88","69","65","M"
"2015","57","66","77","83","90","108","103","100","90","81","64","66","108"
"2016","58","64","73","86","88","99","101","97","90","77","67","54","101"
"2017","41","53","64","69","93","99","101","99","95","74","67","55","101"
"2018","54","67","65","85","90","91","102","101","90","74","69","57","102"
"2019","53","41","69","79","86","96","98","101","90","76","65","63","101"
"2020","65","64","65","78","92","102","113","112","103","93","78","63","M"
"2021","57","61","70","85","88","112","103","100","92","75","70","69","M"
"2022","56","68","71","69","78","97","104","104","97","M","M","M","M"
