"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1893","M","M","M","66","80","89","97","M","97","72","61","59","M"
"1894","59","52","66","M","M","92","100","101","89","M","M","M","M"
"1895","M","M","M","83","M","M","M","99","81","81","64","M","M"
"1896","M","M","M","M","M","M","M","M","M","M","65","60","M"
"1897","62","54","65","83","95","88","M","101","87","77","72","61","M"
"1898","49","66","66","80","84","93","M","M","92","74","60","60","M"
"1899","58","56","59","M","78","87","97","91","92","77","68","59","M"
"1900","58","57","71","79","87","95","97","103","85","79","63","63","103"
"1901","55","60","84","70","85","92","104","105","M","M","M","M","M"
"1902","65","71","M","72","86","90","M","M","M","M","M","M","M"
"1903","M","M","72","74","94","93","97","97","83","78","79","63","M"
"1904","56","62","64","83","M","95","98","102","94","86","75","59","M"
"1905","62","65","74","80","82","83","103","99","94","75","68","51","103"
"1906","61","61","70","89","91","89","99","95","M","M","M","M","M"
"1907","M","M","M","M","86","87","93","92","88","80","63","60","M"
"1908","55","56","66","M","90","96","99","94","91","85","77","56","M"
"1909","58","63","66","70","84","94","95","96","89","78","66","53","96"
"1910","59","53","72","M","92","96","94","96","81","82","66","56","M"
"1911","56","51","77","81","84","93","100","91","85","88","63","52","100"
"1912","63","55","68","78","88","92","95","94","80","74","68","56","95"
"1913","54","63","61","79","85","89","97","95","89","76","60","58","97"
"1914","65","58","66","73","83","86","97","98","88","79","63","52","98"
"1915","53","64","73","85","83","95","100","107","88","74","67","67","107"
"1916","55","56","69","76","82","100","97","102","93","84","66","56","102"
"1917","57","57","57","66","83","93","105","100","M","89","73","64","M"
"1918","70","66","72","78","87","99","105","98","92","84","60","66","105"
"1919","65","56","75","77","90","91","105","100","89","81","70","61","105"
"1920","59","61","70","75","83","96","104","105","93","85","64","60","105"
"1921","59","68","66","74","87","97","100","100","89","85","70","68","100"
"1922","46","52","62","79","92","102","107","95","93","74","57","60","107"
"1923","59","53","76","81","86","92","101","93","88","81","55","53","M"
"1924","63","62","55","76","91","101","98","94","95","79","58","61","M"
"1925","56","59","66","83","86","99","99","96","85","75","59","62","99"
"1926","56","66","73","89","86","98","104","99","83","76","61","64","104"
"1927","55","57","66","79","84","93","101","94","80","83","62","57","101"
"1928","53","53","74","79","97","105","107","96","96","77","65","59","107"
"1929","45","44","70","72","91","97","103","98","94","84","62","59","103"
"1930","57","66","68","78","82","92","103","102","95","71","65","48","103"
"1931","66","58","63","79","94","95","106","96","93","85","68","59","106"
"1932","52","67","70","80","82","95","98","100","94","85","68","56","100"
"1933","55","55","63","77","87","97","100","103","88","84","68","64","103"
"1934","60","65","70","89","97","96","104","97","95","88","65","58","104"
"1935","67","59","69","71","85","91","106","96","95","89","61","58","M"
"1936","51","60","67","91","99","101","103","99","91","84","66","61","103"
"1937","43","60","66","75","91","98","103","98","95","79","69","59","103"
"1938","55","51","66","79","88","90","102","96","96","82","60","62","102"
"1939","63","55","73","85","90","99","105","99","91","79","66","69","105"
"1940","57","56","72","76","90","100","102","106","95","85","57","62","106"
"1941","55","65","76","82","92","94","108","97","81","72","68","65","108"
"1942","57","52","77","83","91","94","100","103","95","85","62","63","M"
"1943","53","60","66","83","80","88","99","95","93","92","61","58","99"
"1944","60","57","69","82","88","96","101","93","99","81","63","63","101"
"1945","59","60","62","76","84","91","99","99","91","83","68","58","99"
"1946","54","61","73","93","84","92","103","100","86","70","61","57","103"
"1947","53","61","71","81","92","89","100","95","94","80","70","59","100"
"1948","53","64","66","76","88","99","93","90","96","77","67","52","99"
"1949","51","56","63","82","90","94","100","96","95","69","68","58","100"
"1950","52","64","59","71","84","94","98","98","100","79","64","63","100"
"1951","56","57","67","78","91","92","104","104","90","80","58","59","104"
"1952","52","61","73","84","88","92","104","99","99","85","66","59","104"
"1953","65","61","75","77","86","81","102","103","105","83","68","56","105"
"1954","59","63","67","76","92","92","98","100","91","78","67","60","100"
"1955","50","55","65","73","80","92","100","93","95","78","63","62","100"
"1956","58","56","67","82","91","89","100","98","88","77","60","59","100"
"1957","49","61","63","85","90","93","93","88","89","70","62","60","93"
"1958","60","71","65","71","95","99","105","106","99","86","73","65","106"
"1959","64","52","66","77","91","93","104","96","94","78","68","61","104"
"1960","60","60","75","76","83","92","109","98","93","87","64","55","109"
"1961","64","61","66","74","92","107","102","114","86","85","60","59","114"
"1962","60","67","64","82","71","99","103","98","93","79","64","57","103"
"1963","55","70","73","75","88","96","92","101","99","88","69","51","101"
"1964","64","60","79","69","85","90","103","97","92","78","64","58","103"
"1965","59","68","65","78","84","92","100","105","83","85","80","65","105"
"1966","62","61","78","75","98","91","96","97","96","82","65","58","98"
"1967","60","65","69","65","85","97","100","105","101","85","68","54","105"
"1968","69","64","72","84","86","94","107","97","95","78","63","63","107"
"1969","50","53","72","79","91","95","98","98","95","77","69","63","98"
"1970","M","56","63","69","85","102","104","106","86","84","64","60","M"
"1971","62","67","59","78","90","92","104","105","89","87","67","62","105"
"1972","M","62","77","77","96","98","101","106","92","77","63","60","M"
"1973","63","65","65","74","94","M","105","100","97","76","65","60","M"
"1974","64","58","68","74","77","97","102","103","95","M","65","59","M"
"1975","58","58","62","70","85","92","109","97","94","90","79","62","109"
"1976","65","61","68","79","86","100","101","95","98","86","67","60","101"
"1977","56","64","71","93","79","95","101","107","87","77","69","57","107"
"1978","55","59","74","73","81","93","99","104","90","80","70","50","104"
"1979","44","58","69","77","92","99","106","99","98","89","64","60","106"
"1980","59","62","61","86","89","83","103","100","95","90","66","68","103"
"1981","62","63","70","85","85","86","100","106","100","78","74","63","106"
"1982","60","65","65","80","85","99","105","104","93","75","62","68","105"
"1983","64","66","65","78","101","94","102","104","92","71","70","49","104"
"1984","64","57","69","85","90","92","102","108","91","87","66","48","108"
"1985","34","53","68","81","95","98","105","98","78","72","63","46","105"
"1986","61","71","69","80","96","97","99","104","90","80","61","50","104"
"1987","56","56","71","90","93","102","101","101","100","87","66","62","102"
"1988","57","65","68","81","93","95","102","104","99","85","74","59","104"
"1989","58","53","67","83","85","93","97","101","92","79","71","62","101"
"1990","63","60","67","80","89","94","107","108","97","81","69","60","108"
"1991","58","65","68","74","73","87","100","100","93","86","57","56","100"
"1992","65","66","71","83","94","105","100","104","87","86","58","57","105"
"1993","59","53","70","70","96","93","95","96","93","84","63","64","96"
"1994","60","66","75","82","88","98","106","102","89","76","60","62","106"
"1995","61","74","67","72","91","88","99","94","96","76","69","64","99"
"1996","62","58","63","80","76","90","105","101","92","82","67","54","105"
"1997","55","66","72","76","86","89","97","101","93","89","66","58","101"
"1998","57","62","71","87","88","92","105","110","102","81","65","61","110"
"1999","58","55","70","79","90","103","104","101","90","76","77","59","104"
"2000","54","60","70","82","85","92","101","98","91","78","57","53","101"
"2001","54","53","77","83","98","92","101","104","92","81","73","54","104"
"2002","63","61","60","72","83","102","107","96","93","73","68","66","107"
"2003","64","58","77","76","86","101","104","100","102","87","65","58","104"
"2004","56","60","79","83","81","99","104","103","90","85","63","63","104"
"2005","65","65","73","79","93","93","M","M","M","M","M","M","M"
"2006","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2007","59","67","71","M","M","100","M","M","M","81","59","M","M"
"2008","M","58","66","79","92","M","M","M","M","M","72","56","M"
"2009","57","56","64","81","91","90","98","104","93","70","64","52","104"
"2010","62","58","74","82","85","89","99","97","86","84","69","58","M"
"2011","58","61","61","70","77","89","96","99","M","88","67","55","M"
"2012","65","62","69","85","87","87","100","102","94","78","72","58","102"
"2013","56","57","69","76","91","96","103","95","93","71","62","53","103"
"2014","58","55","64","M","84","88","102","102","89","82","68","67","M"
"2015","64","67","76","83","89","109","102","104","92","80","63","66","109"
"2016","57","65","66","84","86","99","99","95","88","75","71","49","99"
"2017","48","58","69","72","95","97","100","99","96","70","66","53","100"
"2018","64","57","69","86","87","89","101","108","87","74","62","58","M"
"2019","53","54","66","76","82","90","95","99","89","72","60","61","99"
"2020","60","67","61","74","94","92","104","102","97","83","67","60","104"
"2021","61","60","69","81","86","111","106","101","89","77","67","64","111"
"2022","63","64","68","72","77","96","105","101","97","M","M","M","M"
