"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1925","M","M","M","M","M","M","90","94","86","74","60","63","M"
"1926","55","61","78","89","85","96","98","88","87","78","70","62","98"
"1927","55","59","67","82","90","99","100","99","84","75","63","56","100"
"1928","55","58","77","72","M","M","101","86","91","67","62","M","M"
"1929","51","51","65","74","79","89","95","95","M","79","62","55","M"
"1930","52","62","80","73","77","85","92","93","85","70","64","54","93"
"1931","65","61","69","82","88","87","95","91","M","69","65","54","M"
"1932","52","63","60","75","74","90","80","95","M","82","63","55","M"
"1933","55","52","59","72","77","84","92","97","77","M","57","58","M"
"1934","55","66","78","85","88","87","90","96","94","83","62","64","96"
"1935","61","61","58","75","83","96","101","100","95","78","55","52","101"
"1936","53","M","65","79","84","85","86","92","85","81","68","56","M"
"1937","46","61","69","66","84","91","86","92","94","80","66","54","94"
"1938","52","65","64","75","89","92","100","86","87","77","56","60","100"
"1939","58","53","72","82","93","82","97","96","88","74","64","59","97"
"1940","63","60","72","78","84","96","86","96","86","77","60","60","96"
"1941","58","63","76","80","87","95","100","92","78","72","67","60","100"
"1942","58","58","66","78","78","99","105","96","90","82","58","55","105"
"1943","49","65","64","85","82","93","92","86","94","80","71","60","94"
"1944","58","60","71","81","84","92","102","94","104","78","65","55","104"
"1945","59","59","63","73","82","92","98","95","87","80","63","64","M"
"1946","56","61","68","78","89","85","98","95","87","72","65","59","98"
"1947","54","63","81","86","89","83","93","89","91","76","63","58","93"
"1948","53","61","73","67","85","94","89","88","91","82","56","52","94"
"1949","45","68","66","78","86","90","93","96","90","80","76","58","96"
"1950","52","59","63","83","84","89","92","96","94","72","68","64","M"
"1951","55","60","65","84","85","100","98","96","90","83","59","58","100"
"1952","57","60","65","77","86","82","99","100","95","88","63","58","100"
"1953","59","58","71","72","88","83","91","93","89","80","64","56","93"
"1954","54","60","64","74","M","81","81","83","80","76","70","54","M"
"1955","52","59","63","69","78","100","86","90","96","76","67","58","100"
"1956","54","48","72","84","97","84","102","91","89","75","62","60","102"
"1957","51","60","64","86","85","80","85","87","93","82","60","58","93"
"1958","58","66","64","79","88","95","103","98","98","80","63","63","103"
"1959","57","56","68","77","87","84","93","91","85","74","65","58","93"
"1960","59","58","70","75","79","84","98","103","88","79","61","56","103"
"1961","60","59","65","71","91","92","103","98","86","86","60","57","103"
"1962","60","62","73","78","69","84","91","87","87","77","72","56","91"
"1963","54","67","65","73","92","90","80","90","89","74","59","53","92"
"1964","58","59","78","68","85","84","89","92","84","76","58","57","92"
"1965","55","61","70","81","76","83","98","99","87","80","65","59","99"
"1966","54","65","75","78","82","89","88","93","89","84","71","58","93"
"1967","59","60","61","67","87","89","91","100","97","74","64","55","100"
"1968","64","73","71","83","80","91","91","95","88","78","62","52","95"
"1969","46","58","75","75","92","94","90","88","88","73","67","55","94"
"1970","59","68","67","67","88","95","99","95","85","77","71","55","99"
"1971","56","59","65","78","92","88","92","99","83","78","57","52","99"
"1972","52","63","74","78","95","82","93","99","92","76","60","56","99"
"1973","58","67","69","74","90","89","94","89","90","71","58","54","94"
"1974","55","54","67","74","75","86","91","93","91","82","M","59","M"
"1975","55","61","63","69","88","84","92","83","88","82","70","58","92"
"1976","55","61","65","76","85","88","89","82","87","75","66","55","89"
"1977","54","68","61","82","75","89","90","102","81","72","61","60","102"
"1978","56","62","71","73","85","92","98","100","77","78","63","50","100"
"1979","49","57","73","83","86","90","104","91","93","80","63","56","104"
"1980","52","61","68","84","75","79","93","92","85","87","72","61","93"
"1981","57","63","71","80","83","86","94","108","100","72","68","55","108"
"1982","53","62","71","80","83","99","86","98","96","76","58","56","99"
"1983","56","62","67","82","96","84","91","89","82","70","65","56","96"
"1984","57","60","68","84","88","85","M","92","86","81","60","50","M"
"1985","52","58","65","82","90","95","96","92","78","75","64","50","96"
"1986","61","70","73","79","88","94","85","97","89","74","62","52","97"
"1987","54","62","71","88","93","89","89","97","99","90","64","56","99"
"1988","55","68","70","82","91","89","96","95","100","83","61","56","100"
"1989","55","54","59","79","83","92","83","86","93","78","62","58","93"
"1990","55","66","73","79","83","89","96","95","94","73","62","53","96"
"1991","59","69","70","78","76","80","98","88","91","85","60","53","98"
"1992","59","72","70","76","92","96","101","96","82","80","59","53","101"
"1993","57","65","64","71","89","83","80","97","90","83","63","62","97"
"1994","56","53","80","74","82","81","96","90","90","76","53","59","96"
"1995","62","67","75","72","84","95","95","89","88","74","70","58","M"
"1996","56","67","74","81","M","85","98","92","82","84","64","54","M"
