"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1893","M","45","52","65","76","82","97","97","93","61","55","48","M"
"1894","48","48","M","71","91","87","96","98","86","71","54","39","M"
"1895","M","49","63","M","84","94","98","98","85","73","61","48","M"
"1896","44","50","61","65","79","101","99","91","87","75","58","48","M"
"1897","M","50","47","78","96","89","97","102","85","76","60","43","M"
"1898","38","55","53","73","M","94","97","100","M","M","55","48","M"
"1899","66","M","57","70","78","85","103","91","90","74","56","54","M"
"1900","58","49","64","80","86","94","102","90","85","67","50","47","102"
"1901","45","52","54","70","87","90","94","100","76","77","57","44","100"
"1902","47","47","M","69","87","90","99","103","89","74","50","37","M"
"1903","45","45","50","70","91","96","98","97","78","70","58","42","M"
"1904","43","39","48","74","80","95","98","100","88","82","M","49","M"
"1905","41","50","57","79","82","88","100","96","84","60","55","38","100"
"1906","46","47","58","80","M","90","100","96","85","77","54","38","M"
"1907","48","48","M","72","85","86","97","97","88","79","68","47","M"
"1908","41","43","58","75","M","M","95","M","M","M","M","M","M"
"1909","M","M","M","M","M","M","M","M","95","75","57","43","M"
"1910","54","41","68","M","90","91","97","M","M","80","58","41","M"
"1911","43","40","69","77","87","91","104","92","92","78","M","M","M"
"1912","41","46","64","69","82","95","98","92","86","70","M","45","M"
"1913","51","50","50","70","M","M","M","M","M","M","M","M","M"
"1914","M","M","M","M","M","M","M","M","85","72","56","38","M"
"1915","37","46","67","76","80","88","94","96","84","70","55","45","96"
"1916","41","45","57","71","76","92","86","95","86","78","54","42","M"
"1917","46","50","45","61","79","87","96","94","87","80","59","52","96"
"1918","48","45","65","75","76","92","98","91","86","73","52","50","M"
"1919","45","39","55","70","81","80","97","96","80","76","58","47","M"
"1920","53","55","62","74","76","90","98","96","86","69","50","44","M"
"1921","50","48","61","68","82","90","91","96","76","78","67","49","M"
"1922","39","44","51","69","84","92","96","96","88","75","47","44","M"
"1923","43","44","68","74","81","92","98","95","89","78","54","46","M"
"1924","44","49","59","74","88","99","104","95","93","67","51","M","M"
"1925","47","48","60","75","78","96","95","96","M","72","51","48","M"
"1926","40","53","65","M","77","M","100","95","88","62","M","M","M"
"1927","41","44","56","73","77","88","96","92","80","70","58","M","M"
"1928","48","43","62","69","88","94","104","92","92","71","52","45","M"
"1929","37","43","60","74","M","83","99","M","M","76","61","M","M"
"1930","M","58","68","M","M","M","98","97","87","77","59","38","M"
"1931","M","44","M","78","90","91","96","92","84","77","56","40","M"
"1932","48","55","65","70","74","88","88","93","88","84","58","51","M"
"1933","46","43","51","74","74","90","96","94","80","80","66","50","96"
"1934","50","57","65","84","92","90","99","94","89","78","57","43","99"
"1935","48","49","57","68","81","86","99","92","89","82","58","44","M"
"1936","42","50","63","82","89","90","98","95","85","80","54","54","98"
"1937","32","49","58","66","79","89","93","87","88","70","55","46","M"
"1938","44","43","51","70","82","89","95","87","88","70","50","48","95"
"1939","44","44","70","76","85","88","100","92","84","73","57","48","100"
"1940","48","50","62","M","82","87","91","89","86","74","48","48","M"
"1941","42","47","64","71","80","82","95","90","72","66","56","51","95"
"1942","49","48","61","76","72","84","94","92","83","74","48","48","94"
"1943","50","50","58","78","75","83","88","88","85","78","56","47","88"
"1944","50","45","62","70","80","85","92","84","89","70","51","44","M"
"1945","50","48","58","68","78","84","91","89","81","77","65","43","91"
"1946","42","50","56","78","88","83","92","92","M","64","49","53","M"
"1947","45","58","69","74","85","84","91","87","83","75","55","44","M"
"1948","47","48","62","66","79","89","84","85","84","64","48","42","M"
"1949","42","47","54","74","87","88","90","95","88","64","65","48","95"
"1950","43","50","53","66","76","84","90","88","91","60","49","45","91"
"1951","47","54","52","70","78","82","90","89","83","73","52","45","M"
"1952","39","48","63","78","79","80","94","95","86","79","57","38","M"
"1953","49","M","59","68","79","76","94","96","90","76","60","47","M"
"1954","45","50","55","71","86","81","93","92","80","67","60","45","93"
"1955","42","45","52","66","76","93","98","96","95","70","56","41","98"
"1956","40","43","51","79","90","82","97","96","84","74","52","49","M"
