"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1891","M","M","M","M","M","M","105","M","M","85","63","53","M"
"1892","53","M","69","71","83","M","79","84","81","75","M","M","M"
"1893","53","51","64","69","78","88","81","M","84","69","M","M","M"
"1894","M","M","72","81","92","86","94","91","88","70","62","49","M"
"1895","57","66","66","81","M","94","95","M","M","78","59","55","M"
"1896","55","65","68","65","84","94","91","M","M","M","M","M","M"
"1897","M","M","57","81","81","74","78","M","85","75","57","58","M"
"1898","57","59","61","75","M","89","M","96","87","68","68","M","M"
"1899","57","53","M","72","M","M","93","77","84","81","65","56","M"
"1900","61","57","75","87","70","86","82","M","M","73","66","58","M"
"1901","58","56","M","67","83","85","74","86","78","80","60","55","M"
"1902","51","60","60","77","82","86","86","90","82","82","55","47","M"
"1903","M","58","70","65","72","90","81","86","82","72","M","M","M"
"1904","54","52","58","M","87","92","98","82","86","80","73","57","M"
"1905","55","73","82","88","78","75","82","80","92","74","67","54","M"
"1906","57","64","69","78","80","89","89","90","74","78","62","57","M"
"1907","51","60","65","75","85","74","81","81","93","80","66","58","M"
"1908","54","64","M","77","76","82","79","90","79","76","M","52","M"
"1909","53","52","65","M","82","74","73","86","92","77","58","52","M"
"1910","53","52","71","76","82","M","89","76","79","70","56","54","M"
"1911","50","55","72","73","78","78","96","89","79","70","M","53","M"
"1912","59","59","71","66","90","91","M","M","82","71","59","52","M"
"1913","51","59","65","77","82","81","92","92","84","M","56","54","M"
"1914","55","57","74","71","91","88","84","86","82","75","57","50","M"
"1915","54","59","78","76","79","91","90","92","80","74","57","54","92"
"1916","50","69","62","70","74","86","75","92","86","73","55","49","92"
"1917","49","55","57","69","60","84","81","86","78","78","67","59","86"
"1918","57","55","67","80","75","88","80","93","86","75","58","54","93"
"1919","59","54","71","67","71","73","92","89","85","78","59","53","M"
"1920","61","57","60","67","79","81","94","89","84","69","60","52","M"
"1921","52","63","66","75","77","M","76","82","75","78","64","55","M"
"1922","48","56","59","72","92","79","87","91","90","77","57","54","M"
"1923","53","58","78","77","73","M","89","92","93","83","68","M","M"
"1924","56","57","65","80","85","89","93","74","93","73","60","63","M"
"1925","56","61","61","86","87","70","77","91","83","73","61","58","M"
"1926","55","60","75","88","85","84","86","83","84","M","57","58","M"
"1927","56","54","64","77","75","89","96","95","84","67","58","53","M"
"1928","58","57","74","75","87","70","95","78","86","65","60","58","M"
"1929","49","57","63","65","76","83","84","90","87","76","62","55","90"
"1930","50","60","77","72","73","89","75","78","85","67","62","54","89"
"1931","64","60","67","80","85","88","96","89","74","75","66","52","96"
"1932","52","54","60","71","80","92","76","90","88","83","62","58","92"
"1933","50","50","57","73","70","81","84","94","72","84","65","54","94"
"1934","54","68","76","84","88","78","75","90","93","82","63","55","93"
