"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1920","M","M","M","74","83","86","96","93","87","67","62","54","M"
"1921","58","64","63","75","81","79","82","88","73","73","65","52","M"
"1922","52","56","57","M","91","89","91","90","87","77","65","57","M"
"1923","58","56","72","78","82","90","M","92","87","80","65","56","M"
"1924","59","59","61","77","89","96","95","93","92","72","59","59","M"
"1925","58","59","65","75","87","98","87","93","M","72","61","61","M"
"1926","54","60","71","84","87","93","99","89","84","73","M","M","M"
"1927","M","58","M","M","73","88","93","94","85","M","M","59","M"
"1928","61","58","76","70","93","85","96","M","88","68","65","54","M"
"1929","M","54","60","M","M","M","90","90","M","74","M","51","M"
"1930","M","56","71","M","79","M","M","M","85","M","M","55","M"
"1931","M","61","69","88","86","M","93","91","77","74","60","57","M"
"1932","52","58","65","74","79","90","85","91","88","82","67","65","M"
"1933","64","54","62","73","75","86","90","95","78","75","64","58","M"
"1934","58","68","74","85","86","83","M","M","M","M","M","52","M"
"1935","M","63","M","76","76","88","M","93","88","76","60","58","M"
"1936","56","54","61","77","90","85","88","95","85","81","70","57","95"
"1937","42","63","70","68","86","90","89","89","96","80","68","57","96"
"1938","M","69","69","76","86","90","98","89","92","75","60","61","M"
"1939","59","53","74","82","89","84","95","98","83","71","65","65","98"
"1940","61","61","65","84","85","90","92","92","90","77","56","63","92"
"1941","59","60","74","83","84","89","102","90","77","70","65","61","102"
"1942","54","55","73","75","79","98","101","98","85","80","60","62","M"
"1943","51","65","64","79","78","87","88","89","89","81","62","58","M"
"1944","59","54","65","80","89","90","99","96","95","77","75","57","M"
"1945","58","57","62","73","87","87","92","90","87","76","60","55","92"
"1946","57","59","66","74","84","84","92","89","85","80","68","58","M"
"1947","63","69","74","83","93","82","87","M","83","75","62","60","M"
"1948","50","60","M","M","M","M","90","80","87","72","54","51","M"
"1949","42","65","62","73","84","90","92","92","91","65","67","59","92"
"1950","51","62","61","74","80","88","88","93","90","72","66","58","M"
"1951","60","60","65","81","80","96","100","89","92","80","63","54","M"
"1952","57","64","60","74","80","78","93","94","89","79","66","63","94"
"1953","57","57","66","69","89","83","90","89","84","74","68","57","90"
"1954","52","56","61","71","78","78","84","83","77","M","64","55","M"
"1955","54","51","61","72","70","95","85","89","88","70","58","59","95"
"1956","54","53","65","78","90","76","97","91","90","74","58","59","M"
"1957","55","57","62","80","83","80","85","82","87","72","58","54","87"
"1958","56","65","63","75","89","92","98","M","86","77","62","64","M"
"1959","55","66","61","74","88","87","93","91","79","68","59","60","93"
"1960","63","58","74","72","79","79","95","98","83","71","57","60","98"
"1961","60","63","63","M","87","92","97","95","84","73","58","53","M"
"1962","57","59","69","81","68","84","90","87","86","78","64","61","90"
"1963","61","65","66","70","91","90","78","85","89","75","61","63","91"
"1964","58","58","72","M","85","83","85","88","79","72","57","53","M"
