"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1912","M","M","M","69","93","91","93","87","83","68","63","53","M"
"1913","51","60","63","75","75","86","93","93","85","68","59","59","M"
"1914","60","62","74","72","81","92","92","91","79","74","61","50","92"
"1915","57","61","77","78","81","90","94","91","87","71","57","56","94"
"1916","52","65","71","69","78","86","87","92","82","74","56","57","92"
"1917","M","53","59","M","M","M","86","89","83","80","77","M","M"
"1918","64","57","74","77","76","83","M","M","M","72","65","61","M"
"1919","57","54","68","71","76","M","92","93","85","72","64","62","M"
"1920","65","M","65","74","83","89","94","M","89","67","65","57","M"
"1921","58","66","64","77","81","80","83","85","75","76","65","62","M"
"1922","55","61","60","71","95","86","86","88","76","70","63","56","M"
"1923","52","59","69","76","M","M","M","M","M","M","M","M","M"
"1924","M","M","M","M","M","M","94","86","94","69","61","61","M"
"1925","55","60","62","80","87","101","88","89","88","70","67","60","M"
"1926","57","63","74","87","92","92","98","92","84","72","67","61","98"
"1927","60","58","63","78","78","86","94","95","85","74","58","57","95"
"1928","59","61","78","75","86","85","94","87","84","70","64","57","M"
"1929","49","51","64","71","82","84","89","89","87","79","60","57","89"
"1930","50","64","73","73","79","90","94","90","86","69","66","58","94"
"1931","66","65","70","82","87","90","93","98","85","72","64","52","98"
"1932","57","67","64","74","77","92","85","91","86","87","62","59","92"
"1933","60","55","64","75","79","84","90","92","82","77","61","62","92"
"1934","55","64","76","88","90","84","84","93","91","83","67","56","93"
"1935","68","60","59","75","81","91","95","92","90","76","57","56","95"
"1936","57","52","61","76","91","81","84","93","83","81","71","57","93"
"1937","45","65","69","70","81","88","89","86","89","79","66","58","89"
"1938","55","69","68","75","84","87","95","84","91","73","59","58","95"
"1939","59","56","76","80","87","82","97","94","84","M","60","M","M"
"1940","70","67","70","82","82","89","89","94","88","79","64","64","M"
"1941","63","69","77","84","83","90","100","95","80","M","69","61","M"
"1942","63","58","73","82","81","96","99","M","86","82","M","M","M"
"1943","56","68","63","79","79","85","91","M","88","79","63","56","M"
"1944","57","56","74","84","86","88","96","95","95","78","68","57","M"
"1945","63","62","61","70","87","M","M","M","M","M","M","65","M"
"1946","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1947","M","63","M","82","87","M","M","M","M","M","68","M","M"
"1948","M","M","M","M","M","M","M","M","M","M","66","49","M"
"1949","53","M","65","76","80","84","M","93","M","M","M","M","M"
"1950","M","59","M","M","M","M","M","M","M","M","M","M","M"
"1951","55","59","65","82","85","95","99","89","M","78","59","55","M"
"1952","55","59","63","75","84","78","93","95","91","77","62","60","95"
"1953","59","54","67","69","89","77","92","89","88","73","61","53","M"
"1954","55","58","67","72","83","81","88","84","78","72","63","64","88"
"1955","53","53","65","71","74","100","85","88","88","67","63","56","100"
"1956","56","49","65","76","90","82","97","90","87","69","59","56","M"
"1957","48","57","62","78","84","80","85","85","87","73","55","M","M"
"1958","57","60","61","77","89","95","99","90","88","76","63","M","M"
"1959","57","59","63","77","85","88","93","86","78","67","60","55","M"
"1960","63","56","68","75","79","82","93","98","83","71","66","59","M"
"1961","62","57","62","68","87","89","96","92","86","82","62","55","M"
"1962","59","66","69","79","69","85","90","M","86","73","66","57","M"
"1963","55","69","66","68","M","88","81","86","89","M","61","62","M"
"1964","54","57","74","66","88","81","86","89","78","75","58","55","89"
"1965","55","60","69","79","78","88","95","91","80","76","67","62","95"
"1966","55","65","74","78","83","87","87","90","84","78","59","57","90"
"1967","58","60","57","65","85","92","89","97","94","73","62","55","97"
"1968","59","71","70","78","80","91","93","92","82","71","61","53","93"
"1969","53","58","72","70","91","92","89","83","85","74","63","56","M"
"1970","58","66","65","67","83","97","94","88","84","77","74","52","M"
"1971","58","58","59","77","88","83","96","94","81","76","59","52","96"
"1972","53","61","69","77","91","79","91","92","88","73","62","58","92"
"1973","61","67","64","68","89","87","90","86","88","69","60","58","90"
"1974","58","56","61","75","71","84","91","92","90","M","M","60","M"
"1975","56","60","62","69","82","88","89","83","86","86","68","60","M"
"1976","59","58","62","86","84","M","85","82","84","74","64","60","M"
"1977","57","66","59","79","72","87","86","97","77","M","62","M","M"
"1978","56","61","66","M","85","92","96","97","74","74","M","53","M"
"1979","55","58","M","76","M","88","97","88","M","M","65","60","M"
"1980","55","64","M","81","M","M","88","88","M","M","73","69","M"
"1981","64","68","71","77","78","81","89","99","96","M","70","M","M"
"1982","M","62","66","81","82","M","M","90","M","72","62","59","M"
"1983","58","65","64","75","M","81","86","85","80","69","62","M","M"
"1984","62","63","68","M","85","85","92","86","86","78","60","49","M"
"1985","52","55","67","72","86","89","93","89","78","M","58","54","M"
"1986","59","71","72","75","86","89","84","M","87","73","59","M","M"
"1987","60","63","74","84","M","91","85","91","89","86","64","55","M"
"1988","54","M","68","75","M","M","94","M","96","M","M","57","M"
"1989","55","53","63","82","79","90","M","M","M","M","62","M","M"
"1990","54","M","68","78","79","86","93","93","92","68","M","54","M"
"1991","56","65","65","74","72","78","M","86","M","84","61","M","M"
"1992","M","67","M","79","M","M","M","92","81","76","57","57","M"
"1993","56","64","64","74","M","81","M","95","M","79","58","M","M"
"1994","55","59","74","72","79","80","99","87","85","71","54","59","M"
"1995","M","61","74","73","82","94","92","84","M","M","66","62","M"
"1996","57","63","72","77","73","79","M","89","M","M","M","52","M"
"1997","M","59","65","M","83","80","90","M","85","M","65","M","M"
"1998","61","64","70","M","M","M","96","87","84","73","59","58","M"
"1999","M","55","67","M","M","87","M","M","M","M","63","58","M"
"2000","55","62","64","69","74","90","85","M","85","M","60","M","M"
"2001","58","57","69","M","85","81","83","M","78","M","63","55","M"
"2002","60","61","60","70","83","94","89","M","M","M","63","M","M"
"2003","58","57","M","M","M","91","93","M","87","73","59","56","M"
"2004","56","64","81","83","81","M","M","92","78","74","61","61","M"
"2005","64","69","70","80","90","81","M","88","M","71","56","60","M"
"2006","57","59","64","75","83","89","97","M","88","71","62","56","M"
"2007","58","61","73","80","86","86","M","M","83","75","61","61","M"
"2008","55","62","62","79","90","90","85","89","80","75","64","57","M"
"2009","53","65","61","75","M","89","104","90","87","66","62","59","M"
"2010","60","63","73","71","74","77","93","94","M","70","78","58","M"
"2011","56","56","64","69","73","M","84","M","85","67","64","54","M"
"2012","56","65","62","M","M","79","82","M","86","77","M","M","M"
"2013","M","M","M","72","M","89","M","M","89","M","M","M","M"
"2014","M","M","69","M","M","M","89","M","86","M","65","M","M"
"2015","M","M","M","76","M","90","M","M","M","M","M","M","M"
"2016","58","64","M","M","86","91","M","M","79","70","73","M","M"
"2017","57","M","M","M","M","M","M","M","M","71","M","M","M"
"2018","64","56","74","82","M","86","91","M","85","73","63","58","M"
"2019","M","52","M","69","M","M","M","85","M","M","M","M","M"
"2020","M","M","M","M","M","81","M","M","89","M","M","M","M"
"2021","56","M","M","M","78","M","M","M","M","M","M","M","M"
"2022","M","59","M","M","71","M","M","M","M","M","M","M","M"
