"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1899","M","M","M","M","73","79","94","81","83","84","67","57","M"
"1900","59","M","76","86","78","88","85","83","81","70","63","58","M"
"1901","53","62","69","70","87","88","84","93","88","82","74","63","93"
"1902","56","62","65","74","86","85","95","95","81","85","58","52","95"
"1903","M","60","65","67","78","98","85","84","83","72","62","M","M"
"1904","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1905","50","63","69","79","M","78","M","M","M","M","M","M","M"
"1906","M","M","69","M","M","M","M","M","M","M","M","M","M"
"1907","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1908","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1909","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1910","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1913","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1914","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1915","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1916","M","M","M","M","74","84","79","85","77","M","64","54","M"
"1917","55","M","62","M","M","82","82","M","M","M","M","M","M"
"1918","M","M","74","78","78","81","M","M","M","M","M","M","M"
"1919","M","M","M","M","72","M","84","M","M","68","M","M","M"
"1920","M","M","M","M","80","M","93","88","75","68","67","59","M"
"1921","M","M","M","70","78","M","M","M","78","75","M","M","M"
"1922","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1923","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1924","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1925","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1926","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1927","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1928","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1929","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1930","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1931","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1932","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1933","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1934","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1935","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1936","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1937","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1938","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1939","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1940","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1941","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1942","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1943","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1944","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1945","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1946","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1947","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1948","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1949","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1950","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1951","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1952","M","M","M","M","83","75","91","93","89","79","65","59","M"
"1953","57","58","64","67","88","76","88","88","85","75","61","53","88"
"1954","51","61","60","72","79","79","82","81","76","78","64","56","82"
"1955","51","52","61","72","73","97","85","87","86","69","64","56","97"
"1956","52","49","66","75","89","79","96","88","86","70","62","54","96"
