"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1899","54","54","58","69","72","81","96","88","91","73","54","55","96"
"1900","52","58","67","81","84","92","99","86","87","73","58","58","99"
"1901","50","62","65","70","83","89","90","101","80","81","65","47","M"
"1902","M","57","57","64","85","91","93","98","89","79","48","43","M"
"1903","46","52","62","66","85","91","97","95","81","78","58","47","97"
"1904","52","53","53","78","79","92","96","102","91","86","62","50","M"
"1905","47","63","72","80","80","82","104","99","87","64","66","46","104"
"1906","51","49","68","80","85","85","100","95","92","81","56","44","100"
"1907","46","53","57","75","88","88","97","98","87","80","63","45","M"
"1908","47","55","60","72","78","91","98","96","92","81","67","52","98"
"1909","44","46","69","66","81","84","90","97","94","72","50","M","M"
"1910","47","43","67","85","92","90","97","94","89","76","58","43","M"
"1911","50","45","72","78","88","88","102","92","92","75","58","52","M"
"1912","47","50","70","74","82","97","97","96","87","70","59","47","97"
"1913","48","53","57","73","87","91","101","98","85","74","58","50","101"
"1914","49","48","65","78","86","91","96","100","89","70","56","41","100"
"1915","43","51","75","78","80","92","94","98","87","75","56","49","98"
"1916","39","50","62","73","80","97","89","99","90","80","55","46","99"
"1917","49","56","49","60","80","89","99","99","86","81","72","53","99"
"1918","51","51","68","80","80","92","103","95","94","78","55","56","103"
"1919","M","47","69","78","87","86","105","99","86","81","58","53","M"
"1920","51","59","61","76","79","92","99","101","92","71","60","M","M"
"1921","47","M","66","66","82","91","94","98","77","83","59","M","M"
"1922","44","M","52","72","85","96","98","99","90","82","53","54","M"
"1923","M","M","72","75","82","96","98","96","91","80","64","M","M"
"1924","M","58","62","74","89","99","100","95","92","69","54","M","M"
"1925","49","56","63","79","81","99","99","M","M","M","62","M","M"
"1926","M","60","69","88","80","99","103","101","89","73","61","53","M"
"1927","43","M","M","76","82","86","102","96","83","72","58","57","M"
"1928","48","M","67","71","88","94","104","91","94","79","54","45","M"
"1929","45","45","65","73","86","90","97","98","92","76","65","54","M"
"1930","M","53","79","74","81","86","98","M","84","82","66","M","M"
"1931","51","53","69","96","95","94","100","96","86","85","60","47","100"
"1932","52","62","67","73","79","98","95","97","87","82","59","52","98"
"1933","52","51","53","79","76","91","97","99","88","82","68","51","99"
"1934","55","M","70","87","95","90","98","97","91","81","58","50","M"
"1935","46","52","64","73","81","M","M","94","98","84","62","49","M"
"1936","52","53","66","82","90","91","95","93","88","83","65","54","M"
"1937","44","54","60","72","84","94","97","90","90","73","61","52","97"
"1938","54","50","55","78","87","97","101","92","92","75","56","59","101"
"1939","50","49","76","81","92","92","105","98","90","83","60","57","105"
"1940","48","52","75","74","89","95","95","95","90","76","57","55","95"
"1941","49","52","72","76","89","88","104","99","M","71","59","54","M"
"1942","44","51","70","M","M","95","103","99","92","77","48","56","M"
"1943","51","60","58","81","80","87","95","M","91","83","55","M","M"
"1944","45","49","66","74","85","88","98","88","98","76","59","45","98"
"1945","52","53","60","72","88","90","96","100","89","82","60","44","100"
"1946","46","47","66","77","85","M","101","97","83","M","52","54","M"
"1947","48","58","75","83","96","90","95","93","88","72","57","49","96"
"1948","52","52","70","73","87","100","96","92","91","68","55","40","100"
"1949","39","47","59","80","91","97","101","97","88","69","62","47","M"
"1950","40","44","48","66","80","88","97","97","95","66","49","53","97"
"1951","40","46","62","78","87","91","96","95","90","73","55","53","96"
"1952","39","48","65","80","86","91","104","98","90","84","62","41","104"
"1953","50","53","65","69","81","77","96","96","89","74","55","48","96"
"1954","47","51","59","70","89","86","M","98","82","67","M","M","M"
"1955","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1956","M","M","M","79","90","82","100","99","88","M","58","51","M"
"1957","41","57","57","84","92","90","91","88","94","78","60","58","94"
"1958","48","55","57","74","98","100","103","101","92","88","58","55","M"
"1959","49","52","62","71","83","93","104","91","M","M","64","50","M"
"1960","51","50","72","76","80","85","100","96","87","78","53","52","M"
"1961","47","62","63","64","83","97","97","102","83","79","48","45","M"
"1962","55","69","66","78","69","86","97","91","90","72","56","55","M"
"1963","48","63","62","66","84","95","87","94","91","80","51","43","95"
"1964","45","58","68","66","80","84","93","89","84","77","56","47","93"
"1965","49","58","66","73","81","95","98","100","78","75","59","45","100"
"1966","43","52","72","75","90","86","88","95","89","74","62","48","95"
"1967","50","54","59","64","88","91","95","105","90","68","58","54","M"
"1968","54","65","65","78","82","91","99","91","84","68","54","49","M"
"1969","37","46","M","M","85","94","93","93","91","67","67","44","M"
"1970","43","52","59","60","84","95","96","97","82","84","61","42","97"
"1971","57","60","52","70","84","87","101","101","80","79","60","48","101"
"1972","47","48","65","69","87","88","92","102","88","78","52","51","102"
"1973","48","53","61","71","89","95","96","95","91","71","44","45","96"
"1974","45","59","63","69","76","93","96","96","93","77","55","48","96"
"1975","52","48","59","68","81","86","101","90","91","78","63","54","101"
"1976","57","48","63","69","83","89","92","91","90","82","57","51","92"
"1977","49","57","60","88","73","89","92","101","85","67","51","51","101"
"1978","47","52","68","71","77","92","96","96","80","72","66","48","96"
"1979","38","47","69","76","83","93","101","97","89","85","54","53","101"
"1980","42","48","55","81","79","84","95","91","88","86","56","47","95"
"1981","47","56","64","82","80","87","94","101","94","71","59","45","101"
"1982","50","50","61","74","87","96","100","96","90","72","52","44","M"
"1983","52","53","59","73","99","88","94","94","79","68","52","42","M"
"1984","52","53","66","69","M","85","94","97","86","77","51","43","M"
"1985","43","56","62","74","83","91","M","87","76","72","55","M","M"
"1986","44","58","67","76","97","100","87","96","86","83","53","44","100"
"1987","44","48","60","85","91","96","94","M","92","83","64","50","M"
"1988","47","62","65","73","82","88","97","M","97","84","M","49","M"
"1989","56","47","55","75","78","88","M","94","88","M","59","52","M"
"1990","46","60","69","74","83","M","M","M","91","68","63","42","M"
"1991","54","60","66","72","71","M","M","M","M","M","57","50","M"
"1992","49","54","74","M","M","M","M","M","M","83","M","47","M"
"1993","M","47","58","63","M","M","83","M","M","83","60","45","M"
"1994","57","49","73","77","83","87","103","96","88","68","48","43","103"
"1995","44","60","65","70","86","89","97","89","95","66","54","46","M"
"1996","47","50","66","77","78","82","100","99","84","77","54","45","100"
"1997","48","53","68","65","87","82","90","M","84","67","58","51","M"
"1998","47","48","65","82","84","89","102","100","96","72","55","47","M"
"1999","50","51","69","79","86","92","M","92","86","68","55","52","M"
"2000","46","47","65","M","M","M","M","M","87","70","55","M","M"
"2001","48","49","66","78","90","90","93","M","91","81","59","44","M"
"2002","45","M","57","73","73","96","M","97","M","M","54","45","M"
"2003","53","53","72","65","84","M","M","92","94","83","M","M","M"
"2004","M","M","M","M","78","96","98","M","M","M","M","M","M"
"2005","M","65","71","80","M","M","M","M","82","67","M","M","M"
"2006","45","47","56","81","96","97","100","M","M","M","57","M","M"
"2007","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2008","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2009","M","M","M","M","M","M","M","M","M","65","53","49","M"
"2010","46","50","59","72","79","81","94","94","83","77","58","41","94"
"2011","48","51","51","59","75","82","87","92","93","71","48","50","93"
"2012","43","46","58","83","86","81","97","96","88","79","58","49","97"
"2013","46","49","64","75","88","86","95","93","91","67","57","52","95"
"2014","55","46","56","68","83","87","98","97","86","79","56","46","98"
"2015","52","57","69","75","83","99","98","99","90","77","56","46","99"
"2016","44","52","67","83","85","96","93","94","82","68","60","43","96"
"2017","39","43","53","60","M","91","96","99","92","67","64","47","M"
"2018","43","57","57","80","88","85","97","98","84","65","59","47","M"
"2019","56","47","64","71","85","88","91","97","85","65","59","47","M"
"2020","44","57","63","76","86","92","98","97","93","82","57","48","98"
"2021","49","48","62","79","83","108","95","100","83","68","62","62","108"
