"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1909","41","M","62","65","78","79","M","M","M","M","M","45","M"
"1910","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912","M","M","M","M","M","M","M","86","M","M","M","M","M"
"1913","M","M","M","M","M","M","M","M","M","71","57","M","M"
"1914","M","M","66","68","83","86","M","93","M","M","53","42","M"
"1915","46","50","73","73","75","87","94","99","80","70","53","47","99"
"1916","37","52","55","64","68","89","89","96","85","M","48","46","M"
"1917","38","45","50","53","60","82","96","88","M","82","57","50","M"
"1918","46","41","56","71","74","89","90","88","87","74","47","42","M"
"1919","44","45","57","66","81","82","95","91","85","74","51","43","95"
"1920","45","53","56","65","75","80","89","92","82","60","50","43","92"
"1921","40","47","57","60","77","80","85","82","69","72","56","47","85"
"1922","38","48","52","59","85","90","93","95","90","75","49","43","95"
"1923","46","50","55","69","80","92","91","95","94","80","59","42","95"
"1924","41","46","52","76","88","90","92","86","M","71","54","48","M"
"1925","41","46","55","71","81","98","86","90","83","74","48","49","M"
"1926","48","45","70","85","77","94","M","M","76","60","58","48","M"
"1927","45","44","50","65","72","83","98","85","82","70","58","47","M"
"1928","45","47","M","71","89","85","M","89","95","62","52","40","M"
"1929","38","39","52","59","76","84","87","88","91","78","M","50","M"
"1930","40","43","59","69","72","86","93","87","87","69","53","44","M"
"1931","M","54","56","M","95","84","97","93","80","76","59","47","M"
"1932","42","49","49","66","76","87","82","88","86","82","53","46","88"
"1933","39","38","45","63","74","90","97","100","78","88","66","50","100"
"1934","51","62","72","83","87","83","82","96","94","87","61","60","96"
"1935","51","59","60","63","77","87","105","96","90","87","53","54","105"
"1936","45","45","59","70","90","85","81","90","83","87","65","60","90"
"1937","41","55","58","62","78","95","86","86","93","81","62","55","95"
"1938","49","64","55","69","83","85","100","84","94","77","51","51","100"
"1939","45","43","70","79","89","80","91","92","89","73","69","56","92"
"1940","60","50","67","78","83","93","88","96","86","77","52","54","96"
"1941","57","62","68","74","84","91","100","90","73","75","69","48","M"
"1942","M","45","65","72","73","90","100","97","88","88","49","M","M"
"1943","M","57","M","76","75","82","87","87","92","84","59","49","M"
"1944","M","M","M","70","83","84","98","95","95","78","M","M","M"
"1945","M","M","56","70","82","86","91","97","88","M","M","48","M"
"1946","47","50","55","M","80","82","100","93","84","66","48","46","M"
"1947","42","54","73","79","92","79","89","83","89","67","52","45","92"
"1948","45","43","63","66","81","92","88","83","88","73","45","38","92"
"1949","39","60","58","70","82","85","89","90","90","71","72","42","90"
"1950","40","50","57","68","74","84","90","91","88","68","59","52","M"
"1951","39","51","63","74","81","90","96","92","90","81","57","41","M"
"1952","45","48","63","73","84","79","95","97","92","88","61","45","97"
"1953","48","48","60","66","84","74","93","95","93","80","55","42","95"
"1954","41","42","49","62","82","78","86","83","83","70","66","44","86"
"1955","44","45","44","52","67","87","85","90","97","76","52","44","97"
"1956","42","44","49","69","87","77","99","92","85","80","60","47","99"
"1957","41","55","59","82","82","82","83","82","90","75","58","56","90"
"1958","42","60","55","71","89","91","99","96","95","75","55","53","M"
"1959","49","49","55","70","81","86","94","87","81","71","61","49","M"
"1960","48","47","68","75","73","82","94","96","87","79","58","45","96"
"1961","63","50","58","62","79","M","98","94","79","77","52","45","M"
"1962","52","56","66","78","62","85","90","86","87","77","70","51","90"
"1963","43","64","64","66","84","88","81","89","93","76","50","50","93"
"1964","40","55","65","62","77","79","88","85","78","81","50","45","M"
"1965","46","52","65","73","76","86","100","90","80","78","59","46","M"
"1966","44","56","67","70","85","82","82","84","85","77","63","46","M"
"1967","39","53","52","60","82","91","92","96","91","71","56","44","96"
"1968","50","69","62","78","80","89","92","88","85","74","50","44","92"
"1969","42","48","63","66","87","90","86","84","85","71","63","M","M"
"1970","44","M","58","56","82","M","98","M","M","M","M","38","M"
"1971","M","M","M","66","M","68","98","M","M","M","M","40","M"
"1972","39","48","M","67","86","80","90","95","M","M","49","M","M"
"1973","43","M","M","66","88","92","91","92","96","M","46","42","M"
"1974","43","43","58","M","72","88","88","94","91","M","M","47","M"
"1975","44","50","56","61","M","88","M","83","89","88","59","46","M"
"1976","45","48","55","65","76","85","87","83","83","78","58","47","M"
"1977","50","60","55","82","70","85","84","101","80","69","49","47","M"
"1978","46","58","66","69","75","88","94","93","77","M","M","39","M"
"1979","41","42","63","72","83","85","95","84","89","81","54","M","M"
"1980","44","50","54","80","83","75","96","89","84","86","58","51","96"
"1981","55","54","65","73","78","79","89","99","95","70","58","44","99"
"1982","41","47","57","68","78","90","95","92","91","72","50","44","M"
"1983","43","57","55","72","95","81","80","84","78","65","54","38","M"
"1984","49","56","63","70","82","82","94","92","81","72","44","35","M"
"1985","42","48","60","70","79","92","97","88","78","71","48","40","M"
"1986","49","57","64","73","88","91","78","94","83","73","58","M","M"
"1987","41","53","66","87","88","92","91","92","96","88","61","48","M"
"1988","40","56","66","70","82","84","94","95","101","84","59","47","101"
"1989","44","48","53","72","74","96","84","93","88","71","55","M","M"
"1990","45","54","62","75","80","87","97","96","87","71","52","48","M"
"1991","44","61","64","68","66","78","93","89","89","86","55","43","93"
"1992","51","68","71","78","88","91","94","97","81","81","50","40","97"
"1993","42","51","57","59","84","80","78","91","89","84","51","47","91"
"1994","52","48","71","74","80","79","97","83","88","73","47","43","97"
"1995","48","57","68","72","84","85","92","83","88","70","55","50","92"
"1996","47","52","64","74","74","85","96","95","85","77","54","48","96"
"1997","44","50","64","58","86","M","90","90","M","67","57","42","M"
"1998","48","50","64","M","84","84","M","89","94","75","49","44","M"
"1999","43","42","64","70","84","89","87","88","88","75","55","44","M"
"2000","42","48","60","70","M","M","86","85","90","72","53","M","M"
"2001","48","51","66","77","91","86","89","92","85","77","61","38","92"
"2002","43","53","51","65","73","90","95","92","82","72","56","52","M"
"2003","50","54","66","64","81","92","97","90","92","M","51","44","M"
"2004","44","48","69","81","78","89","97","91","83","75","54","50","M"
"2005","57","58","69","70","90","85","88","93","79","M","48","48","M"
"2006","45","47","54","72","87","96","102","89","93","M","55","43","M"
"2007","45","49","M","72","M","87","97","91","89","M","57","44","M"
"2008","39","47","M","M","M","98","90","97","91","79","60","M","M"
"2009","42","51","48","M","85","86","100","94","87","M","52","M","M"
"2010","M","52","M","69","71","77","93","93","83","76","63","43","M"
"2011","48","42","47","61","70","79","82","89","92","70","48","46","M"
"2012","M","47","51","75","87","79","85","96","90","M","M","M","M"
"2013","42","M","M","68","82","84","90","84","90","M","M","M","M"
"2014","M","43","58","66","85","76","91","90","83","M","M","49","M"
"2015","M","M","M","74","81","90","94","96","88","74","M","50","M"
"2016","42","52","65","85","M","95","85","93","78","M","M","M","M"
"2017","42","47","47","68","91","99","89","99","98","M","55","M","M"
"2018","49","47","56","80","83","89","95","94","85","M","M","M","M"
"2019","M","M","65","M","M","89","87","92","83","59","M","M","M"
"2020","45","50","M","68","M","89","96","95","92","M","M","M","M"
"2021","M","44","53","M","M","105","95","98","89","M","M","48","M"
"2022","46","51","63","M","M","92","95","M","97","M","M","M","M"
