"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1931","15","24","22","26","30","40","40","46","37","23","2","-2","-2"
"1932","8","-6","22","29","30","34","38","39","33","24","25","-6","-6"
"1933","10","-4","25","24","31","32","42","41","25","27","24","17","-4"
"1934","22","22","23","25","32","38","40","39","29","31","26","22","22"
"1935","-13","20","15","16","30","39","37","37","36","6","-1","18","-13"
"1936","1","-10","21","11","37","42","45","40","28","28","6","6","-10"
"1937","-14","-1","28","29","32","39","46","38","34","33","25","18","-14"
"1938","13","18","20","26","29","35","46","41","39","23","12","10","10"
"1939","18","-2","21","25","30","35","41","45","34","24","19","11","-2"
"1940","11","20","25","29","32","40","45","43","40","31","10","5","5"
"1941","9","23","20","24","30","39","43","45","29","25","18","8","8"
"1942","-8","10","19","25","27","34","39","36","33","22","16","10","-8"
"1943","-8","7","13","26","28","33","39","42","34","25","26","12","-8"
"1944","9","7","12","27","32","39","39","41","33","35","17","9","7"
"1945","20","18","9","19","35","38","43","40","32","21","10","5","5"
"1946","17","19","25","27","33","35","41","42","31","18","14","5","5"
"1947","-4","14","18","25","33","39","44","41","35","33","25","12","-4"
"1948","12","3","15","27","30","46","M","42","31","19","20","-5","M"
"1949","-14","-5","23","26","27","34","41","39","34","15","28","3","-14"
"1950","-23","-18","18","23","30","40","42","39","33","23","18","11","-23"
"1951","1","12","20","22","26","33","39","42","28","19","17","0","0"
"1952","-10","18","18","19","25","29","39","40","36","26","-1","13","-10"
"1953","24","18","16","19","29","38","42","42","31","26","16","21","16"
"1954","-9","20","10","23","23","31","41","42","33","23","22","15","-9"
"1955","10","13","3","22","26","36","37","42","31","25","-10","5","-10"
"1956","-12","-17","20","22","31","37","47","40","30","29","13","-1","-17"
"1957","-26","-11","22","28","34","40","42","40","28","27","17","19","-26"
"1958","17","26","20","29","34","41","45","45","22","23","7","20","7"
"1959","-4","20","21","24","26","33","39","40","33","25","2","8","-4"
"1960","-2","3","9","24","29","35","44","38","32","26","22","14","-2"
"1961","14","21","20","23","26","39","43","45","25","22","7","-9","-9"
"1962","-1","6","18","25","28","31","36","36","28","30","22","10","-1"
"1963","-6","3","22","24","29","39","37","42","36","24","15","0","-6"
"1964","19","19","14","16","23","34","42","35","33","26","22","-20","-20"
"1965","13","20","10","27","23","39","43","35","25","25","23","9","M"
"1966","12","19","20","19","29","36","44","38","37","24","21","18","12"
"1967","20","20","16","25","31","41","43","46","35","25","8","3","3"
"1968","7","20","20","14","25","38","39","44","33","26","24","-19","-19"
"1969","-18","-7","22","30","31","39","40","35","33","21","20","12","-18"
"1970","8","26","22","20","32","39","47","44","27","23","7","7","7"
"1971","8","15","12","22","31","36","32","40","29","8","13","0","0"
"1972","-7","-3","20","17","27","41","40","43","27","14","20","-13","-13"
"1973","1","17","21","21","28","31","38","36","35","26","17","6","1"
"1974","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1975","M","M","M","M","M","M","M","M","M","20","6","-4","M"
"1976","15","-3","8","23","28","31","39","38","32","22","2","10","-3"
"1977","-10","18","21","17","27","35","42","43","28","23","6","5","-10"
"1978","-12","22","21","24","24","35","42","39","30","16","5","-11","M"
"1979","-16","-5","25","19","31","31","35","42","35","30","11","18","-16"
"1980","-7","12","21","27","33","32","38","34","34","27","20","5","-7"
"1981","25","6","25","22","29","33","39","39","31","20","21","7","6"
"1982","-16","8","24","21","26","34","37","45","35","22","14","11","-16"
"1983","14","21","27","21","28","36","38","44","24","22","23","-9","-9"
"1984","8","24","29","26","30","32","40","36","25","15","19","-6","-6"
"1985","3","-12","13","20","28","37","49","40","30","19","-16","-6","-16"
"1986","11","11","28","22","30","39","40","47","30","28","12","17","11"
"1987","-3","18","22","26","29","37","46","41","31","25","19","-2","-3"
"1988","4","12","22","24","27","36","40","44","31","19","27","2","2"
"1989","4","-5","1","29","30","40","39","42","37","24","22","18","-5"
"1990","20","1","22","28","29","37","42","44","M","21","23","-15","M"
"1991","0","26","22","25","31","32","43","39","32","13","15","21","M"
"1992","20","23","27","23","27","39","48","32","31","20","15","4","M"
"1993","-3","-4","13","28","35","38","43","35","29","28","-4","19","-4"
"1994","21","0","17","28","29","35","41","45","38","26","19","9","0"
"1995","4","4","21","23","34","43","M","37","37","13","13","13","M"
