"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1891","M","M","M","M","M","M","M","44","39","38","29","26","M"
"1892","21","25","30","M","M","M","M","M","M","M","M","M","M"
"1893","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1894","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1895","M","M","M","M","M","M","M","M","M","M","22","28","M"
"1896","20","26","19","26","37","39","47","47","33","33","6","27","M"
"1897","17","27","22","32","34","37","45","45","38","32","27","22","17"
"1898","15","28","23","29","33","40","46","48","41","33","29","13","13"
"1899","15","6","26","31","35","36","44","42","42","26","35","27","6"
"1900","25","18","31","31","37","43","44","41","36","32","13","24","13"
"1901","25","18","30","29","38","40","42","46","35","38","33","24","18"
"1902","1","22","28","31","37","40","40","42","36","35","30","20","1"
"1903","25","19","26","30","37","40","45","46","35","34","28","24","19"
"1904","28","28","28","31","34","40","44","42","37","37","34","27","27"
"1905","21","11","30","32","35","44","48","40","42","27","28","24","11"
"1906","29","24","18","31","37","41","46","44","35","33","23","23","18"
"1907","5","25","28","32","36","43","46","44","36","39","31","28","5"
"1908","25","18","27","31","33","39","44","41","30","30","25","20","18"
"1909","-8","29","28","30","34","40","47","41","37","34","21","15","-8"
"1910","15","21","29","31","40","39","45","43","38","30","30","27","15"
"1911","12","24","24","27","35","41","45","46","35","29","19","27","12"
"1912","13","26","25","30","38","42","50","48","38","34","31","27","13"
"1913","17","21","22","31","35","42","46","44","35","31","26","24","17"
"1914","30","25","36","32","35","37","46","43","42","37","27","14","14"
"1915","17","25","32","34","33","45","49","50","40","34","30","21","17"
"1916","6","22","28","34","34","39","41","40","39","30","20","16","6"
"1917","15","26","21","30","34","40","46","48","45","26","32","34","15"
"1918","19","22","27","27","36","40","42","48","42","34","30","19","19"
"1919","18","29","30","32","35","40","40","48","34","25","20","-10","-10"
"1920","21","24","24","33","34","39","46","43","43","34","27","29","21"
"1921","23","28","29","29","36","48","47","45","36","35","30","17","17"
"1922","9","16","26","34","33","44","47","49","43","36","27","7","7"
"1923","M","16","23","33","37","42","48","49","41","32","30","19","M"
"1924","11","30","30","32","37","45","46","44","37","32","27","0","0"
"1925","28","32","30","32","42","42","49","40","42","33","28","27","27"
"1926","24","31","32","34","39","44","46","49","34","33","33","13","13"
"1927","3","24","31","29","39","44","50","46","42","34","33","16","3"
"1928","17","26","31","32","36","45","48","46","39","32","30","24","17"
"1929","13","10","31","30","39","39","47","42","40","30","27","29","10"
"1930","-3","28","31","35","36","42","46","46","40","33","26","22","-3"
"1931","27","30","29","33","37","43","49","49","41","35","21","20","20"
"1932","24","15","30","35","39","43","45","51","36","37","30","9","M"
"1933","23","12","31","32","42","41","48","48","37","35","30","30","12"
"1934","30","30","34","32","38","45","49","51","36","37","35","26","M"
"1935","15","26","30","32","39","40","45","46","45","26","17","22","15"
"1936","22","15","28","30","40","48","50","49","40","34","22","23","15"
"1937","8","17","34","35","36","45","47","45","40","37","34","27","8"
"1938","24","29","31","32","38","43","48","44","50","34","28","21","21"
"1939","30","24","31","33","39","43","48","44","41","34","33","27","24"
"1940","27","30","34","37","41","45","50","50","43","40","28","21","21"
"1941","28","29","29","38","38","46","50","50","42","37","28","28","28"
"1942","16","27","31","36","36","46","49","49","44","33","30","32","16"
"1943","8","28","26","32","38","44","47","49","42","39","31","25","8"
"1944","23","27","26","36","36","44","46","49","40","40","27","23","23"
"1945","24","28","28","32","44","42","47","47","39","34","31","23","23"
"1946","27","29","32","33","40","46","49","47","39","31","26","22","22"
"1947","19","26","32","34","41","45","50","45","40","40","29","30","19"
"1948","23","22","30","33","35","50","46","47","38","32","29","20","20"
"1949","8","21","32","34","37","45","45","47","41","29","30","24","8"
"1950","-5","-3","30","31","39","44","48","49","37","33","29","36","-5"
"1951","17","26","26","33","39","M","50","48","41","33","31","22","M"
"1952","20","28","30","30","33","38","47","48","41","38","20","28","20"
"1953","29","29","29","29","38","45","49","45","40","36","32","32","29"
"1954","15","29","27","32","30","42","44","48","39","31","29","28","15"
"1955","25","24","20","31","36","42","42","46","40","37","10","24","10"
"1956","14","11","25","31","40","45","49","47","40","35","25","23","11"
"1957","7","23","31","34","45","48","49","48","44","36","29","30","7"
"1958","28","30","29","36","37","49","48","52","42","33","23","29","23"
"1959","14","27","32","34","36","45","48","48","45","32","27","25","14"
"1960","22","20","23","36","36","45","47","48","41","35","29","25","20"
"1961","24","33","33","33","41","45","50","50","38","32","25","19","19"
"1962","12","18","29","35","35","43","43","47","45","39","32","23","12"
"1963","9","34","30","32","38","45","48","50","46","34","27","23","9"
"1964","30","26","29","31","35","43","48","47","40","33","25","7","7"
"1965","29","29","27","31","35","42","50","43","34","38","30","20","20"
"1966","25","27","22","34","37","39","43","40","M","30","27","28","M"
"1967","28","23","23","26","32","43","44","40","36","33","25","13","13"
"1968","M","21","24","M","M","M","41","41","42","34","28","9","M"
"1969","14","24","23","29","34","50","44","38","37","26","20","20","14"
"1970","21","28","26","27","33","38","41","37","28","26","25","22","M"
"1971","18","22","M","28","34","38","39","43","34","21","23","20","M"
"1972","15","15","26","26","33","41","42","44","30","28","28","-1","M"
"1973","13","22","29","29","33","36","41","35","35","30","22","28","13"
"1974","5","26","24","29","34","39","43","42","36","29","28","25","5"
"1975","21","23","25","26","32","39","44","40","36","33","22","22","21"
"1976","21","16","20","27","33","36","38","42","38","27","19","23","16"
"1977","11","22","25","25","32","37","39","45","37","33","17","25","11"
"1978","23","23","25","28","30","41","44","43","M","26","14","-2","M"
"1979","0","8","28","29","35","34","40","42","37","36","23","25","0"
"1980","5","21","28","27","33","37","42","36","37","25","23","19","5"
"1981","23","21","24","25","34","39","37","40","38","31","24","28","21"
"1982","6","16","26","27","33","42","42","41","35","31","23","M","M"
"1983","22","26","31","28","37","40","45","42","31","29","24","1","M"
"1984","15","M","28","28","30","38","42","39","34","31","25","13","M"
"1985","19","10","24","30","28","36","43","M","30","24","8","11","M"
"1986","25","22","29","28","34","40","40","42","36","32","25","22","22"
"1987","19","23","28","31","37","38","46","42","36","29","21","20","19"
"1988","16","18","25","29","35","39","44","42","35","28","26","22","M"
"1989","26","6","19","33","36","42","43","43","36","28","27","23","6"
"1990","25","11","27","30","33","45","43","43","40","30","28","3","3"
"1991","17","28","26","29","35","37","43","41","37","22","27","24","17"
"1992","24","27","28","30","33","41","49","41","37","28","28","20","M"
"1993","15","18","28","33","39","42","42","41","32","34","12","23","M"
"1994","23","15","29","34","36","39","45","45","41","31","M","20","M"
"1995","23","12","25","31","38","M","47","M","41","22","22","22","M"
"1996","10","5","M","33","33","42","M","M","36","30","27","23","M"
"1997","18","23","29","28","34","41","43","50","42","32","30","25","M"
"1998","24","28","27","33","39","46","53","45","41","34","32","4","M"
"1999","M","28","26","28","33","35","42","42","32","30","30","22","M"
"2000","24","25","28","30","34","42","45","43","32","32","19","24","M"
"2001","M","23","27","27","33","38","48","44","39","33","28","23","M"
"2002","23","24","23","30","30","40","40","43","40","19","17","24","M"
"2003","24","19","23","32","32","43","43","43","41","22","21","23","M"
"2004","M","24","30","29","37","40","47","52","M","36","27","27","M"
"2005","17","21","29","33","40","42","47","44","M","36","24","15","M"
"2006","30","13","26","31","M","44","42","41","39","20","23","22","M"
"2007","M","19","27","25","33","40","48","42","38","27","21","23","M"
"2008","16","24","26","23","33","41","39","39","34","29","27","10","M"
"2009","18","21","20","25","32","41","43","40","40","26","29","5","5"
"2010","30","21","25","29","33","39","44","43","41","30","12","25","M"
"2011","M","13","27","27","32","39","42","44","41","28","26","19","M"
"2012","22","26","27","28","30","39","42","42","37","32","28","24","22"
"2013","18","25","25","30","36","43","44","49","40","27","19","7","7"
"2014","20","16","25","33","35","43","46","46","39","39","17","16","16"
"2015","18","25","23","30","37","45","48","45","36","34","16","17","16"
"2016","17","27","27","33","39","40","47","41","38","33","32","20","17"
"2017","M","24","28","31","35","38","47","46","40","28","28","20","M"
"2018","25","17","25","27","35","37","41","45","38","32","25","20","17"
"2019","24","17","18","30","31","40","44","47","32","21","18","18","17"
"2020","29","25","26","28","33","40","48","42","42","23","26","23","23"
"2021","24","22","24","26","35","40","48","40","35","30","28","22","22"
"2022","19","15","23","27","32","42","48","47","M","M","M","M","M"
