"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1925","M","M","M","M","M","M","45","44","40","34","28","23","M"
"1926","18","29","28","33","33","40","40","41","29","30","29","15","15"
"1927","9","21","26","29","36","38","43","41","40","31","26","17","9"
"1928","21","24","26","28","33","38","40","36","30","25","24","16","16"
"1929","9","4","27","24","32","34","36","38","32","28","17","28","M"
"1930","-6","22","23","26","27","31","32","36","32","27","22","16","M"
"1931","20","19","22","25","30","35","40","38","33","28","17","18","17"
"1932","21","15","24","29","31","31","33","44","34","31","30","4","4"
"1933","23","10","25","27","36","32","36","41","33","31","28","26","10"
"1934","28","25","28","31","36","34","38","42","29","28","34","25","M"
"1935","9","21","26","28","28","34","37","35","38","24","13","21","9"
"1936","19","15","23","24","33","41","39","40","32","31","15","22","15"
"1937","5","19","25","28","28","39","39","37","33","35","34","22","5"
"1938","24","24","25","26","31","32","38","38","44","27","21","10","10"
"1939","28","22","25","25","30","32","40","37","40","26","30","26","22"
"1940","24","28","29","32","35","34","36","42","35","32","23","13","13"
"1941","22","23","23","30","34","39","40","40","40","37","25","16","M"
"1942","11","20","27","34","33","38","44","41","33","29","28","28","M"
"1943","7","22","19","30","33","37","41","40","37","33","25","22","7"
"1944","19","23","23","32","31","37","38","38","39","38","21","15","15"
"1945","17","23","21","27","38","33","41","40","38","31","29","22","17"
"1946","26","27","28","31","36","41","45","43","37","28","25","21","21"
"1947","10","21","25","32","M","40","45","39","35","38","28","29","M"
"1948","21","19","27","31","33","40","37","43","36","30","28","19","M"
"1949","9","15","29","31","33","37","39","42","38","26","32","21","9"
"1950","1","2","27","29","33","39","43","43","32","31","28","32","M"
"1951","10","19","26","28","35","39","44","40","38","31","27","21","10"
"1952","16","27","27","27","30","40","42","42","38","37","16","24","16"
"1953","29","25","24","29","34","37","41","45","38","31","30","29","24"
"1954","14","27","24","29","M","38","42","44","37","30","33","24","M"
"1955","27","23","19","28","32","39","39","43","37","37","8","22","8"
"1956","18","12","26","M","38","39","42","43","39","33","24","23","M"
"1957","7","19","29","31","41","42","43","43","38","33","27","30","M"
"1958","27","28","28","32","33","47","48","44","38","32","23","29","23"
"1959","14","29","28","32","33","42","44","42","42","32","24","26","14"
"1960","23","19","20","32","35","38","42","42","39","34","28","23","19"
"1961","23","32","32","31","37","42","45","46","36","33","22","18","18"
"1962","8","17","28","32","30","39","39","40","42","37","31","21","8"
"1963","11","29","27","30","33","39","42","47","45","35","27","24","11"
"1964","30","25","28","30","33","41","41","44","42","33","28","10","10"
"1965","28","29","26","29","32","38","43","40","33","34","30","24","24"
"1966","27","24","28","30","32","37","44","42","44","35","29","30","24"
"1967","27","27","28","30","34","44","45","46","43","37","31","19","19"
"1968","19","24","28","27","35","39","43","42","42","35","31","13","13"
"1969","14","26","26","30","33","46","42","40","38","28","25","26","14"
"1970","23","30","30","30","34","42","44","38","34","29","25","27","23"
"1971","21","25","22","30","37","41","40","43","37","24","28","26","21"
"1972","11","17","27","28","31","40","40","44","33","29","32","4","4"
"1973","14","25","30","31","34","37","43","39","39","37","28","31","14"
"1974","10","29","28","34","34","40","45","45","38","34","M","27","M"
"1975","24","26","28","27","32","39","43","41","42","38","24","26","24"
"1976","26","19","23","30","36","36","41","42","42","33","23","27","19"
"1977","19","26","28","29","33","39","43","47","40","38","20","27","M"
"1978","23","27","30","32","32","41","48","48","41","33","20","8","8"
"1979","7","15","29","32","37","39","44","46","43","39","28","30","7"
"1980","9","25","30","30","36","40","44","43","42","34","32","26","9"
"1981","30","25","30","31","34","43","41","44","44","33","28","31","25"
"1982","12","21","30","31","36","43","41","45","40","31","25","22","M"
"1983","22","28","32","31","39","44","48","47","36","35","29","6","M"
"1984","19","30","32","31","36","39","M","43","39","35","32","19","M"
"1985","22","16","27","30","31","40","44","42","35","30","12","18","12"
"1986","29","27","31","32","33","46","45","44","39","36","31","28","27"
"1987","23","26","31","32","38","41","46","45","42","35","31","23","23"
