"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1893","M","-25","M","22","30","33","40","40","30","12","-1","9","M"
"1894","-6","-1","M","20","25","31","34","42","30","16","16","-8","M"
"1895","-2","-2","4","M","28","36","39","38","25","20","11","6","M"
"1896","-3","6","-1","17","23","33","32","38","28","24","-21","8","M"
"1897","M","-5","-10","27","30","30","33","33","26","21","-10","-12","M"
"1898","-6","9","5","25","M","32","38","M","M","11","8","-5","M"
"1899","-18","-14","12","23","16","33","37","36","28","18","26","-2","M"
"1900","7","-4","19","24","31","39","39","29","28","25","-11","8","-11"
"1901","-13","2","17","25","31","32","39","45","32","28","16","8","-13"
"1902","-13","-5","18","20","34","31","40","38","32","21","10","3","M"
"1903","4","-5","4","24","26","37","38","40","32","24","1","10","M"
"1904","-1","-10","3","20","28","37","41","45","37","30","22","5","M"
"1905","M","-17","25","26","27","35","41","37","30","15","14","6","M"
"1906","0","8","1","26","33","32","49","42","34","18","14","M","M"
"1907","-13","-1","13","14","25","33","33","M","32","M","18","0","M"
"1908","-2","-14","8","21","M","M","40","M","M","M","M","M","M"
"1909","-29","M","M","M","M","M","M","M","29","25","9","-8","M"
"1910","-12","-6","16","M","31","34","37","M","M","12","M","6","M"
"1911","-18","-3","4","18","26","33","41","39","26","17","M","M","M"
"1912","-15","3","4","26","M","37","40","36","28","22","M","5","M"
"1913","-11","-8","9","23","M","M","M","M","M","M","M","M","M"
"1914","M","M","M","M","M","M","M","M","33","32","M","-8","M"
"1915","-9","8","21","28","32","40","41","43","33","28","7","-2","-9"
"1916","-24","0","14","25","25","38","40","38","35","25","0","-12","-24"
"1917","-16","-2","1","21","27","35","38","44","35","15","23","-4","-16"
"1918","5","-3","10","20","30","36","44","42","40","30","15","2","-3"
"1919","-2","-8","8","25","28","33","42","45","27","10","3","-19","-19"
"1920","M","M","M","M","M","M","41","37","32","23","17","5","M"
"1921","0","-4","13","25","28","37","33","38","27","20","-2","0","-4"
"1922","M","-10","0","22","22","40","46","41","36","25","15","-21","M"
"1923","-6","-8","11","30","27","30","44","43","29","21","20","-10","-10"
"1924","-19","12","21","20","34","35","41","37","31","24","-4","M","M"
"1925","2","14","24","29","31","29","42","35","24","24","12","21","M"
"1926","12","15","21","26","27","37","47","39","15","27","17","-7","-7"
"1927","-19","6","M","18","27","40","41","32","38","29","14","-21","M"
"1928","0","7","18","21","26","39","45","43","34","21","19","4","0"
"1929","M","-11","M","20","31","38","41","42","35","24","8","11","M"
"1930","M","10","13","29","30","32","40","44","34","M","15","4","M"
"1931","M","11","19","26","33","38","40","42","32","22","4","-2","M"
"1932","-4","-12","10","28","32","35","40","44","32","22","22","-6","M"
"1933","-1","-18","12","19","28","30","40","40","28","26","19","13","M"
"1934","11","23","21","28","28","38","42","40","M","M","21","6","M"
"1935","-20","12","6","18","30","36","37","36","31","M","-1","7","M"
"1936","-5","-20","11","11","33","39","43","43","30","25","8","8","M"
"1937","M","-8","18","28","31","36","44","37","30","30","20","12","M"
