"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1899","M","M","M","M","M","M","M","M","M","M","M","4","M"
"1900","3","-16","20","22","27","31","36","28","23","23","-15","-1","-16"
"1901","-17","-7","16","11","M","M","M","41","M","M","M","M","M"
"1902","M","M","15","18","30","27","32","30","24","20","8","4","M"
"1903","2","-8","0","M","27","38","35","36","23","20","-7","9","M"
"1904","-10","-15","-4","19","25","27","38","33","27","22","20","1","-15"
"1905","-14","-18","23","19","24","35","38","29","32","11","-3","1","-18"
"1906","-1","5","-3","20","23","32","42","35","26","15","8","M","M"
"1907","M","M","M","M","M","M","M","M","M","M","M","-4","M"
"1908","-16","-20","2","15","26","30","31","28","18","20","5","-5","-20"
"1909","-32","-5","8","15","23","33","32","M","27","20","6","-11","M"
"1910","-13","-18","19","19","24","29","36","29","23","12","11","6","-18"
"1911","-17","-7","3","15","26","30","36","34","20","12","-15","-4","-17"
"1912","-21","1","3","24","27","29","36","32","24","16","M","3","M"
"1913","-12","-14","1","18","21","30","33","30","26","17","15","1","-14"
"1914","-6","M","11","24","16","25","34","M","M","M","M","M","M"
"1915","M","1","15","15","M","M","M","M","M","M","M","M","M"
"1916","M","M","17","M","M","M","M","M","M","M","M","M","M"
"1917","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1918","M","M","M","M","M","M","M","M","M","22","7","-2","M"
"1919","-4","-10","4","20","23","26","32","38","20","7","-1","-22","-22"
"1920","-10","8","10","9","24","29","40","34","28","16","11","0","-10"
"1921","-6","-5","3","16","25","31","33","31","21","15","-14","-10","-14"
"1922","-16","-16","-2","21","22","34","38","37","28","23","14","-24","-24"
"1923","-14","-27","6","22","20","31","38","33","24","14","18","-22","-27"
"1924","-26","13","11","16","26","32","35","31","25","21","5","-22","-26"
"1925","-6","14","16","21","26","25","37","28","25","19","8","11","-6"
"1926","6","8","14","20","25","28","35","36","14","20","10","-10","-10"
"1927","-27","2","6","11","24","33","36","35","26","16","9","-26","-27"
"1928","-9","-4","5","17","21","27","39","32","25","13","7","-7","-9"
"1929","-24","-16","17","15","24","29","34","31","24","15","-3","7","-24"
"1930","-22","-2","5","20","25","29","33","33","20","18","4","2","-22"
"1931","10","2","12","16","24","32","35","M","M","17","-17","M","M"
"1932","-14","M","-3","21","22","29","30","27","18","M","M","M","M"
"1933","M","M","M","M","23","M","M","M","M","M","M","8","M"
"1934","2","M","17","20","26","30","32","35","21","M","10","2","M"
"1935","5","M","14","16","27","31","38","M","M","M","M","M","M"
"1936","M","M","8","3","31","36","36","35","22","15","0","M","M"
"1937","-23","M","M","20","23","32","37","32","26","23","12","0","M"
"1938","10","0","12","18","25","32","38","33","34","22","3","M","M"
"1939","4","-21","15","19","25","30","38","34","30","16","M","5","M"
"1940","0","0","12","25","27","36","36","33","32","24","1","M","M"
"1941","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1942","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1943","M","M","0","20","22","28","32","35","26","15","13","-6","M"
"1944","M","M","M","M","M","M","M","M","M","M","M","-11","M"
"1945","-5","2","-5","M","M","M","M","30","21","15","-6","-6","M"
"1946","-9","-6","12","19","M","31","34","M","21","M","M","-6","M"
"1947","-22","-5","M","M","M","M","M","M","27","24","10","6","M"
"1948","-5","-13","M","M","M","M","42","34","M","M","M","M","M"
"1949","M","M","M","M","M","M","33","31","M","M","M","M","M"
"1950","M","M","M","M","M","28","36","38","23","M","-1","-6","M"
"1951","-19","-4","-5","15","24","27","33","36","30","15","9","-14","-19"
"1952","-21","-3","M","M","22","26","35","32","25","17","M","-2","M"
"1953","4","12","14","17","24","34","36","35","23","20","12","6","4"
"1954","-28","3","6","14","11","30","33","31","30","14","11","-3","-28"
"1955","-2","-7","-19","16","22","31","35","32","22","15","-15","-20","M"
"1956","-29","-25","-10","19","22","30","35","34","22","16","2","-12","-29"
"1957","-33","-18","15","21","35","33","34","31","23","21","8","7","-33"
"1958","4","16","14","24","26","36","39","35","21","18","-9","5","-9"
"1959","-24","-1","12","20","22","33","31","30","26","19","-12","-4","-24"
"1960","-18","-9","-11","M","26","29","36","34","24","18","9","-7","M"
"1961","-1","12","7","18","29","33","34","39","25","17","-3","-16","-16"
"1962","-27","-18","-3","20","21","29","30","33","24","22","17","4","-27"
"1963","-13","-3","15","19","25","35","33","36","32","16","-2","-4","-13"
"1964","0","1","2","17","20","31","35","35","25","13","13","-26","-26"
"1965","-1","2","0","22","22","31","36","30","25","17","3","0","-1"
"1966","-6","1","3","16","24","31","37","34","30","20","15","9","-6"
"1967","6","10","10","20","26","34","38","37","30","22","4","-9","-9"
"1968","-10","4","19","14","24","32","36","39","27","21","8","-38","-38"
"1969","-31","-10","4","24","27","36","36","30","26","16","10","1","-31"
"1970","-11","6","2","18","23","29","35","37","19","14","-5","-12","-12"
"1971","-10","-3","-3","18","27","31","30","37","25","10","10","-17","M"
"1972","-17","-13","10","17","21","35","33","37","21","11","14","-17","-17"
"1973","-14","-7","18","16","25","28","36","32","24","24","6","4","-14"
"1974","-16","3","5","M","23","32","36","36","26","19","16","-2","M"
"1975","-17","-10","6","13","27","31","42","36","29","23","-6","3","-17"
"1976","2","-3","-4","22","26","28","39","34","28","18","4","2","-4"
"1977","-10","12","14","19","27","34","34","36","26","20","-8","-14","-14"
"1978","-20","9","2","22","27","33","41","36","28","17","4","-29","-29"
"1979","-27","-11","11","17","M","31","34","41","34","20","2","8","M"
"1980","-22","11","8","21","34","33","38","32","29","20","12","-14","-22"
"1981","12","-4","17","21","28","33","32","39","28","18","13","2","-4"
"1982","-21","-12","17","17","23","30","37","40","29","17","-4","0","M"
"1983","11","7","20","22","29","34","39","41","20","21","13","-25","M"
"1984","-13","10","17","19","25","29","36","32","20","1","13","-15","-15"
"1985","-5","-14","10","18","21","33","39","35","24","18","-20","-21","M"
"1986","6","-10","21","22","23","33","39","35","29","23","3","2","M"
"1987","-2","6","19","M","27","30","44","35","29","21","15","-1","M"
"1988","-10","-9","18","20","26","30","38","36","29","15","11","-7","-10"
"1989","-6","-14","-6","22","28","36","36","39","31","19","18","10","-14"
"1990","9","-8","15","25","27","33","42","38","34","17","14","-27","-27"
"1991","-8","20","11","24","28","29","40","35","26","4","2","7","-8"
"1992","5","16","19","17","26","35","42","32","26","16","7","-5","-5"
"1993","-19","-9","10","23","31","32","38","35","28","20","-8","6","-19"
"1994","12","-8","12","27","25","33","39","38","32","19","1","-8","-8"
"1995","-6","-3","8","22","28","35","40","35","28","12","7","-10","-10"
"1996","-25","-18","7","21","23","31","37","36","25","19","-3","-15","-25"
"1997","-11","-2","15","17","29","35","41","38","33","22","9","5","-11"
"1998","-17","13","18","23","29","38","42","36","33","20","18","-4","-17"
"1999","5","3","13","19","24","33","36","41","19","17","16","15","3"
"2000","-2","4","18","20","26","32","37","31","19","17","4","-10","-10"
"2001","0","-5","15","20","24","33","40","38","29","21","18","3","-5"
"2002","2","4","8","19","20","26","35","35","27","5","5","16","2"
"2003","9","4","10","21","24","36","37","40","29","11","1","-5","-5"
"2004","-24","3","14","24","30","33","36","45","30","20","15","12","-24"
"2005","-18","7","20","22","29","35","41","35","26","25","3","-8","-18"
"2006","12","-6","9","22","24","36","35","33","28","7","-15","M","M"
"2007","M","M","16","18","26","34","38","37","26","18","6","M","M"
"2008","M","2","15","14","22","32","39","35","27","17","15","-22","M"
"2009","-14","-1","-5","19","26","37","38","37","29","7","15","-11","-14"
