"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1905","M","M","24","23","21","38","40","37","25","17","13","13","M"
"1906","9","22","6","22","32","34","45","39","28","20","12","M","M"
"1907","-13","12","25","20","29","31","36","31","30","26","17","17","-13"
"1908","8","3","14","16","25","34","38","31","21","24","17","8","3"
"1909","-26","21","20","18","25","35","38","38","28","23","13","-8","-26"
"1910","-1","0","24","26","28","32","39","33","27","18","18","17","-1"
"1911","-2","4","16","11","26","29","41","43","28","14","2","8","-2"
"1912","-12","20","17","27","33","36","40","35","29","17","24","15","M"
"1913","M","-5","13","22","25","37","35","35","M","20","24","10","M"
"1914","21","6","24","24","32","34","41","40","35","31","20","-3","M"
"1915","3","25","26","22","34","39","39","39","30","30","6","8","3"
"1916","-17","2","24","28","25","35","36","33","31","19","1","-9","-17"
"1917","0","3","8","26","27","30","35","38","26","18","11","15","0"
"1918","6","12","16","19","26","28","34","34","33","21","3","-5","-5"
"1919","-7","19","25","26","27","32","38","42","29","10","M","M","M"
"1920","-1","18","20","21","27","32","41","40","35","24","14","16","-1"
"1921","15","16","24","22","28","39","40","39","27","M","13","2","M"
"1922","-14","-11","17","26","M","M","49","42","32","18","M","M","M"
"1923","7","-1","23","28","32","39","44","45","33","22","21","6","-1"
"1924","-9","27","20","20","31","39","40","39","32","23","20","-13","-13"
"1925","0","27","20","29","34","36","46","36","32","25","8","27","0"
"1926","22","27","23","20","29","35","40","37","19","22","22","1","M"
"1927","-7","24","21","11","30","39","42","39","35","23","26","-7","M"
"1928","2","M","25","25","25","33","41","41","30","19","18","8","M"
"1929","-20","M","21","20","31","38","39","34","34","18","5","11","M"
"1930","-23","23","23","26","25","36","41","44","37","23","19","15","-23"
"1931","14","21","21","24","28","38","37","43","34","20","0","-5","M"
"1932","8","-11","24","27","27","34","39","42","31","23","25","-6","-11"
"1933","8","-11","24","24","31","M","41","40","22","23","20","20","M"
"1934","21","23","21","23","29","37","41","39","21","27","28","23","21"
"1935","-15","18","18","16","29","36","39","34","33","6","-4","19","-15"
"1936","-3","-13","20","12","35","42","43","42","28","23","6","5","M"
"1937","-21","-3","28","27","27","39","44","34","30","31","24","M","M"
"1938","15","15","21","21","27","33","43","39","40","23","13","6","6"
"1939","20","1","22","23","30","34","38","38","33","25","18","19","M"
"1940","12","20","26","29","32","39","46","43","42","31","12","9","9"
"1941","12","23","M","26","30","40","45","41","31","27","17","10","M"
"1942","-14","15","19","25","28","32","41","36","33","23","16","15","M"
"1943","-7","9","15","26","28","33","37","38","31","24","24","13","-7"
"1944","8","8","12","26","27","35","37","41","30","31","14","7","M"
"1945","20","14","8","19","36","37","41","M","33","20","12","6","M"
"1946","17","19","24","24","30","36","40","38","29","17","13","-3","M"
"1947","-8","13","21","25","32","38","40","38","34","31","21","16","-8"
"1948","6","0","15","23","29","42","38","39","28","18","18","-4","-4"
"1949","-16","-9","20","23","28","29","38","37","33","13","24","6","-16"
"1950","-26","M","17","21","28","41","42","39","32","25","19","12","M"
"1951","0","11","15","20","27","33","37","40","25","20","18","0","0"
"1952","-10","21","21","18","M","M","41","37","32","23","-2","14","M"
"1953","23","M","17","19","31","38","41","41","30","28","14","21","M"
"1954","-15","22","10","20","27","31","40","41","M","19","M","14","M"
"1955","13","12","7","24","24","36","M","41","M","M","-10","M","M"
"1956","-11","-15","20","24","M","37","44","42","M","31","13","3","M"
"1957","-27","-12","24","29","M","M","M","M","M","M","17","20","M"
"1958","17","27","20","29","M","M","43","M","21","M","9","M","M"
"1959","-2","19","22","22","27","34","39","41","34","25","3","11","M"
"1960","-9","5","7","M","30","34","44","M","32","M","22","M","M"
"1961","17","25","23","22","29","M","M","41","M","M","6","M","M"
"1962","-1","6","21","M","M","M","37","M","M","29","20","11","M"
"1963","-7","0","M","24","M","32","M","M","M","M","M","7","M"
"1964","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1965","M","M","M","M","M","39","M","M","M","M","M","M","M"
"1966","12","M","M","21","M","M","M","M","M","M","M","24","M"
"1967","15","M","M","22","M","M","M","45","M","M","M","M","M"
"1968","M","M","M","13","M","M","M","M","M","24","22","-15","M"
"1969","-21","3","21","28","33","41","39","31","29","19","19","16","-21"
"1970","15","27","20","19","29","M","45","40","26","20","8","9","M"
"1971","7","14","14","21","29","34","31","39","30","7","12","1","1"
"1972","-2","1","21","17","27","40","40","46","27","13","22","-15","-15"
"1973","0","17","24","21","27","35","39","39","36","24","16","4","0"
"1974","-15","23","18","24","M","36","40","41","28","24","24","16","M"
"1975","5","7","18","21","M","33","48","40","33","22","7","-3","M"
"1976","16","10","9","27","29","33","42","36","36","21","1","8","1"
"1977","-5","20","22","19","27","35","44","44","33","23","1","-3","-5"
"1978","-19","20","24","24","29","39","45","45","31","17","7","-8","-19"
"1979","-13","-5","27","22","32","33","39","40","37","30","16","20","-13"
"1980","-4","18","23","27","33","37","38","33","38","28","21","-1","-4"
"1981","26","9","23","20","26","38","34","40","28","20","17","7","M"
"1982","-21","8","21","18","28","32","37","46","35","21","17","16","-21"
