"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1920","M","M","M","26","27","34","41","36","35","25","22","21","M"
"1921","19","19","24","24","29","36","35","36","29","25","24","8","M"
"1922","12","13","23","26","25","35","39","40","36","26","22","3","M"
"1923","14","14","20","29","28","36","40","40","31","25","26","14","M"
"1924","5","25","22","24","31","33","37","34","30","25","21","0","M"
"1925","20","26","24","25","32","35","40","35","M","28","19","24","M"
"1926","22","24","24","26","29","35","39","40","26","30","28","13","M"
"1927","10","21","24","21","30","34","43","44","36","M","M","12","M"
"1928","M","22","22","M","30","35","40","M","30","28","25","17","M"
"1929","M","5","21","19","31","35","38","40","M","28","17","20","M"
"1930","1","19","22","M","M","M","M","39","M","M","M","M","M"
"1931","M","22","22","23","33","38","40","39","33","29","19","20","M"
"1932","20","12","23","29","29","34","37","38","31","29","27","8","M"
"1933","21","6","23","26","30","30","37","41","29","29","28","17","M"
"1934","25","25","28","29","34","38","39","M","M","M","M","24","M"
"1935","M","21","23","M","31","35","43","40","36","19","14","27","M"
"1936","23","12","24","23","35","43","42","43","36","31","20","25","12"
"1937","7","25","29","30","32","40","43","39","32","35","28","24","7"
"1938","28","25","27","28","34","M","42","40","42","29","23","22","M"
"1939","29","26","27","32","35","35","41","41","39","28","30","24","24"
"1940","25","27","30","33","35","40","42","43","38","30","24","20","20"
"1941","26","26","30","31","33","42","44","44","37","30","26","21","M"
"1942","14","25","26","32","35","39","47","43","35","30","26","M","M"
"1943","6","M","22","30","33","35","40","42","38","28","28","23","M"
"1944","23","25","24","29","31","38","43","41","36","36","28","16","M"
"1945","21","24","23","28","36","37","42","35","35","30","20","19","19"
"1946","21","23","27","31","33","40","43","43","32","28","25","20","20"
"1947","12","22","25","33","35","40","42","39","32","31","27","27","M"
"1948","21","17","M","M","M","M","42","45","34","30","27","17","M"
"1949","7","10","29","31","33","39","40","44","35","26","32","20","7"
"1950","3","5","28","30","30","37","45","41","31","30","26","28","3"
"1951","12","24","18","28","31","38","41","41","38","28","25","19","M"
"1952","14","23","27","28","31","37","39","42","38","32","20","24","14"
"1953","29","26","26","28","32","39","M","M","36","31","29","28","M"
