"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1948","M","M","M","M","M","M","47","47","36","23","24","12","M"
"1949","-5","15","31","31","37","42","48","47","39","23","31","22","-5"
"1950","-8","M","27","29","34","44","49","52","37","28","26","31","M"
"1951","7","21","24","26","37","46","47","45","33","26","20","15","7"
"1952","11","16","24","27","32","43","46","44","37","30","19","21","11"
"1953","30","25","25","28","36","42","47","50","39","30","24","28","24"
"1954","-8","24","18","31","28","41","42","50","32","28","25","20","-8"
"1955","24","17","14","30","37","44","42","48","39","33","1","16","1"
"1956","4","-1","23","29","38","42","48","48","40","31","21","18","-1"
"1957","M","17","28","35","44","48","52","50","40","33","22","24","M"
"1958","23","28","22","31","37","51","49","55","41","27","18","25","18"
"1959","6","25","27","31","36","42","49","50","38","29","16","20","6"
"1960","8","11","15","30","33","43","49","44","37","29","24","18","8"
"1961","18","27","28","27","38","44","47","49","33","26","18","13","13"
"1962","-8","13","23","33","33","42","44","48","41","35","25","17","-8"
"1963","1","17","25","30","36","44","47","44","45","29","22","15","1"
"1964","24","19","21","26","33","42","45","46","39","30","23","-1","-1"
"1965","19","26","18","31","33","45","50","43","29","35","25","16","16"
"1966","22","22","23","26","35","37","50","48","44","30","31","27","22"
"1967","24","23","24","28","40","49","55","55","41","33","26","14","14"
"1968","15","22","32","32","38","41","50","48","42","32","26","-1","-1"
"1969","1","22","21","31","39","49","49","45","42","23","24","20","1"
"1970","16","27","25","31","31","46","52","50","34","27","21","22","16"
"1971","17","21","23","28","40","45","43","48","37","19","22","14","14"
"1972","7","6","26","26","35","43","45","47","31","23","30","M","M"
"1973","6","24","28","27","34","44","48","45","40","33","24","15","6"
"1974","-1","26","26","29","35","42","47","50","40","29","28","23","-1"
"1975","22","19","24","25","31","44","55","47","41","35","22","24","19"
"1976","21","13","19","25","36","39","46","48","41","29","17","16","13"
"1977","9","24","27","31","36","45","47","50","41","30","8","14","8"
"1978","11","24","27","32","37","47","52","48","43","26","8","-3","-3"
"1979","-6","-4","26","35","40","46","48","53","43","35","26","23","-6"
"1980","-2","21","28","29","37","42","48","42","41","29","27","24","-2"
"1981","30","14","26","27","36","42","40","M","35","26","19","20","M"
"1982","12","13","26","28","36","43","50","53","40","29","22","22","12"
"1983","24","24","33","30","38","45","48","48","32","33","34","-1","-1"
"1984","12","27","28","34","35","40","49","48","36","34","30","6","6"
"1985","23","8","27","26","34","45","53","49","33","24","-1","10","-1"
"1986","23","21","31","30","35","45","48","54","41","33","22","22","21"
"1987","14","21","24","32","38","42","53","47","40","30","24","23","14"
"1988","21","13","24","29","34","44","46","49","41","30","28","20","13"
"1989","22","-4","24","36","38","46","50","53","44","28","26","23","-4"
"1990","24","18","24","34","35","46","45","52","47","32","27","-5","-5"
"1991","17","27","25","31","36","42","51","49","39","23","27","24","17"
"1992","26","26","29","32","36","49","54","44","41","31","26","14","14"
"1993","4","12","11","31","37","45","50","45","35","31","4","21","4"
"1994","20","10","25","35","37","43","49","51","46","34","20","16","10"
"1995","14","14","21","32","41","48","51","47","39","20","18","23","14"
"1996","-3","-4","22","32","35","44","46","50","36","28","23","16","-4"
"1997","16","25","30","27","34","46","50","54","45","30","28","23","16"
"1998","16","28","25","36","43","50","52","50","45","27","32","7","7"
"1999","23","25","28","30","32","43","46","52","34","28","30","28","23"
"2000","21","25","28","32","34","39","50","M","29","30","21","23","M"
"2001","23","22","27","29","35","43","50","51","42","31","26","26","22"
"2002","24","23","23","28","32","46","50","50","41","15","14","29","14"
"2003","29","18","27","31","34","49","49","51","43","22","18","20","18"
"2004","5","26","30","31","41","44","52","53","40","35","22","25","5"
"2005","15","19","28","29","40","41","51","49","41","32","23","16","15"
"2006","28","11","26","27","33","49","49","44","40","17","18","22","11"
"2007","11","20","27","23","32","42","53","50","41","27","20","24","11"
"2008","11","24","24","25","40","43","49","47","36","28","26","6","6"
"2009","12","23","20","27","35","45","51","49","38","32","28","4","4"
"2010","29","22","27","28","35","46","48","48","46","32","11","19","11"
"2011","15","9","27","31","34","41","48","50","42","26","25","18","9"
"2012","16","22","26","28","35","46","47","46","39","31","27","21","16"
"2013","18","22","23","28","31","48","52","54","44","26","17","-4","-4"
"2014","19","8","25","32","39","48","52","53","40","41","8","13","8"
"2015","13","20","23","31","38","51","55","51","38","35","17","26","13"
"2016","22","27","27","35","41","39","55","52","42","34","31","12","12"
"2017","4","19","30","32","38","45","53","51","45","28","28","19","4"
"2018","28","13","26","30","41","43","54","49","39","32","22","26","13"
"2019","23","10","6","31","34","44","52","52","42","18","13","25","6"
"2020","15","22","24","30","35","44","52","53","43","22","25","23","15"
"2021","24","18","28","27","42","49","57","48","45","33","30","10","10"
"2022","4","13","23","31","38","46","55","55","49","M","M","M","M"
