"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1893","5","M","M","M","M","M","M","M","33","M","M","M","M"
"1894","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1895","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1896","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1897","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1898","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1899","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1900","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1901","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1902","M","29","25","31","37","35","35","35","32","30","32","30","M"
"1903","28","18","18","25","32","31","36","40","37","33","25","23","18"
"1904","27","M","M","M","M","M","M","M","M","M","M","M","M"
"1905","16","14","26","30","29","M","40","35","33","22","27","26","M"
"1906","28","23","14","28","30","35","39","36","33","29","21","27","14"
"1907","3","21","28","28","32","36","40","35","33","35","30","27","3"
"1908","11","12","25","29","33","39","39","36","24","27","25","25","11"
"1909","4","29","26","24","28","34","40","35","34","29","19","16","4"
"1910","15","24","27","20","32","35","40","37","31","27","27","28","15"
"1911","15","15","19","23","32","32","38","37","32","29","24","28","M"
"1912","14","23","23","24","35","35","42","40","34","29","25","26","14"
"1913","14","18","16","28","33","35","38","40","34","27","29","22","14"
"1914","30","21","26","29","30","33","37","37","37","38","30","13","13"
"1915","11","24","29","29","34","34","43","40","33","32","29","16","11"
"1916","7","20","28","30","31","35","39","35","34","24","15","20","7"
"1917","4","20","21","24","31","35","38","41","40","27","31","23","4"
"1918","17","20","21","23","32","35","38","42","36","31","25","23","17"
"1919","20","23","28","29","28","31","33","40","29","21","16","4","4"
"1920","13","18","19","28","29","35","38","36","37","28","22","27","13"
"1921","24","19","28","24","29","41","38","41","29","27","27","13","13"
"1922","3","14","24","27","28","40","40","40","40","M","M","M","M"
"1923","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1924","M","M","M","M","M","M","M","39","35","33","26","4","M"
"1925","26","30","28","30","37","41","44","38","35","30","24","26","24"
"1926","23","29","28","31","35","40","41","M","28","30","29","13","M"
"1927","12","22","27","25","36","40","44","42","36","31","28","11","M"
"1928","21","23","24","29","34","38","45","41","37","29","28","20","M"
"1929","15","7","23","27","35","37","41","42","32","30","20","27","7"
"1930","-4","24","26","32","30","38","40","44","35","29","26","20","-4"
"1931","27","25","26","28","36","37","43","42","35","28","20","22","20"
"1932","23","10","28","31","31","37","38","47","36","31","30","5","5"
"1933","19","7","26","27","34","31","38","41","36","31","29","32","7"
"1934","29","28","30","31","35","38","43","44","31","30","34","27","27"
"1935","5","22","25","25","33","39","38","39","38","28","12","23","M"
"1936","22","15","25","24","35","42","42","43","35","29","17","25","15"
"1937","8","26","30","31","36","41","43","39","35","35","33","24","8"
"1938","26","26","26","26","34","36","40","41","44","30","23","20","20"
"1939","26","24","26","29","33","37","42","42","38","28","31","24","24"
"1940","23","28","31","34","34","39","42","44","38","32","22","15","15"
