"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1973","M","M","M","M","M","M","44","39","40","34","28","30","M"
"1974","15","30","25","31","35","38","41","47","41","M","32","27","M"
"1975","25","26","27","28","33","39","45","45","40","33","24","26","24"
"1976","26","22","25","30","35","34","43","46","41","32","24","29","22"
"1977","23","29","29","30","36","38","43","45","40","34","23","27","23"
"1978","25","29","30","32","33","44","48","47","38","33","24","14","14"
"1979","15","15","30","31","39","40","41","47","43","33","29","28","M"
"1980","11","28","28","29","36","37","44","42","42","34","32","28","11"
"1981","31","25","29","30","37","40","43","39","41","33","28","28","25"
"1982","13","21","29","31","32","40","44","43","39","33","25","26","13"
"1983","25","28","32","30","37","42","44","48","34","34","30","11","11"
"1984","19","30","32","31","34","40","45","44","38","29","29","20","19"
"1985","24","18","25","29","31","41","45","43","35","31","13","19","M"
"1986","M","24","M","30","36","46","44","48","M","31","29","29","M"
"1987","24","26","30","M","36","40","46","46","M","37","31","25","M"
"1988","28","26","29","32","32","42","45","M","39","34","31","28","M"
"1989","29","14","21","34","35","41","46","47","41","34","32","29","M"
"1990","29","21","29","34","36","43","49","46","47","34","31","12","12"
"1991","23","32","29","32","34","38","49","46","43","28","29","29","M"
"1992","28","30","33","31","36","43","52","45","39","35","30","24","24"
"1993","19","M","30","35","42","43","47","44","40","39","20","24","M"
"1994","28","22","29","34","39","42","46","48","44","34","28","M","M"
"1995","26","21","26","33","37","40","47","47","46","29","29","28","M"
"1996","18","18","28","34","33","43","47","49","M","M","M","22","M"
"1997","M","M","M","M","35","45","51","52","45","38","M","M","M"
"1998","M","M","M","M","40","44","52","50","M","M","M","M","M"
"1999","M","M","M","M","M","41","44","46","M","36","M","M","M"
"2000","26","M","M","M","M","40","46","46","M","M","M","M","M"
"2001","M","M","M","M","M","M","M","M","41","M","M","M","M"
"2002","M","29","26","33","M","40","46","M","40","M","M","M","M"
"2003","M","M","M","M","M","42","47","47","M","M","M","M","M"
"2004","M","30","31","32","40","44","50","53","42","35","31","31","M"
"2005","25","28","32","32","40","43","49","50","39","36","30","27","M"
"2006","30","23","29","34","36","46","49","48","42","26","20","29","20"
"2007","21","28","30","31","37","42","49","49","39","33","29","20","20"
"2008","23","29","28","30","35","41","47","47","42","33","32","19","19"
"2009","26","28","27","32","37","46","48","48","37","32","31","17","17"
"2010","35","29","28","33","35","44","48","46","44","35","17","23","17"
"2011","24","20","30","31","37","42","45","49","43","36","28","26","20"
"2012","28","26","28","31","36","39","47","46","41","36","31","31","26"
"2013","26","29","29","32","34","45","46","50","42","34","27","17","17"
"2014","28","17","31","34","40","45","49","51","46","40","25","25","17"
"2015","27","32","29","M","39","45","48","49","41","45","M","27","M"
"2016","26","34","35","M","42","42","46","50","43","38","35","22","M"
"2017","22","29","31","35","40","42","49","51","44","36","30","25","22"
"2018","32","23","31","32","42","43","48","50","42","37","32","26","23"
"2019","30","20","26","35","36","44","50","52","39","29","25","25","20"
"2020","29","29","29","32","38","43","50","48","47","32","29","29","29"
"2021","28","26","30","31","38","41","50","45","45","36","31","17","17"
"2022","19","23","26","29","35","45","51","52","47","M","M","M","M"
