"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1909","14","M","28","29","M","M","M","M","M","M","M","17","M"
"1910","M","M","M","M","M","M","M","M","M","24","M","M","M"
"1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1913","M","M","M","M","M","M","M","M","M","28","24","M","M"
"1914","M","14","M","26","31","33","M","38","M","M","18","9","M"
"1915","14","24","25","26","27","33","40","41","33","26","13","3","3"
"1916","-4","10","19","25","25","32","33","36","31","M","13","8","M"
"1917","-4","8","10","22","27","32","35","40","M","22","26","23","M"
"1918","1","7","9","18","29","31","35","36","33","28","25","10","1"
"1919","12","18","21","22","27","31","36","40","29","20","16","-2","M"
"1920","15","19","20","21","28","28","40","36","37","26","25","14","14"
"1921","13","10","22","22","28","33","37","36","30","27","27","10","10"
"1922","-2","5","10","16","21","37","40","40","34","25","18","1","-2"
"1923","3","6","11","26","27","34","42","41","32","27","27","4","3"
"1924","-4","20","22","23","31","32","37","39","M","28","17","-1","M"
"1925","16","22","22","27","29","34","42","34","36","28","24","25","16"
"1926","M","21","25","26","29","36","38","40","24","29","26","2","M"
"1927","-2","16","21","16","28","37","39","37","33","29","26","2","-2"
"1928","10","18","18","24","28","35","40","39","33","28","22","15","M"
"1929","0","5","25","16","29","30","38","35","32","27","M","20","M"
"1930","-1","16","18","25","29","32","36","38","31","27","17","16","M"
"1931","M","19","15","23","29","32","36","38","31","30","13","11","M"
"1932","13","1","10","22","27","31","35","41","32","28","25","-1","-1"
"1933","6","8","14","16","24","28","39","38","28","28","24","22","6"
"1934","20","27","24","24","29","35","37","39","29","29","30","21","20"
"1935","-9","18","14","12","27","35","37","36","36","17","8","25","-9"
"1936","17","6","11","17","32","37","41","40","30","31","17","17","6"
"1937","-2","15","23","26","29","36","36","33","31","32","28","18","-2"
"1938","23","16","14","23","31","35","39","37","39","27","10","19","10"
"1939","17","12","17","26","32","30","36","36","35","30","27","18","12"
"1940","19","24","25","27","31","35","38","39","37","29","12","20","12"
"1941","19","23","24","27","30","36","42","38","31","30","23","9","M"
"1942","M","16","22","25","29","33","38","37","34","27","20","M","M"
"1943","M","20","M","26","27","33","40","38","35","24","24","20","M"
"1944","M","M","M","25","26","35","38","35","30","31","M","M","M"
"1945","M","M","8","20","32","39","38","41","31","M","M","11","M"
"1946","10","14","20","M","29","34","41","42","32","21","20","9","M"
"1947","-2","12","22","26","29","32","39","35","30","29","21","20","-2"
"1948","9","6","13","22","24","39","35","37","29","23","19","4","4"
"1949","-1","4","17","25","28","31","37","38","33","22","30","10","-1"
"1950","-8","-5","17","20","26","28","40","39","30","26","14","20","M"
"1951","4","12","13","24","29","34","38","36","31","26","M","10","M"
"1952","4","13","19","20","26","33","36","37","35","32","18","13","4"
"1953","23","15","16","24","28","33","38","40","32","30","25","22","15"
"1954","-1","18","12","24","21","31","35","37","31","26","19","15","-1"
"1955","16","9","-1","20","27","34","36","38","33","24","3","13","-1"
"1956","0","1","4","25","28","33","39","40","31","28","13","11","0"
