"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1998","15","31","28","30","36","M","46","45","41","33","32","15","M"
"1999","25","29","26","30","31","36","42","43","38","32","31","29","25"
"2000","26","26","29","M","35","41","40","42","36","35","25","21","M"
"2001","25","22","28","30","33","38","42","44","40","33","30","27","22"
"2002","25","24","24","30","30","39","40","43","38","26","28","26","M"
"2003","28","24","29","34","33","40","43","42","41","26","23","24","23"
"2004","11","28","33","32","38","39","46","46","40","33","31","31","11"
"2005","21","25","34","32","40","43","44","44","39","37","31","23","21"
"2006","32","23","29","34","34","43","44","43","40","26","M","28","M"
"2007","15","28","26","30","M","40","45","44","42","32","28","24","M"
"2008","22","27","27","27","32","38","41","43","40","32","30","8","8"
"2009","19","26","19","29","36","40","43","44","40","30","31","19","19"
"2010","31","30","28","32","33","41","43","42","44","36","12","21","12"
"2011","22","17","29","32","34","42","42","44","41","33","24","26","17"
"2012","20","24","28","30","33","39","42","42","39","35","28","30","20"
"2013","23","30","29","33","31","M","44","44","41","34","24","15","M"
"2014","27","21","29","34","38","40","44","47","M","40","18","21","M"
"2015","24","31","28","33","36","44","48","46","39","40","27","24","M"
"2016","25","31","34","36","40","41","47","46","42","37","35","21","21"
"2017","20","24","31","35","38","41","44","45","42","34","25","23","20"
"2018","31","21","29","33","41","41","45","48","42","38","33","26","21"
"2019","32","18","25","36","41","M","45","47","38","29","25","31","M"
"2020","20","28","28","31","M","41","46","44","46","29","29","27","M"
"2021","27","24","28","31","38","40","48","46","43","36","31","10","10"
"2022","24","20","26","33","37","43","47","47","45","M","M","M","M"
