"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1959","M","30","32","34","38","45","48","44","43","37","20","30","M"
"1960","16","21","17","33","37","40","43","44","41","36","30","30","M"
"1961","28","32","31","32","39","45","47","48","37","34","27","17","17"
"1962","9","17","28","35","35","40","38","45","42","37","29","24","9"
"1963","8","25","29","32","38","41","43","46","46","36","25","24","8"
"1964","29","26","29","31","32","43","47","40","42","32","29","7","M"
"1965","27","29","29","29","32","37","44","40","37","41","35","24","M"
"1966","26","28","29","34","29","35","46","44","44","36","30","30","M"
"1967","29","24","20","29","34","43","47","46","44","36","31","24","20"
"1968","M","M","29","29","29","40","46","45","45","37","30","4","M"
"1969","8","20","29","35","34","47","44","42","39","33","29","29","M"
"1970","26","32","30","32","34","43","44","44","39","35","24","29","M"
"1971","22","18","15","33","36","41","41","46","41","28","30","26","15"
"1972","13","21","30","29","35","43","46","43","34","34","32","10","M"
"1973","15","26","32","29","34","36","41","38","40","M","30","31","M"
"1974","14","30","25","32","34","42","M","45","40","37","35","29","M"
"1975","24","25","28","30","34","40","43","44","46","38","24","27","M"
"1976","28","22","20","31","36","38","45","47","42","39","M","27","M"
"1977","20","31","25","28","37","39","42","50","40","40","22","30","M"
"1978","24","30","29","32","38","42","45","49","41","37","23","10","M"
"1979","12","13","30","35","36","36","46","44","42","39","29","28","M"
"1980","9","24","30","32","M","M","M","M","M","M","33","25","M"
"1981","33","25","M","31","38","43","42","44","45","39","32","28","M"
"1982","18","M","M","M","M","M","M","45","M","M","M","27","M"
"1983","M","M","M","M","39","43","47","49","38","M","32","9","M"
"1984","25","32","34","32","M","36","41","41","39","32","30","M","M"
"1985","22","12","27","31","29","38","45","41","42","M","12","15","M"
"1986","29","27","29","29","34","42","42","44","39","40","32","31","M"
"1987","M","28","32","35","38","39","43","43","41","M","34","25","M"
"1988","26","22","30","34","36","39","44","44","40","37","31","25","M"
"1989","26","M","23","32","35","40","43","45","38","35","31","25","M"
"1990","31","14","29","35","38","43","44","42","40","33","30","M","M"
"1991","24","35","30","28","36","33","43","40","39","M","M","M","M"
"1992","M","M","M","M","33","45","48","46","40","35","32","28","M"
"1993","M","M","M","34","40","42","45","43","M","M","M","M","M"
"1994","33","22","31","M","39","43","43","44","45","32","26","24","M"
"1995","27","M","30","34","M","43","M","44","M","33","33","M","M"
"1996","13","13","26","34","30","41","40","45","M","36","29","29","M"
"1997","23","27","31","M","37","40","46","51","46","M","34","30","M"
"1998","21","30","31","34","40","45","50","47","43","M","33","M","M"
"1999","30","30","32","M","M","35","45","49","36","M","34","26","M"
"2000","31","31","M","32","M","42","43","42","M","38","26","27","M"
"2001","28","26","27","30","36","40","48","45","43","37","33","32","M"
"2002","25","M","26","M","M","41","43","43","41","32","M","32","M"
"2003","M","M","32","32","35","43","42","44","42","M","26","25","M"
"2004","15","32","34","32","42","42","46","46","47","38","30","29","M"
"2005","24","28","32","32","40","40","45","47","37","39","32","M","M"
"2006","M","M","30","32","M","42","44","45","44","33","22","28","M"
"2007","15","29","30","32","36","40","48","45","40","35","31","M","M"
"2008","22","31","31","31","32","42","42","44","40","38","35","M","M"
"2009","M","M","28","31","37","43","47","M","43","36","32","15","M"
"2010","33","33","31","31","35","35","45","44","44","40","12","24","M"
"2011","23","15","29","31","34","43","44","45","44","38","31","27","M"
"2012","25","29","27","M","M","M","M","M","M","37","M","M","M"
"2013","M","M","M","M","37","43","M","52","44","36","27","11","M"
"2014","M","M","32","35","M","M","49","50","48","43","28","25","M"
"2015","29","M","33","35","M","M","49","47","37","36","15","28","M"
"2016","M","34","M","38","M","M","49","48","44","42","38","24","M"
"2017","17","29","31","31","35","41","46","45","42","M","32","26","M"
"2018","31","19","29","32","36","M","M","45","42","38","35","31","M"
"2019","30","24","22","M","36","43","47","49","38","31","27","32","M"
"2020","29","M","29","32","38","41","46","43","49","32","29","32","M"
"2021","30","22","26","28","37","40","46","45","39","36","36","19","M"
"2022","20","20","29","32","35","42","46","47","45","M","M","M","M"
