"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1894","M","M","M","M","M","M","M","M","35","32","27","19","M"
"1895","23","M","M","M","M","M","M","M","M","M","M","M","M"
"1896","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1897","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1898","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1899","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1900","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1901","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1902","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1903","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1904","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1905","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1906","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1907","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1908","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1909","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1910","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1913","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1914","M","M","M","M","M","M","M","M","M","M","M","12","M"
"1915","18","23","27","30","37","40","42","42","32","31","M","M","M"
"1916","M","M","M","M","30","38","37","38","33","24","16","14","M"
"1917","10","17","20","31","31","38","40","42","33","22","25","18","M"
"1918","15","17","18","23","33","36","M","38","34","M","28","23","M"
"1919","21","23","28","30","30","36","40","44","31","25","21","5","5"
"1920","18","23","25","29","34","40","45","42","41","26","24","26","18"
"1921","22","20","28","26","34","41","42","43","35","M","28","14","M"
"1922","9","17","26","28","34","42","45","44","40","30","26","9","9"
"1923","20","12","25","34","36","40","45","46","39","29","31","14","12"
"1924","14","27","28","29","36","41","43","44","39","32","24","9","9"
"1925","26","29","27","33","37","43","45","41","36","30","27","27","26"
"1926","25","26","26","31","35","41","43","M","30","31","27","15","M"
"1927","16","M","26","26","35","43","45","43","43","36","30","12","M"
"1928","21","25","26","31","38","45","45","42","36","29","28","20","20"
"1929","7","7","29","31","37","41","44","45","35","31","21","30","M"
"1930","6","24","26","32","33","40","45","46","39","28","25","M","M"
"1931","26","26","26","29","36","42","46","44","37","33","20","23","20"
"1932","20","11","28","36","37","42","43","46","35","35","27","10","M"
"1933","25","9","27","30","36","40","44","42","33","36","31","31","M"
"1934","28","28","31","31","37","41","44","47","33","32","36","29","28"
"1935","3","24","27","26","35","40","42","43","36","26","16","25","M"
"1936","22","7","23","27","39","44","47","48","36","36","21","25","M"
"1937","7","26","30","34","35","42","45","41","37","38","29","21","M"
"1938","25","25","28","29","35","40","45","44","45","30","21","19","19"
"1939","28","22","28","31","36","41","44","46","42","29","34","25","22"
"1940","26","28","26","33","38","43","45","47","40","34","22","20","20"
"1941","27","26","30","35","38","46","49","49","38","35","25","21","21"
"1942","15","26","31","35","36","43","50","46","38","32","28","31","15"
"1943","9","27","24","34","36","43","45","45","41","30","30","23","9"
"1944","24","26","26","33","36","39","47","43","39","39","26","16","16"
"1945","23","26","28","29","41","41","45","43","37","32","20","18","M"
"1946","26","29","29","33","35","43","47","45","40","29","25","21","21"
"1947","9","26","27","31","38","44","46","40","35","37","29","27","M"
