"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1881","M","-7","22","26","29","40","43","38","31","18","3","10","M"
"1882","-17","-14","7","29","32","39","45","38","36","28","14","2","-17"
"1883","-28","-22","25","29","34","39","46","39","35","24","20","4","-28"
"1884","1","-18","12","32","38","43","43","44","33","26","18","-18","-18"
"1885","-14","20","26","28","35","44","47","47","35","26","25","13","-14"
"1886","-10","19","20","30","34","40","46","46","31","30","5","14","-10"
"1887","9","-11","15","26","30","38","41","43","32","12","10","15","-11"
"1888","-30","22","12","27","35","44","42","48","36","23","15","14","-30"
"1889","2","6","25","31","38","40","44","41","26","31","22","-10","-10"
"1890","-23","-23","12","22","38","41","45","48","33","29","23","25","-23"
"1891","16","1","-10","27","32","34","42","44","36","29","14","15","-10"
"1892","-5","12","25","27","32","36","44","45","36","28","25","5","-5"
"1893","-19","-19","10","31","38","39","43","45","33","26","9","16","-19"
"1894","-1","-2","19","28","30","35","45","47","38","30","25","4","-2"
"1895","10","8","10","27","34","41","47","42","30","22","11","9","8"
"1896","1","20","6","25","36","40","50","46","35","30","-13","19","-13"
"1897","3","12","3","32","37","40","46","46","37","26","7","5","3"
"1898","2","20","11","29","34","41","46","49","37","27","20","-2","-2"
"1899","-21","-12","18","28","32","42","45","43","40","21","28","13","-21"
"1900","15","1","25","28","37","42","47","42","31","28","-10","13","-10"
"1901","10","10","26","25","33","35","45","50","33","34","25","15","10"
"1902","-12","-6","22","29","38","40","44","40","32","31","20","18","-12"
"1903","15","4","18","26","33","45","43","47","29","28","13","20","4"
"1904","17","7","16","28","33","37","45","43","37","30","24","18","7"
"1905","12","-7","23","27","29","43","46","44","35","18","7","10","-7"
"1906","7","15","8","28","34","40","53","44","36","25","14","18","7"
"1907","-3","11","25","24","34","41","46","40","36","32","26","12","-3"
"1908","-2","-4","24","23","38","40","44","42","28","26","16","13","-4"
"1909","-16","12","24","24","35","46","46","44","36","28","16","6","-16"
"1910","3","-4","25","30","35","41","50","37","35","23","26","23","-4"
"1911","10","13","16","28","33","44","48","47","31","19","8","2","2"
"1912","-12","18","18","30","37","43","43","46","35","28","21","17","-12"
"1913","2","-3","12","30","35","45","43","41","34","26","28","15","-3"
"1914","21","-1","26","31","37","40","48","44","41","32","23","1","-1"
"1915","8","16","26","31","35","44","47","52","34","29","21","1","1"
"1916","-11","8","19","31","32","38","44","45","35","25","5","-8","-11"
"1917","-4","3","8","31","36","40","45","49","38","21","25","14","-4"
"1918","3","6","24","22","36","40","48","44","37","30","17","5","3"
"1919","0","8","19","30","35","36","47","47","28","12","7","-15","-15"
"1920","6","21","20","23","36","39","51","42","42","28","17","19","6"
"1921","11","11","16","27","35","45","46","47","33","30","-1","5","-1"
"1922","-12","-9","6","25","29","49","51","49","37","26","24","-15","-15"
"1923","2","-9","18","30","34","42","50","47","39","25","25","1","-9"
"1924","-7","26","24","27","36","39","48","39","36","31","18","-8","-8"
"1925","5","27","25","32","35","38","52","43","37","29","20","27","5"
"1926","18","24","24","26","35","43","50","49","22","26","26","1","1"
"1927","-11","15","24","21","33","45","50","45","38","29","30","-5","-11"
"1928","6","11","17","29","33","42","50","43","35","25","22","10","6"
"1929","-17","-12","24","25","35","40","47","44","32","24","10","17","-17"
"1930","-8","14","20","32","33","42","50","47","34","26","18","12","-8"
"1931","21","18","21","27","36","43","44","47","40","30","4","5","4"
"1932","2","-9","13","34","35","41","47","45","33","28","26","1","-9"
"1933","11","-17","23","28","36","40","49","46","30","28","19","20","-17"
"1934","24","23","25","32","38","46","46","48","28","33","27","22","22"
"1935","-18","18","24","21","34","42","44","41","37","9","8","16","-18"
"1936","5","-16","18","14","40","46","49","45","36","29","10","4","-16"
"1937","-19","-2","27","33","35","43","52","41","36","34","27","17","-19"
"1938","9","19","27","28","34","41","50","45","45","27","14","12","9"
"1939","20","-9","14","28","36","40","48","48","38","29","24","20","-9"
"1940","13","21","26","34","40","46","52","48","47","36","9","9","9"
"1941","15","22","23","28","34","44","51","46","34","28","20","2","2"
"1942","-7","2","21","28","32","40","46","40","32","26","12","16","-7"
"1943","-6","9","9","30","31","39","44","45","35","25","24","13","-6"
"1944","11","12","12","28","32","42","43","43","34","33","19","0","0"
"1945","13","18","M","22","38","39","45","40","32","24","12","6","M"
"1946","9","17","23","28","30","38","45","43","33","19","17","1","1"
"1947","-3","17","18","28","38","40","47","46","37","32","18","13","-3"
"1948","11","0","12","27","31","49","43","44","33","23","18","-3","-3"
"1949","-15","-4","21","28","30","37","45","45","35","20","26","-1","-15"
"1950","-24","-22","7","27","32","41","46","46","30","25","19","3","-24"
"1951","-3","8","10","21","34","39","45","45","32","25","19","-9","-9"
"1952","-10","10","18","27","32","38","44","42","39","33","12","9","-10"
"1953","24","21","25","26","32","39","46","44","37","31","24","24","21"
"1954","-9","5","15","25","24","35","42","44","34","25","22","1","-9"
"1955","11","10","-3","26","29","40","40","46","36","26","-11","-1","-11"
"1956","-11","-12","7","26","32","38","49","43","36","29","14","6","-12"
"1957","-18","-6","17","31","42","41","45","44","34","24","18","18","-18"
"1958","17","25","22","29","36","44","47","48","30","28","11","21","11"
"1959","-5","15","22","27","28","40","42","41","32","26","-2","11","-5"
"1960","-3","4","2","26","31","36","46","42","32","26","17","10","-3"
"1961","6","22","19","25","34","42","45","51","33","24","7","-6","-6"
"1962","-13","3","10","29","30","34","39","40","34","31","21","10","-13"
"1963","-7","1","22","27","32","44","44","45","41","26","19","-5","-7"
"1964","11","9","13","24","31","39","45","35","35","24","14","-20","-20"
"1965","15","12","10","27","26","37","46","35","25","26","21","10","10"
"1966","-1","17","16","17","27","37","47","40","40","27","16","7","-1"
"1967","19","19","19","26","32","42","45","45","36","27","13","5","5"
"1968","1","19","24","19","30","38","46","44","35","28","16","-25","-25"
"1969","-19","3","8","30","28","43","42","39","36","20","16","10","-19"
"1970","-5","25","6","25","34","42","47","44","28","23","5","-2","-5"
"1971","9","11","1","27","34","38","38","44","31","13","16","-3","-3"
"1972","-10","-12","22","23","29","41","46","47","28","21","23","-11","-12"
"1973","-2","19","26","26","33","37","43","43","35","27","18","4","-2"
"1974","-12","24","21","29","29","38","45","45","33","21","23","0","-12"
"1975","-10","-2","17","23","31","39","49","43","37","25","4","13","-10"
"1976","14","5","8","26","32","35","46","43","33","23","14","14","5"
"1977","-2","17","24","25","33","36","41","46","32","25","5","-9","-9"
"1978","-11","21","16","28","30","42","47","44","32","19","8","-22","-22"
"1979","-22","-17","22","21","34","35","40","50","40","28","8","19","-22"
"1980","-6","12","21","28","40","36","46","39","35","24","16","5","-6"
"1981","14","2","21","22","29","39","37","47","29","23","21","7","2"
"1982","-15","0","19","25","28","35","44","46","37","24","4","-2","-15"
"1983","6","17","26","24","31","45","47","50","29","30","16","-18","-18"
"1984","3","20","25","21","28","33","43","41","27","11","20","-12","-12"
"1985","-7","-11","13","26","25","36","50","40","24","21","-21","-10","-21"
"1986","12","6","25","27","29","38","44","50","37","28","11","4","4"
"1987","1","17","20","26","32","36","48","44","37","24","20","-3","-3"
"1988","-5","6","23","24","28","37","42","44","35","20","13","-5","-5"
"1989","6","-11","-7","29","33","41","44","43","37","24","21","17","-11"
"1990","20","2","20","30","31","40","42","43","41","24","20","-16","-16"
"1991","-2","25","16","26","31","35","45","46","31","10","15","18","-2"
"1992","14","24","23","24","30","42","47","37","31","19","15","3","3"
"1993","-4","-5","3","31","36","39","44","37","32","24","-5","16","-5"
"1994","18","3","20","27","34","38","44","43","37","29","13","10","3"
"1995","8","2","16","27","37","39","45","41","34","16","15","3","2"
"1996","-17","-24","16","26","27","37","44","44","30","23","14","1","-24"
"1997","6","13","16","21","33","41","45","49","40","24","14","11","6"
"1998","-2","22","23","28","35","44","52","47","38","20","26","-4","-4"
"1999","1","14","23","25","26","36","40","41","28","18","23","18","1"
"2000","9","14","22","24","31","40","44","40","22","23","-2","5","-2"
"2001","9","7","20","23","27","38","41","44","38","29","24","10","7"
"2002","12","8","12","21","24","35","42","45","36","7","8","21","7"
"2003","18","12","21","28","29","42","46","48","36","15","-5","8","-5"
"2004","-22","13","25","28","38","39","43","51","36","28","20","16","-22"
"2005","-6","16","25","30","39","41","48","43","34","33","20","-3","-6"
"2006","25","3","22","27","29","43","45","40","35","14","1","12","1"
"2007","-10","9","17","25","32","42","51","45","32","25","16","7","-10"
"2008","-1","16","23","21","29","36","42","42","34","22","22","-18","-18"
"2009","-8","18","2","26","33","41","48","47","34","20","21","1","-8"
"2010","16","23","22","26","29","43","45","44","41","30","-10","-7","-10"
"2011","-4","-10","26","28","32","39","46","48","40","23","18","15","-10"
"2012","9","6","21","26","30","38","43","47","35","30","20","9","6"
"2013","4","21","22","21","30","44","51","52","42","25","15","-2","-2"
"2014","13","-5","11","31","37","44","48","52","39","35","10","8","-5"
"2015","8","19","18","27","37","43","49","49","38","36","11","2","2"
"2016","1","20","28","33","38","40","47","50","40","30","29","-7","-7"
"2017","-4","7","25","29","35","44","52","48","37","29","16","7","-4"
"2018","14","4","21","27","40","39","48","48","40","30","23","14","4"
"2019","15","2","-1","32","39","41","46","51","32","16","15","18","-1"
"2020","13","16","16","24","34","43","47","49","39","13","22","20","13"
"2021","15","9","24","23","34","41","50","46","41","29","20","2","2"
"2022","1","3","21","25","33","41","50","48","43","M","M","M","M"
