"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1941","M","M","M","M","M","40","41","44","35","35","21","17","M"
"1942","10","22","27","31","31","38","44","42","31","27","25","28","10"
"1943","2","23","20","30","33","40","41","41","34","30","25","22","2"
"1944","18","23","22","30","30","34","41","40","42","35","28","13","13"
"1945","20","20","23","26","37","35","40","37","35","28","23","18","18"
"1946","25","24","26","28","32","39","44","40","34","25","22","16","16"
"1947","11","20","24","30","32","41","43","37","32","32","25","24","11"
"1948","17","16","24","27","29","42","40","40","32","27","23","14","14"
"1949","1","15","25","29","28","37","39","42","32","22","33","17","1"
"1950","1","-1","25","28","29","38","43","40","29","29","24","27","-1"
"1951","9","22","23","24","31","38","42","40","38","27","22","12","9"
"1952","8","25","24","25","31","36","38","38","36","29","15","23","8"
"1953","28","23","19","26","30","40","40","42","33","28","27","28","19"
"1954","7","25","20","26","25","38","40","39","30","29","27","24","7"
"1955","26","19","13","26","31","35","37","38","32","31","-1","19","-1"
"1956","11","7","20","28","33","38","40","39","33","28","24","21","7"
"1957","0","18","28","31","38","40","40","41","34","28","25","26","0"
"1958","25","27","25","28","29","45","47","45","34","30","17","28","17"
"1959","7","26","28","28","32","39","44","39","38","29","18","21","7"
"1960","17","14","14","28","31","34","39","38","35","30","22","19","14"
"1961","18","29","27","26","30","38","41","43","30","27","18","17","17"
"1962","4","12","20","29","29","35","35","40","36","35","28","15","4"
"1963","5","24","23","25","31","34","39","40","41","31","26","21","5"
"1964","23","21","23","24","26","36","40","38","35","30","25","3","3"
"1965","23","23","18","27","27","37","41","35","31","33","28","23","18"
"1966","23","23","21","26","28","31","40","39","37","31","26","25","21"
"1967","24","26","23","26","31","42","43","43","39","33","24","12","12"
"1968","17","18","26","27","32","37","42","40","35","30","27","6","6"
"1969","4","17","21","30","30","45","42","34","32","22","19","22","4"
"1970","17","24","23","25","29","37","41","40","27","25","21","19","17"
"1971","14","15","18","26","33","36","38","43","32","20","24","20","14"
"1972","-7","-1","24","25","29","36","40","38","25","21","27","-3","-7"
"1973","7","19","27","24","30","36","38","33","32","31","22","26","7"
"1974","6","25","22","29","33","39","42","43","35","29","26","20","6"
"1975","19","20","20","23","29","35","44","38","34","27","14","20","14"
"1976","17","13","20","27","29","30","40","41","35","21","18","24","13"
"1977","12","26","25","28","31","38","37","36","37","29","11","16","11"
"1978","10","23","22","26","27","43","44","46","33","28","10","-5","-5"
"1979","-8","13","28","32","34","35","42","42","39","30","20","23","-8"
"1980","0","26","23","24","30","35","40","37","40","28","28","15","0"
"1981","24","16","26","26","32","38","38","39","38","26","21","26","16"
"1982","6","15","24","26","32","38","41","39","33","26","19","20","6"
"1983","22","22","28","28","33","42","43","44","30","29","23","-7","-7"
"1984","13","25","28","26","33","35","42","42","32","28","28","14","13"
"1985","18","11","20","26","28","37","42","37","30","26","0","0","0"
"1986","25","18","27","27","34","40","41","40","38","29","24","21","18"
"1987","18","21","26","28","34","36","41","40","35","27","24","20","18"
"1988","17","19","24","28","35","36","42","41","33","28","27","20","17"
"1989","21","2","9","29","33","39","41","41","32","28","26","28","2"
"1990","25","10","24","30","30","41","44","44","40","30","25","0","0"
"1991","17","27","25","27","36","33","44","39","37","22","24","22","17"
"1992","22","26","26","29","32","40","45","39","33","26","22","18","18"
"1993","10","14","25","27","37","41","44","39","32","32","10","22","10"
"1994","25","13","24","33","32","38","44","42","41","29","20","6","6"
"1995","16","16","21","28","32","39","43","39","36","23","21","19","16"
"1996","11","10","20","28","26","37","40","41","34","24","22","22","M"
"1997","15","20","29","M","M","39","44","45","40","31","26","25","M"
"1998","21","25","23","28","35","39","48","42","38","27","30","-1","-1"
"1999","21","26","25","26","31","38","40","44","30","29","27","25","21"
"2000","19","24","25","27","32","39","39","39","26","31","18","23","18"
"2001","22","18","21","26","31","37","42","41","36","31","27","20","18"
"2002","24","21","21","25","26","37","40","40","35","14","18","28","14"
"2003","24","18","25","29","28","38","38","38","37","25","17","21","17"
"2004","10","22","27","26","36","38","43","49","39","31","25","27","10"
"2005","17","20","25","29","36","40","44","43","31","33","23","13","13"
"2006","29","13","24","28","29","41","42","39","38","19","18","22","13"
"2007","12","18","26","25","32","37","45","43","36","28","20","21","12"
"2008","14","24","24","23","30","36","40","43","35","28","26","7","7"
"2009","18","22","20","25","33","40","41","42","37","28","28","6","6"
"2010","28","21","23","30","32","38","44","39","42","31","9","15","9"
"2011","14","5","27","25","30","38","39","42","37","31","24","19","5"
"2012","18","21","23","28","31","37","42","39","36","28","20","26","18"
"2013","18","26","25","27","29","38","41","45","41","28","20","11","11"
"2014","21","13","24","31","35","39","43","45","36","37","15","16","13"
"2015","19","22","21","27","34","41","47","41","35","37","19","18","18"
"2016","13","26","27","32","37","38","46","46","37","29","30","15","13"
"2017","12","22","27","28","35","38","43","44","36","27","27","20","12"
"2018","24","13","25","31","35","38","42","43","35","30","24","17","13"
"2019","24","5","16","28","34","40","44","45","29","21","16","28","5"
"2020","26","20","22","23","32","40","44","42","42","26","22","21","20"
"2021","20","21","22","26","34","38","43","41","34","26","28","7","7"
"2022","7","14","21","25","32","40","44","44","37","M","M","M","M"
