"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1908","M","M","20","16","29","29","32","30","20","28","12","16","M"
"1909","-26","24","20","15","26","32","39","34","30","20","8","-1","M"
"1910","1","-3","26","29","28","31","36","28","24","16","22","24","M"
"1911","-6","8","19","14","27","33","34","36","24","9","8","14","-6"
"1912","-20","20","1","24","32","31","39","34","27","20","25","16","-20"
"1913","-16","-11","16","24","30","34","33","33","25","24","21","1","-16"
"1914","19","6","20","20","27","31","36","35","31","29","23","-1","-1"
"1915","12","26","25","23","34","35","35","40","30","25","12","5","5"
"1916","-21","-5","26","29","26","31","37","33","29","14","3","-8","-21"
"1917","5","0","0","29","27","33","32","38","34","11","13","17","0"
"1918","5","10","20","16","24","28","40","38","34","20","3","-6","-6"
"1919","-7","12","22","24","25","26","35","40","26","7","8","-24","-24"
"1920","-1","22","18","26","M","31","39","39","36","25","17","22","M"
"1921","19","14","21","20","27","37","37","35","26","24","14","4","4"
"1922","-15","M","17","27","24","45","51","46","34","18","15","M","M"
"1923","3","-3","21","30","33","39","46","43","32","20","19","6","-3"
"1924","-14","26","21","14","26","36","36","31","31","21","20","-21","-21"
"1925","3","27","22","26","28","30","38","33","28","19","16","26","3"
"1926","25","28","19","21","27","30","35","40","20","23","23","-1","-1"
"1927","-8","23","23","8","M","38","39","38","35","21","23","-6","M"
"1928","M","16","M","22","25","36","43","36","25","15","14","5","M"
"1929","-25","M","23","19","29","39","36","36","30","23","2","15","M"
"1930","-28","26","22","26","27","31","37","32","32","20","22","12","-28"
"1931","M","22","21","21","26","36","32","39","31","19","2","-5","M"
"1932","12","-20","25","28","25","34","38","38","25","22","23","-14","-20"
"1933","11","M","22","20","29","34","36","38","24","21","23","23","M"
"1934","22","21","17","23","26","34","34","36","15","26","28","23","15"
"1935","-18","17","18","19","23","30","32","30","22","4","-8","18","-18"
"1936","-8","M","21","13","34","36","37","38","28","12","4","6","M"
"1937","-24","5","25","30","28","37","42","31","30","28","24","16","M"
"1938","10","14","25","22","26","30","40","33","33","20","9","8","8"
"1939","20","-7","18","21","26","29","35","36","28","21","16","20","-7"
"1940","14","21","27","30","29","37","40","39","41","30","12","8","8"
"1941","3","22","16","23","31","41","43","40","31","23","18","10","3"
"1942","-15","19","22","27","29","32","39","34","28","17","20","11","-15"
"1943","-10","14","14","28","25","35","39","38","28","26","22","18","-10"
"1944","15","8","12","25","25","36","35","35","31","29","12","12","8"
"1945","21","11","12","21","26","34","35","30","31","17","15","2","M"
"1946","17","20","24","22","30","35","36","35","27","15","18","-8","-8"
"1947","-12","14","18","26","30","30","39","32","28","29","20","21","M"
"1948","5","1","14","24","27","47","38","42","30","14","19","-8","-8"
"1949","-22","-9","23","24","25","28","35","33","29","15","22","-10","M"
"1950","-26","M","16","18","27","38","42","37","22","23","22","2","M"
"1951","1","13","19","14","24","29","33","38","24","15","15","-10","-10"
"1952","-13","16","16","17","27","36","35","35","29","23","-1","16","-13"
"1953","30","23","20","22","27","34","34","37","28","24","14","21","14"
"1954","-23","19","7","20","23","30","38","37","26","22","20","14","-23"
"1955","10","9","6","21","23","35","32","34","27","28","-14","1","-14"
"1956","-21","-20","17","20","27","33","45","41","27","28","20","3","-21"
"1957","-24","-7","26","27","36","34","38","34","20","22","M","20","M"
"1958","18","21","17","28","32","40","41","43","22","23","14","24","14"
"1959","-2","21","21","22","27","35","32","38","33","24","-9","8","-9"
"1960","-14","3","12","30","29","28","39","37","25","19","16","7","-14"
"1961","5","26","23","20","29","38","39","43","26","19","1","-14","-14"
"1962","-10","3","15","25","29","31","31","35","26","26","23","10","-10"
"1963","-4","12","23","28","29","37","33","39","34","19","17","13","-4"
"1964","15","16","16","15","23","33","40","36","30","23","22","-17","-17"
"1965","13","21","9","28","19","32","39","30","23","21","23","14","9"
"1966","12","8","13","17","23","35","40","38","36","21","18","25","8"
"1967","22","22","19","25","26","38","39","38","30","22","5","2","2"
"1968","7","18","18","9","21","34","37","44","34","25","21","-34","-34"
"1969","-16","14","20","22","28","40","36","31","27","14","12","17","-16"
"1970","8","22","18","17","29","35","38","38","25","21","10","9","8"
"1971","7","15","8","23","29","34","30","38","25","9","14","8","7"
"1972","-6","-5","22","16","23","39","37","33","25","19","21","-15","-15"
"1973","-2","20","19","20","22","33","35","34","34","19","22","5","-2"
"1974","-21","25","18","27","25","34","40","38","27","24","21","17","-21"
"1975","-2","13","18","19","31","38","49","42","33","23","11","19","-2"
"1976","16","11","12","22","32","32","40","36","35","22","8","10","8"
"1977","-6","17","19","21","M","37","41","44","31","22","7","-9","M"
"1978","-16","26","23","27","32","40","46","41","31","17","7","-19","M"
"1979","-16","-5","24","M","M","33","42","M","35","23","9","19","M"
