"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1931","1.48","0.45","1.04","0.29","0.16","1.35","0.00","0.01","0.30","0.53","1.63","2.48","9.72"
"1932","0.88","0.41","1.12","0.77","0.39","0.03","0.13","0.81","T","0.94","1.55","0.94","7.97"
"1933","0.84","0.46","1.32","0.44","0.85","0.37","T","0.68","0.68","1.82","0.60","2.84","10.90"
"1934","1.04","0.36","0.97","0.31","0.10","0.80","T","0.27","0.92","1.93","1.16","0.86","8.72"
"1935","0.49","0.64","0.15","0.40","0.09","0.19","0.27","0.38","0.10","0.54","0.36","1.55","5.16"
"1936","1.97","0.67","0.28","0.58","0.12","1.73","0.15","0.04","0.38","0.12","0.05","1.69","7.78"
"1937","0.58","0.50","1.44","1.39","0.12","2.22","0.36","0.08","0.62","0.62","2.99","1.57","12.49"
"1938","0.73","0.98","1.65","0.23","0.26","2.08","0.14","0.02","0.08","0.45","0.80","0.85","8.27"
"1939","0.71","0.96","0.71","0.29","0.11","0.19","0.15","T","0.29","0.69","0.13","2.01","6.24"
"1940","1.16","4.38","1.61","1.04","0.25","0.40","1.14","0.01","0.84","2.30","2.21","2.07","17.41"
"1941","2.49","0.93","0.65","1.18","2.00","2.36","0.01","0.96","1.41","0.73","1.25","1.46","15.43"
"1942","0.84","1.29","0.39","0.44","1.78","2.43","0.23","0.04","0.08","1.05","2.31","1.84","12.72"
"1943","0.47","0.84","0.87","1.43","0.45","1.87","0.07","0.37","0.09","2.09","0.33","0.54","9.42"
"1944","0.69","0.88","0.23","1.81","0.68","1.25","T","0.01","0.27","0.17","1.32","0.93","8.24"
"1945","1.07","0.99","1.39","0.36","2.06","1.23","0.00","0.26","1.97","0.51","1.35","1.71","12.90"
"1946","0.75","1.32","1.51","0.40","1.03","0.47","0.30","0.50","0.83","1.94","1.30","0.23","10.58"
"1947","0.33","0.19","0.37","0.63","0.63","0.68","0.64","0.25","1.23","3.93","0.88","1.17","10.93"
"1948","1.67","1.49","0.18","1.61","5.86","2.31","M","0.35","0.48","0.77","0.99","1.12","M"
"1949","0.09","2.18","0.85","0.03","0.44","0.02","T","0.03","0.64","0.48","2.17","0.17","7.10"
"1950","1.66","1.11","1.28","0.57","0.25","1.38","0.16","0.02","0.01","2.70","0.68","1.46","11.28"
"1951","0.94","0.96","0.65","0.25","0.65","1.00","0.12","0.43","0.34","1.46","0.79","1.40","8.99"
"1952","0.80","0.38","0.22","0.61","0.78","1.30","0.03","T","0.17","0.08","0.17","1.48","6.02"
"1953","2.35","0.32","0.76","0.68","0.85","0.34","T","0.51","0.06","0.49","1.05","0.99","8.40"
"1954","1.19","0.40","0.82","0.26","0.55","1.13","0.58","0.46","0.93","0.86","1.02","0.81","9.01"
"1955","0.65","0.26","0.21","1.01","0.68","0.33","0.64","0.00","1.03","1.38","1.23","1.53","8.95"
"1956","1.88","1.47","0.24","0.06","1.15","0.68","0.38","0.47","0.08","1.70","0.22","0.61","8.94"
"1957","0.66","0.56","1.00","0.43","0.77","1.53","0.02","0.14","0.46","0.84","0.39","0.82","7.62"
