"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1891","M","M","M","M","M","M","M","0.09","0.23","0.32","M","2.29","M"
"1892","1.13","0.43","M","1.32","M","M","0.47","T","0.26","0.59","M","M","M"
"1893","M","M","1.69","2.25","1.40","0.21","0.06","0.00","0.78","0.24","M","0.75","M"
"1894","M","M","1.19","0.34","1.37","1.20","T","0.06","0.05","1.37","0.89","M","M"
"1895","2.40","0.30","0.27","0.74","0.65","T","T","M","M","0.00","0.54","2.25","M"
"1896","2.50","0.18","0.70","M","1.80","0.09","0.01","0.67","0.64","1.00","3.00","1.78","M"
"1897","M","2.80","M","0.54","1.30","1.25","0.88","0.15","0.11","0.74","2.93","M","M"
"1898","M","1.59","0.08","T","0.91","1.54","T","1.03","0.22","M","0.92","1.35","M"
"1899","2.94","1.32","0.12","0.41","0.54","0.17","0.15","1.43","0.19","1.50","3.50","1.56","13.83"
"1900","1.15","0.85","1.02","0.82","0.89","0.65","T","0.14","0.84","2.07","1.20","2.63","12.26"
"1901","2.13","2.15","0.52","M","1.76","1.48","0.00","0.02","M","0.08","2.42","1.84","M"
"1902","1.01","3.30","0.45","1.75","0.69","T","1.74","0.15","0.23","0.08","1.77","M","M"
"1903","1.81","0.78","0.88","0.61","0.18","0.38","0.27","1.48","0.43","0.55","3.21","0.35","10.93"
"1904","1.54","2.87","3.15","1.05","0.05","0.48","T","0.51","0.02","1.60","M","1.87","M"
"1905","1.79","0.27","0.97","0.17","0.69","4.59","0.20","0.15","0.93","1.47","0.70","1.38","13.31"
"1906","M","1.95","M","0.05","M","0.24","0.11","0.10","0.20","0.18","M","3.22","M"
"1907","1.02","0.81","0.80","0.08","0.49","1.96","0.96","0.56","1.84","0.12","1.24","2.78","12.66"
"1908","1.36","0.71","0.85","0.10","1.05","0.10","1.14","0.04","0.08","0.94","0.77","0.55","7.69"
"1909","2.10","1.51","0.57","0.00","0.43","0.31","0.74","T","0.99","0.90","3.64","1.61","12.80"
"1910","1.14","0.92","1.25","0.08","0.68","0.16","0.09","0.41","0.67","0.61","2.74","1.10","9.85"
"1911","0.70","0.92","0.48","0.29","1.21","0.49","T","0.60","0.64","0.18","M","1.83","M"
"1912","3.01","0.86","0.37","0.87","1.14","0.64","0.15","1.04","0.24","1.87","1.49","1.39","13.07"
"1913","1.08","0.35","0.11","0.67","1.87","0.86","0.03","0.23","0.17","1.02","1.98","1.39","9.76"
"1914","3.80","1.01","0.16","0.80","0.13","1.49","0.08","T","1.39","1.84","1.36","0.73","12.79"
"1915","1.90","2.37","1.33","0.75","2.54","0.31","0.61","T","0.18","0.93","3.96","3.12","18.00"
"1916","1.20","3.30","1.69","0.12","0.42","1.67","0.93","0.22","0.98","0.03","0.74","0.77","12.07"
"1917","0.34","1.02","1.49","2.20","0.77","0.55","0.09","T","0.15","T","1.24","3.84","11.69"
"1918","0.98","1.11","M","M","M","M","M","M","M","1.01","1.27","0.47","M"
