"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1907","M","M","M","M","M","M","M","M","M","M","M","22.58","M"
"1908","21.95","21.05","24.90","9.90","6.08","M","M","M","2.73","12.20","M","M","M"
"1909","M","6.68","M","M","M","M","M","M","M","M","M","13.18","M"
"1910","M","12.04","8.85","6.85","3.05","2.51","0.38","M","3.10","15.49","28.50","M","M"
"1911","M","M","M","M","M","M","M","0.56","5.98","4.57","M","9.19","M"
"1912","M","M","M","M","M","M","M","M","3.12","10.58","M","M","M"
"1913","15.14","6.21","7.17","4.72","5.77","M","3.10","M","7.78","12.78","21.20","8.27","M"
"1914","27.97","6.95","8.72","8.73","2.87","5.12","0.54","0.49","5.63","9.37","21.60","4.33","102.32"
"1915","8.55","9.85","7.95","8.18","7.76","1.92","2.19","0.17","1.75","20.94","11.77","27.88","108.91"
"1916","15.37","14.10","22.61","10.64","5.07","1.95","3.70","0.00","1.60","8.94","13.38","12.75","110.11"
"1917","12.40","11.76","14.62","12.12","2.00","3.53","0.83","1.15","3.93","5.79","8.98","31.34","108.45"
"1918","19.74","16.57","27.27","4.28","3.31","2.47","1.13","6.54","0.01","14.90","14.05","24.47","134.74"
"1919","19.33","13.67","17.94","10.57","8.43","3.25","0.58","0.24","3.54","4.16","22.11","M","M"
"1920","M","M","M","5.66","5.60","5.99","0.30","4.28","17.94","14.79","12.54","23.73","M"
"1921","29.70","16.96","6.92","10.31","4.53","8.40","0.38","3.73","11.88","25.87","20.59","M","M"
"1922","9.02","10.38","8.55","8.34","5.49","0.55","0.00","2.59","8.08","8.69","5.56","14.53","81.78"
"1923","3.00","9.00","9.70","4.35","6.75","1.23","2.23","0.82","2.80","5.70","12.60","29.50","87.68"
"1924","18.47","M","4.09","6.44","1.36","2.31","0.96","1.69","7.55","23.78","13.31","18.56","M"
"1925","27.65","M","8.07","6.29","4.54","3.32","2.58","2.52","2.09","4.75","10.90","20.59","M"
"1926","11.57","14.50","5.25","5.15","8.13","0.75","0.48","4.63","2.76","14.13","15.03","17.40","99.78"
"1927","16.70","M","M","M","M","M","M","M","M","17.93","M","M","M"
"1928","M","6.65","M","M","3.66","1.34","1.05","M","M","M","M","M","M"
"1929","M","M","M","M","4.42","6.63","M","M","0.73","M","3.94","M","M"
"1930","M","23.03","6.51","M","5.09","M","0.22","M","M","11.67","M","M","M"
"1931","23.55","10.94","16.21","13.17","2.76","9.52","0.27","0.86","10.47","8.30","M","M","M"
"1932","16.40","M","16.53","13.05","1.95","2.77","8.05","2.11","M","10.51","21.63","20.63","M"
"1933","25.59","15.99","17.61","2.27","8.51","2.67","1.81","0.80","12.33","12.78","8.30","32.28","140.94"
"1934","20.20","8.74","M","M","8.51","1.43","5.78","M","5.11","13.67","M","20.66","M"
"1935","40.89","12.31","17.84","5.12","0.91","4.31","M","1.25","M","6.46","6.87","13.22","M"
"1936","18.20","9.62","12.31","M","6.78","7.16","4.75","3.26","3.10","3.20","2.91","19.49","M"
"1937","4.20","18.10","7.02","17.24","6.94","6.91","0.31","4.43","3.25","14.80","21.21","17.44","M"
