"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1891","M","M","M","M","M","M","M","M","M","6.69","19.96","19.34","M"
"1892","5.75","4.95","5.24","10.84","5.04","1.33","1.70","0.51","4.85","2.86","M","M","M"
"1893","3.25","10.46","10.82","12.29","5.53","5.10","0.41","1.16","4.89","8.37","14.37","12.18","88.83"
"1894","17.17","12.28","12.53","5.47","3.39","3.61","0.35","0.25","6.80","9.25","10.84","8.36","90.30"
"1895","10.89","5.00","6.95","7.93","7.27","0.63","0.90","M","M","0.30","9.18","21.08","M"
"1896","22.22","13.00","5.51","8.98","6.09","3.49","0.55","M","M","M","M","M","M"
"1897","M","M","M","3.40","2.90","4.76","1.76","1.08","1.77","4.27","16.91","18.66","M"
"1898","5.85","14.32","4.41","4.93","3.35","3.35","0.97","0.55","5.93","4.81","10.94","M","M"
"1899","17.67","12.45","4.65","9.47","4.40","M","0.32","3.16","2.32","9.17","22.77","10.13","M"
"1900","M","9.11","9.83","3.06","5.60","7.77","1.26","M","M","M","9.34","21.64","M"
"1901","M","11.10","7.18","11.19","4.25","2.85","1.45","0.35","4.65","4.37","19.09","11.41","M"
"1902","6.76","22.41","10.97","5.14","4.35","3.06","1.33","0.42","5.13","M","15.17","18.95","M"
"1903","M","M","M","5.92","M","M","1.40","0.84","5.36","5.89","M","9.53","M"
"1904","13.48","15.47","15.76","4.56","0.47","2.18","1.70","0.17","1.02","3.92","15.84","11.89","86.46"
"1905","12.21","6.01","11.93","1.90","4.52","4.41","0.45","1.66","7.60","11.60","7.06","14.69","84.04"
"1906","12.29","8.46","5.16","2.94","3.83","5.14","0.00","0.58","8.26","11.01","15.92","11.22","84.81"
"1907","11.40","9.08","7.14","5.56","2.70","1.59","0.42","0.67","3.04","2.34","13.27","17.54","74.75"
"1908","10.95","9.01","15.27","7.61","4.95","1.84","0.12","2.58","0.27","5.48","11.09","10.72","79.89"
"1909","14.05","14.75","7.28","2.09","4.23","2.32","2.45","1.26","1.54","M","26.76","8.68","M"
"1910","14.39","10.23","6.59","5.28","3.50","3.31","0.29","0.47","4.36","10.08","15.31","12.22","86.03"
"1911","11.20","4.93","3.97","4.41","8.12","1.41","0.80","0.77","3.98","4.09","17.22","M","M"
"1912","16.74","10.47","3.12","2.60","3.89","3.61","1.34","3.96","4.16","M","12.65","12.62","M"
"1913","16.45","4.71","6.19","4.59","3.69","6.40","1.78","1.08","6.27","5.50","17.58","M","M"
"1914","23.48","M","M","M","2.15","2.72","0.19","0.47","7.05","9.84","13.43","4.42","M"
"1915","8.99","6.28","6.25","4.74","6.46","0.60","2.02","0.37","1.59","9.22","11.86","17.30","75.68"
"1916","9.23","13.78","19.63","4.56","4.12","2.03","5.33","0.10","1.59","3.24","10.53","8.27","82.41"
"1917","10.20","7.73","10.61","9.20","0.94","3.60","0.55","0.50","3.94","1.63","5.10","24.43","78.43"
"1918","10.44","10.76","8.72","2.86","2.62","0.00","0.82","3.90","0.07","6.74","10.33","14.72","71.98"
"1919","14.49","11.18","10.23","6.15","4.01","1.71","0.00","0.32","3.12","1.92","10.50","8.06","71.69"
"1920","10.45","0.82","10.09","6.49","3.26","2.96","1.12","2.20","M","13.20","8.92","13.87","M"
"1921","18.14","12.22","6.70","7.95","2.41","5.57","0.06","2.12","4.31","10.90","16.27","9.37","96.02"
"1922","4.86","6.17","9.85","5.51","3.95","0.57","0.00","2.24","4.43","6.86","3.43","14.94","62.81"
"1923","17.58","4.55","5.66","4.48","3.30","M","0.70","0.05","M","5.00","4.33","M","M"
"1924","9.37","12.96","3.29","3.40","0.74","1.53","0.59","2.09","6.09","13.44","11.10","14.59","79.19"
"1925","16.59","11.47","5.40","3.94","1.64","3.21","0.42","1.15","1.55","2.60","10.96","14.08","73.01"
"1926","10.43","10.46","4.45","2.32","7.91","0.08","0.20","3.07","3.40","7.55","14.35","M","M"
"1927","M","13.10","7.44","6.18","6.56","1.57","0.82","3.31","5.99","9.82","19.83","8.28","M"
"1928","13.69","4.18","14.00","M","1.65","0.83","0.83","0.10","2.63","M","9.94","10.47","M"
"1929","M","4.54","9.25","M","1.64","3.87","1.29","0.88","0.35","2.57","M","12.02","M"
"1930","9.52","12.63","7.22","7.81","M","M","0.24","0.27","4.64","6.52","6.67","6.68","M"
"1931","15.74","9.24","14.81","5.58","2.47","6.38","0.10","0.46","7.23","12.04","10.62","17.92","102.59"
"1932","11.83","15.48","16.91","8.54","2.09","1.16","4.77","1.83","1.98","7.00","19.47","19.92","110.98"
"1933","16.65","8.03","12.26","2.47","5.63","2.95","1.22","0.69","8.89","11.32","6.99","35.70","M"
"1934","19.33","6.26","8.38","2.28","4.81","0.75","2.25","1.07","4.44","12.11","14.85","15.11","91.64"
"1935","20.35","8.09","14.86","3.57","1.67","2.60","1.04","1.94","4.36","4.56","6.12","8.74","77.90"
"1936","15.22","12.41","7.73","2.27","6.30","6.01","2.46","2.11","1.33","2.01","1.52","14.50","73.87"
"1937","6.13","14.84","5.28","12.48","3.97","5.91","0.16","5.19","3.92","5.89","26.40","18.08","108.25"
"1938","9.18","7.72","12.67","9.49","3.32","0.22","0.35","0.64","2.90","8.82","10.55","11.97","77.83"
"1939","16.62","10.46","5.91","2.14","3.58","3.27","1.91","1.12","1.28","5.49","6.51","18.94","77.23"
"1940","9.47","17.27","10.90","7.57","3.39","0.34","2.95","1.24","2.73","12.20","9.10","9.87","87.03"
"1941","10.02","4.58","3.03","2.36","6.36","2.72","0.10","4.31","7.76","4.94","8.80","15.48","70.46"
"1942","7.31","5.99","5.73","4.10","3.15","4.30","2.72","0.32","0.64","8.20","13.33","14.16","69.95"
"1943","8.32","8.48","8.17","6.88","3.57","2.16","1.27","3.40","2.16","9.42","4.56","12.62","71.01"
"1944","9.31","6.59","5.35","7.31","2.55","0.54","0.36","1.12","5.42","3.51","11.06","5.09","58.21"
"1945","13.36","9.35","12.27","3.80","5.14","0.74","0.82","0.45","5.49","4.47","14.15","13.32","83.36"
"1946","12.49","13.76","7.91","8.29","0.90","5.13","1.90","0.33","2.15","8.48","9.92","12.51","83.77"
"1947","11.87","8.28","4.64","4.93","1.49","5.38","3.53","1.04","2.28","17.43","7.88","12.96","81.71"
"1948","8.42","11.99","7.31","6.28","8.53","1.16","1.25","2.95","7.17","5.92","14.58","14.74","90.30"
"1949","1.40","14.62","6.69","4.03","2.17","1.20","1.36","1.32","2.35","6.80","13.62","14.64","70.20"
"1950","10.98","15.28","14.29","6.91","2.45","1.18","1.38","2.50","3.61","12.44","12.13","16.18","99.33"
"1951","14.61","13.79","7.98","1.93","1.89","0.26","0.51","0.11","4.32","10.99","9.74","11.05","77.18"
"1952","12.24","6.82","7.36","3.54","2.34","3.01","0.34","2.50","0.68","1.78","3.01","15.26","58.88"
"1953","30.46","7.23","7.77","5.03","4.24","2.82","0.46","2.83","3.31","6.53","11.53","17.08","99.29"
"1954","20.22","M","5.73","5.69","0.97","3.39","2.30","4.41","2.84","5.91","14.01","10.37","M"
"1955","7.11","7.22","9.41","9.29","2.17","2.04","4.69","0.28","2.07","13.36","16.37","18.07","92.08"
"1956","16.75","8.15","17.17","1.41","1.38","4.99","0.99","1.78","5.39","13.72","5.19","13.10","90.02"
"1957","6.41","9.78","12.60","5.04","2.01","2.58","2.31","2.71","0.95","5.55","7.15","15.30","72.39"
"1958","13.76","11.88","4.89","8.44","1.34","2.60","0.04","1.13","3.91","8.24","16.59","12.48","86.13"
"1959","12.86","7.00","9.20","8.96","4.45","3.43","1.65","1.53","8.58","7.28","12.55","11.43","88.92"
"1960","12.50","10.24","8.52","6.10","8.32","1.32","0.04","2.37","1.06","7.52","14.29","7.00","79.28"
"1961","13.89","20.60","12.81","5.39","3.48","0.94","0.89","1.26","1.78","6.93","10.87","12.63","91.47"
"1962","7.16","4.56","8.20","6.74","3.71","2.37","0.52","3.04","4.34","8.06","16.99","9.79","75.48"
