"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1929","M","M","M","M","M","M","M","M","M","2.88","M","M","M"
"1930","4.14","M","9.33","M","M","2.79","0.14","M","3.65","5.37","5.60","8.70","M"
"1931","M","M","M","7.26","2.05","M","M","0.38","6.45","M","14.99","25.56","M"
"1932","16.81","M","20.76","5.32","1.47","1.37","3.92","3.05","1.97","7.48","27.46","M","M"
"1933","29.03","M","21.54","M","M","4.02","0.68","0.67","11.74","M","4.85","51.40","M"
"1934","M","5.14","12.40","M","M","1.30","3.18","M","3.46","M","19.68","M","M"
"1935","23.22","11.98","16.79","M","2.69","3.73","1.48","2.00","6.09","M","7.88","15.26","M"
"1936","22.62","16.21","11.86","1.53","8.31","6.84","2.64","0.64","2.78","1.85","1.46","19.53","96.27"
"1937","10.08","20.42","8.73","15.25","5.72","7.30","0.20","M","5.65","8.59","33.84","22.13","M"
"1938","10.82","9.98","M","9.77","3.49","M","0.62","M","M","13.30","13.54","13.27","M"
"1939","M","19.01","8.31","M","M","M","M","M","M","M","M","22.91","M"
"1940","8.37","25.24","M","M","3.68","0.39","2.16","2.09","2.21","19.02","9.59","13.44","M"
"1941","14.75","4.82","4.57","4.20","8.84","2.92","0.17","4.32","8.97","6.49","M","20.60","M"
"1942","10.03","12.69","7.46","6.95","4.29","6.72","2.66","0.71","1.10","12.36","22.45","19.36","106.78"
"1943","10.51","11.69","12.13","8.45","3.81","2.24","1.26","4.43","0.96","13.70","7.25","16.17","92.60"
"1944","9.49","8.79","8.95","9.06","2.83","1.27","0.65","0.54","5.37","6.57","16.32","8.89","78.73"
"1945","18.34","14.66","18.65","7.12","7.20","0.69","0.72","0.40","7.39","4.06","M","18.74","M"
"1946","21.65","23.45","11.36","8.90","1.83","6.61","1.76","0.56","3.96","11.57","17.50","M","M"
"1947","16.49","9.68","7.14","7.25","1.17","6.96","3.60","1.71","4.56","23.12","10.74","17.66","110.08"
"1948","12.01","15.70","M","9.50","9.67","1.13","2.08","3.02","8.95","M","M","27.22","M"
"1949","2.12","22.59","10.68","3.86","3.44","1.58","1.55","1.24","2.63","10.20","18.04","20.03","97.96"
"1950","15.46","M","M","10.00","3.57","1.23","2.92","3.34","2.50","18.99","18.99","28.05","M"
"1951","23.61","20.86","12.73","3.24","2.65","0.43","0.51","0.41","6.97","15.83","16.67","14.69","118.60"
"1952","19.38","12.28","12.56","4.89","2.86","2.91","0.58","2.10","1.43","3.22","6.12","21.21","89.54"
"1953","34.95","7.77","11.18","5.20","7.03","3.40","0.67","3.24","M","11.24","17.22","15.59","M"
"1954","17.93","14.48","5.69","8.53","1.54","6.89","M","M","2.86","M","M","M","M"
"1955","7.43","6.95","M","M","M","M","5.23","0.37","4.41","18.37","22.59","29.98","M"
