"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1909","10.34","12.00","3.46","2.90","2.00","0.75","M","M","M","M","12.02","M","M"
"1910","M","M","M","M","M","M","M","M","M","4.85","M","M","M"
"1911","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1912","M","M","M","M","M","1.45","0.50","M","1.60","5.00","M","M","M"
"1913","M","M","M","M","M","M","M","M","4.50","9.23","9.74","M","M"
"1914","M","8.22","5.54","5.50","2.68","3.98","0.44","0.20","M","8.92","9.93","2.41","M"
"1915","5.52","5.15","3.93","5.09","7.20","2.62","2.63","0.08","3.02","11.24","15.17","16.10","77.75"
"1916","7.75","10.79","17.65","6.00","4.55","3.74","4.33","0.64","3.66","3.35","10.88","7.69","81.03"
"1917","12.62","6.08","10.57","9.03","1.81","7.75","0.34","T","2.94","3.82","5.60","37.72","98.28"
"1918","18.39","10.31","5.19","2.93","4.60","0.26","1.85","3.63","0.75","11.99","8.70","12.98","81.58"
"1919","17.52","7.95","8.83","6.56","4.45","1.89","0.51","0.56","3.53","7.23","10.80","8.67","78.50"
"1920","14.29","1.48","10.78","10.54","4.01","3.62","0.99","2.67","11.32","10.92","8.44","18.72","97.78"
"1921","20.13","15.85","10.49","9.91","2.77","3.72","0.83","1.90","4.99","M","17.77","9.55","M"
"1922","6.65","6.55","6.65","7.11","4.29","0.33","0.00","3.38","4.52","7.21","3.59","15.40","65.68"
"1923","18.48","3.86","8.76","4.43","4.78","2.37","1.95","2.20","1.29","8.07","8.76","15.11","80.06"
"1924","11.69","11.16","4.30","3.12","0.95","3.03","0.96","1.03","M","10.78","11.48","13.22","M"
"1925","17.34","11.15","5.82","3.66","2.92","1.77","0.05","1.53","2.17","4.36","8.59","12.65","M"
"1926","8.06","10.86","3.49","2.37","M","M","T","M","M","M","12.19","M","M"
"1927","12.13","10.24","5.17","5.01","6.67","0.76","0.24","4.10","9.68","10.21","20.90","10.00","95.11"
"1928","M","1.86","M","7.90","1.34","1.77","1.78","0.17","1.65","9.41","5.46","M","M"
"1929","7.77","4.31","M","M","M","M","0.23","M","1.28","4.18","2.39","9.26","M"
"1930","4.22","5.87","M","2.21","5.50","2.59","0.10","0.07","2.20","7.68","5.67","4.61","M"
"1931","M","5.20","11.75","4.20","3.21","7.26","0.00","0.44","4.06","10.67","10.16","9.33","M"
"1932","10.57","11.79","16.91","7.24","3.16","0.87","3.86","1.57","1.61","9.83","21.99","15.66","105.06"
"1933","16.93","9.26","9.38","2.67","4.16","3.41","0.28","2.75","7.89","12.43","8.35","36.09","113.60"
"1934","17.69","2.46","13.07","2.84","4.01","1.61","0.69","0.85","5.06","11.66","19.09","15.41","94.44"
"1935","12.14","3.75","11.03","3.19","1.05","3.26","2.07","1.05","2.23","4.18","5.81","7.44","57.20"
"1936","16.01","11.49","7.92","2.20","9.21","5.63","1.81","0.87","2.43","2.62","0.78","14.96","75.93"
"1937","4.51","12.81","5.39","11.65","2.25","7.43","0.73","4.50","1.86","7.05","19.38","16.48","94.04"
"1938","7.33","3.52","8.44","5.70","3.46","0.61","0.35","0.88","1.25","6.16","11.50","14.57","63.77"
"1939","11.68","10.91","4.35","1.30","3.16","3.47","1.57","1.30","2.29","5.58","5.52","14.83","65.96"
"1940","4.26","14.39","7.14","6.59","2.56","0.69","2.21","0.84","3.53","7.49","8.04","6.61","64.35"
"1941","6.25","2.29","2.48","4.11","7.20","2.84","0.23","4.68","7.85","8.80","9.00","13.72","M"
"1942","M","5.63","4.57","5.47","5.19","6.85","3.43","1.26","0.08","6.29","17.10","M","M"
"1943","M","7.91","M","5.03","4.86","3.84","1.20","1.48","0.97","9.42","3.90","8.94","M"
"1944","M","M","M","3.75","5.73","1.55","0.04","0.54","7.40","2.41","M","M","M"
"1945","M","M","10.15","7.82","4.49","1.34","0.39","1.20","7.73","M","M","13.01","M"
"1946","15.41","9.37","8.16","M","1.79","6.06","1.73","0.54","2.34","12.91","11.22","18.63","M"
"1947","13.89","6.16","5.07","7.36","1.26","5.86","1.62","0.99","4.75","15.14","14.53","10.39","87.02"
"1948","9.17","12.61","6.98","7.13","7.39","4.12","2.86","3.14","4.92","6.01","17.86","15.47","97.66"
"1949","2.81","17.17","4.96","2.94","3.09","2.21","1.54","1.43","2.75","8.70","13.04","17.30","77.94"
"1950","16.42","11.67","11.41","6.11","2.96","2.87","2.71","2.19","3.32","11.78","15.32","14.18","100.94"
"1951","12.94","12.15","9.70","0.97","5.18","0.49","0.29","1.41","5.27","14.41","11.55","9.72","84.08"
"1952","6.89","6.07","6.49","3.34","2.78","3.48","0.04","0.84","0.91","1.93","1.42","9.03","43.22"
"1953","26.83","6.79","5.68","4.91","5.45","5.00","1.11","2.90","3.04","5.33","10.24","23.57","100.85"
"1954","16.84","10.14","4.22","5.86","3.67","6.26","2.30","2.74","2.67","5.22","11.00","11.25","82.17"
"1955","6.60","10.38","12.80","7.76","4.30","2.78","4.13","0.09","4.82","17.20","18.66","14.41","103.93"
"1956","13.34","10.33","13.84","1.75","1.90","4.75","0.86","2.23","3.89","10.55","5.35","15.85","84.64"
