"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1899","M","M","M","1.31","M","1.89","0.87","2.24","1.99","2.04","5.22","2.39","M"
"1900","2.34","1.56","1.60","1.11","1.72","1.02","1.32","1.57","2.48","3.88","2.54","3.79","24.93"
"1901","1.99","1.52","0.65","M","1.75","2.88","2.15","M","M","1.00","1.72","1.09","M"
"1902","0.45","M","0.36","M","M","M","M","M","M","M","M","M","M"
"1903","M","M","M","M","1.71","2.06","M","0.84","3.35","1.24","1.54","1.02","M"
"1904","2.12","M","M","1.71","0.52","2.78","0.82","0.65","0.11","1.40","1.72","2.18","M"
"1905","1.09","0.28","2.53","1.06","2.58","2.55","1.00","0.41","1.53","3.10","2.02","1.33","19.48"
"1906","M","2.56","1.17","0.45","2.16","2.34","0.02","0.60","1.22","0.68","M","M","M"
"1907","2.95","1.32","1.12","0.81","1.98","1.69","1.61","3.68","2.02","0.73","1.79","2.51","22.21"
"1908","2.07","1.98","0.95","1.62","3.10","1.46","1.60","0.99","0.08","2.00","1.07","1.97","18.89"
"1909","2.04","M","M","0.35","2.47","1.45","3.08","T","M","2.06","2.91","M","M"
"1910","0.98","1.05","1.23","0.40","1.12","0.11","0.01","1.36","M","1.46","3.30","2.98","M"
"1911","1.77","0.81","0.98","0.75","2.41","2.10","0.19","0.93","1.47","0.40","2.46","2.99","17.26"
"1912","2.56","1.33","0.44","1.73","1.40","1.19","1.48","2.22","1.65","1.80","3.13","1.67","20.60"
"1913","2.51","0.19","0.92","0.64","1.79","4.30","1.67","0.57","1.05","1.36","2.84","0.76","18.60"
"1914","3.03","1.04","0.98","1.89","1.57","1.53","M","M","M","M","M","M","M"
"1915","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1916","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1917","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1918","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1919","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1920","1.52","0.49","0.60","2.30","1.20","0.93","1.25","0.59","1.85","0.97","1.77","1.40","14.87"
"1921","2.91","1.66","1.50","1.38","0.27","0.95","0.19","0.08","0.65","1.36","2.66","1.78","15.39"
"1922","1.76","1.39","1.89","2.41","0.26","0.06","0.02","M","M","M","M","M","M"
"1923","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1924","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1925","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1926","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1927","M","M","M","M","M","M","M","M","M","1.94","3.06","2.88","M"
"1928","1.58","0.59","1.36","0.82","1.17","2.52","1.14","0.51","0.00","0.66","0.83","1.57","12.75"
"1929","0.65","0.32","1.52","1.75","0.43","2.02","0.00","0.19","0.10","0.53","0.00","2.03","9.54"
"1930","1.01","1.72","0.53","1.62","1.58","1.25","0.16","0.20","0.85","1.72","1.52","0.53","12.69"
"1931","2.40","0.75","1.60","0.72","0.31","2.40","0.48","0.00","1.66","1.84","2.60","3.79","18.55"
"1932","1.57","1.05","2.53","2.78","2.17","0.48","0.52","1.01","0.41","1.70","3.66","2.66","20.54"
"1933","2.30","0.96","2.02","0.23","2.29","0.51","0.35","1.53","2.45","2.07","1.35","4.13","20.19"
"1934","M","0.41","1.83","1.82","0.60","0.32","0.32","0.19","0.61","2.99","2.44","2.73","M"
"1935","2.75","0.65","0.78","0.35","0.36","1.31","1.63","0.94","0.10","1.68","0.95","2.16","13.66"
"1936","2.49","1.11","0.43","1.86","0.65","1.93","0.41","0.22","0.95","0.00","0.24","1.29","11.58"
"1937","1.82","1.98","1.41","2.13","0.16","3.12","0.75","0.19","1.44","1.45","4.31","1.48","20.24"
"1938","2.00","2.15","1.76","0.78","1.08","0.44","0.31","0.14","0.79","2.92","1.12","2.58","16.07"
"1939","2.30","1.08","0.67","0.28","0.78","2.72","0.15","0.08","0.54","1.40","0.89","3.20","14.09"
"1940","1.50","3.11","2.86","1.64","0.60","1.00","0.64","0.08","1.92","4.35","1.66","2.80","22.16"
"1941","2.13","1.82","1.02","0.45","4.67","2.95","0.86","2.89","3.98","1.45","2.81","3.16","28.19"
"1942","1.02","1.14","0.16","0.93","4.92","3.12","1.73","0.13","0.35","1.48","1.91","1.75","18.64"
"1943","0.78","1.02","1.37","2.11","0.94","2.02","0.83","0.82","0.19","3.36","1.08","1.21","15.73"
"1944","1.67","1.30","0.35","1.24","1.70","3.84","0.55","0.23","2.13","0.70","2.64","1.55","17.90"
"1945","2.91","M","M","M","M","1.77","0.87","0.23","1.76","2.15","2.60","2.30","M"
"1946","1.85","1.84","1.06","1.22","1.71","2.59","0.18","0.81","1.16","1.61","2.94","M","M"
"1947","M","M","M","M","M","M","M","M","M","M","M","M","M"
