"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1957","M","M","M","0.27","1.72","2.59","0.39","0.02","0.76","2.04","0.99","0.91","M"
"1958","2.22","1.82","1.34","1.03","0.93","1.01","0.00","0.03","0.16","0.24","1.34","1.63","11.75"
"1959","2.31","1.31","0.58","0.57","0.73","0.48","0.05","0.57","1.96","0.49","0.60","0.45","10.10"
"1960","0.67","0.57","0.74","0.69","1.70","0.63","0.00","0.92","0.30","1.52","1.34","0.75","9.83"
"1961","0.74","1.97","1.54","0.60","1.18","0.71","0.00","0.22","0.44","0.72","0.63","0.90","9.65"
"1962","0.22","0.51","1.75","0.43","2.31","0.54","0.00","0.54","0.45","1.43","0.77","1.42","10.37"
"1963","0.15","1.32","0.74","1.26","0.73","0.09","0.31","0.04","0.02","0.61","0.98","1.78","8.03"
"1964","0.56","0.04","0.09","0.05","0.05","1.22","0.41","0.36","0.06","0.22","1.62","4.18","8.86"
"1965","1.78","0.08","0.04","0.92","0.79","0.55","0.30","0.24","0.05","0.10","1.58","0.24","6.67"
"1966","1.12","0.15","0.64","0.08","0.10","0.97","0.83","T","0.04","0.38","2.40","1.61","8.32"
"1967","0.95","0.08","0.54","0.49","0.76","0.35","0.00","0.00","0.35","0.12","0.68","0.30","4.62"
"1968","0.56","1.14","0.26","0.05","0.18","0.57","0.07","1.24","0.60","1.27","1.84","1.35","9.13"
"1969","2.33","0.47","0.38","1.82","0.60","0.68","0.04","0.00","0.42","0.51","0.44","1.46","9.15"
"1970","3.15","1.55","0.89","0.93","0.20","0.32","0.09","0.00","0.46","0.75","1.47","0.47","10.28"
"1971","0.60","0.49","1.16","0.22","1.23","1.37","T","0.22","0.82","0.28","1.11","2.06","9.56"
"1972","0.39","0.62","1.25","0.23","1.01","1.23","0.28","M","0.23","0.44","0.84","1.80","M"
"1973","0.88","0.52","0.27","0.02","0.56","0.20","0.00","0.01","0.79","0.87","3.70","4.03","11.85"
"1974","0.78","1.09","1.04","0.73","0.13","0.11","0.30","0.00","0.01","0.21","0.96","1.26","6.62"
"1975","2.76","1.32","0.67","0.70","0.34","0.38","0.16","1.06","0.01","1.17","1.78","1.67","12.02"
"1976","0.83","0.86","0.29","0.90","0.43","0.14","0.25","1.05","0.03","0.15","0.20","0.51","5.64"
"1977","0.23","0.23","0.76","0.06","0.81","0.38","0.16","1.77","0.94","0.25","1.20","2.38","9.17"
"1978","1.96","0.99","0.41","2.22","0.78","1.06","0.47","2.59","0.75","0.11","1.11","1.56","14.01"
"1979","1.24","1.17","0.75","1.26","M","0.26","M","1.12","0.78","1.92","1.89","0.80","M"
"1980","M","M","0.81","0.56","1.71","0.79","0.10","0.31","1.30","1.60","0.84","1.98","M"
"1981","0.57","1.07","1.07","0.73","2.28","1.27","0.66","0.00","0.60","0.76","1.11","2.06","12.18"
"1982","1.44","1.13","0.86","1.30","0.82","0.81","0.18","0.29","1.90","2.28","0.78","2.00","13.79"
"1983","1.33","1.70","1.96","0.22","0.40","0.61","0.62","0.19","0.36","1.01","2.66","1.97","13.03"
"1984","0.39","1.18","2.15","1.06","M","1.39","0.02","0.11","0.95","0.42","2.64","0.81","M"
"1985","0.38","0.86","0.80","0.19","0.38","0.40","0.00","M","0.71","0.53","M","0.52","M"
"1986","1.75","1.82","2.45","0.25","1.09","0.00","0.28","0.04","0.96","0.59","1.40","0.81","11.44"
"1987","1.19","0.71","1.34","0.27","0.72","0.31","0.23","0.28","0.03","0.00","0.51","1.31","6.90"
"1988","1.45","0.13","0.88","1.47","1.17","0.97","0.00","0.00","0.05","0.02","2.22","0.49","8.85"
"1989","1.25","1.55","2.54","0.71","1.40","0.35","0.02","0.52","0.01","0.52","1.23","0.79","10.89"
"1990","0.71","0.91","1.09","1.34","0.97","0.30","0.23","0.31","0.00","0.98","0.62","0.87","8.33"
"1991","0.66","0.67","1.31","0.43","2.93","0.35","0.18","1.01","M","0.86","2.78","0.96","M"
"1992","0.81","2.03","M","1.09","0.06","1.19","1.40","0.70","0.47","0.31","1.68","1.60","M"
"1993","1.13","0.85","1.40","1.31","0.82","M","0.43","2.47","0.01","0.24","0.21","1.54","M"
"1994","1.71","1.01","0.15","1.02","M","1.42","0.43","0.00","0.21","1.43","2.81","1.36","M"
"1995","2.14","0.77","1.51","2.14","0.71","1.80","0.28","0.57","0.67","1.60","1.90","2.04","16.13"
"1996","1.78","1.57","1.18","1.71","1.65","0.92","0.61","0.00","0.37","1.71","3.18","2.58","17.26"
"1997","1.39","0.97","1.05","1.33","0.65","0.61","0.51","0.07","0.48","1.49","1.19","0.78","10.52"
"1998","1.79","0.93","0.71","0.20","1.17","0.78","0.01","0.15","0.16","0.39","2.51","1.55","10.35"
"1999","0.99","1.01","0.83","0.33","1.09","0.11","0.02","0.22","0.11","1.02","0.70","0.69","7.12"
"2000","1.46","2.04","1.72","0.37","1.29","0.82","0.11","0.00","0.69","1.97","1.09","0.61","12.17"
"2001","0.79","0.40","1.53","1.40","0.80","0.74","0.11","0.37","0.20","1.83","1.64","1.13","10.94"
