"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1893","M","M","M","M","M","M","M","M","M","3.36","8.11","M","M"
"1894","M","2.65","M","8.23","M","4.37","M","M","M","M","M","M","M"
"1895","6.97","M","2.81","M","M","2.00","0.14","M","4.62","M","4.82","M","M"
"1896","M","M","M","M","M","M","M","0.95","1.13","M","M","M","M"
"1897","M","M","M","M","M","M","M","M","M","M","M","7.69","M"
"1898","4.36","5.54","2.07","M","M","M","0.90","M","2.71","2.70","M","2.76","M"
"1899","M","M","M","M","3.51","M","M","M","M","M","M","M","M"
"1900","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1901","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1902","M","M","M","M","M","M","M","M","2.94","2.11","6.65","6.56","M"
"1903","5.64","0.60","3.61","1.49","1.90","1.84","1.97","2.19","7.14","3.51","8.31","4.06","42.26"
"1904","6.14","5.89","5.54","1.87","1.24","2.15","1.45","0.52","1.72","2.29","5.71","8.29","42.81"
"1905","5.46","3.25","4.83","1.22","2.76","3.57","0.37","1.60","7.15","5.66","4.94","M","M"
"1906","M","M","M","0.48","M","M","0.33","0.25","M","M","6.34","M","M"
"1907","M","M","M","M","M","M","M","M","1.81","1.80","M","6.88","M"
"1908","4.94","4.43","5.97","1.54","2.76","0.28","1.29","1.70","0.48","4.43","5.77","6.01","39.60"
"1909","5.54","6.04","2.93","0.91","1.78","1.41","2.06","2.47","1.62","3.85","10.88","4.48","43.97"
"1910","6.23","3.53","3.47","2.64","2.80","1.70","0.00","0.78","1.15","6.75","9.40","8.04","46.49"
"1911","4.59","1.67","2.17","1.73","3.05","1.56","0.62","1.45","3.46","1.49","7.75","5.16","34.70"
"1912","5.59","3.50","0.53","2.69","1.86","2.05","1.50","4.66","0.96","7.28","6.40","5.54","42.56"
"1913","6.66","M","4.01","2.60","3.12","2.77","1.84","0.91","2.36","5.90","5.61","2.15","M"
"1914","7.72","3.10","2.40","2.49","0.62","3.72","0.10","0.57","4.64","3.56","9.20","2.20","40.32"
"1915","4.74","2.48","3.24","2.57","2.02","0.50","0.25","0.10","0.52","7.00","4.20","7.45","35.07"
"1916","2.98","4.51","10.20","2.67","1.65","1.58","M","M","M","M","M","M","M"
"1917","M","M","M","M","M","M","M","M","2.28","M","4.02","13.35","M"
"1918","8.52","4.99","4.58","0.29","1.59","0.96","2.50","2.04","0.18","6.38","5.47","8.28","45.78"
"1919","5.35","5.33","3.94","4.72","3.21","0.51","0.00","0.78","1.86","1.68","9.21","5.97","42.56"
"1920","7.67","0.70","5.32","2.26","1.86","2.26","0.89","2.32","7.27","6.80","4.93","6.24","48.52"
"1921","6.22","5.35","2.85","2.21","1.66","2.87","0.13","1.64","3.35","7.86","6.55","4.39","45.08"
"1922","2.99","2.34","3.12","1.82","1.87","T","0.00","1.18","3.85","2.72","2.19","M","M"
"1923","7.14","M","2.39","0.56","1.72","1.04","0.69","M","0.97","2.20","2.59","4.74","M"
"1924","3.89","M","0.88","1.07","0.05","0.72","0.75","M","M","M","M","M","M"
"1925","M","0.04","4.30","M","M","M","M","M","M","M","M","7.44","M"
"1926","4.42","3.37","1.39","2.11","3.55","0.62","0.01","1.02","3.78","4.39","5.02","4.42","34.10"
"1927","3.86","2.67","3.43","1.91","2.33","0.58","0.50","2.77","3.94","6.21","7.30","5.32","40.82"
"1928","6.84","1.46","5.55","3.19","1.02","1.30","1.08","0.36","1.52","5.71","3.87","4.10","36.00"
"1929","1.97","1.37","3.02","1.51","1.80","1.10","0.40","0.91","0.55","2.36","2.71","5.58","23.28"
"1930","2.64","7.18","2.81","3.20","2.81","2.35","0.06","0.22","2.93","7.03","2.37","2.39","35.99"
"1931","8.29","4.20","6.84","2.63","2.35","M","0.60","0.15","5.79","2.85","6.05","7.18","M"
