"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1892-1893","M","M","M","M","M","M","1.0","26.0","12.0","6.0","M","M","M"
"1893-1894","M","M","M","M","M","4.0","M","11.0","M","M","M","M","M"
"1894-1895","M","M","M","1.0","4.0","31.0","18.0","3.0","5.0","M","M","M","M"
"1895-1896","M","M","M","M","2.0","17.0","27.5","M","7.0","0.6","1.5","M","M"
"1896-1897","M","M","M","M","20.5","9.0","16.5","23.5","13.0","M","M","M","M"
"1897-1898","M","M","M","M","17.5","33.5","1.0","6.0","1.0","M","M","M","M"
"1898-1899","M","M","M","M","15.5","10.0","27.0","12.5","0.5","1.0","M","M","M"
"1899-1900","M","M","M","0.5","2.0","M","3.0","M","M","M","0.0","0.0","M"
"1900-1901","0.0","M","0.0","M","6.0","0.3","16.0","11.5","4.0","M","M","0.0","M"
"1901-1902","0.0","0.0","0.0","M","6.0","2.5","6.3","31.0","0.0","0.7","0.0","0.0","M"
"1902-1903","0.0","0.0","0.0","0.0","9.0","32.0","18.5","2.0","2.0","0.5","M","M","M"
"1903-1904","M","M","M","M","24.0","11.5","15.3","31.5","19.0","0.0","T","0.0","M"
"1904-1905","M","0.0","0.0","M","2.0","13.0","M","4.0","M","0.0","M","M","M"
"1905-1906","M","M","M","2.0","2.0","11.2","10.0","7.0","3.0","M","M","M","M"
"1906-1907","M","M","M","M","M","31.0","11.0","10.0","11.0","1.5","M","M","M"
"1907-1908","M","M","M","M","2.5","M","11.5","5.8","2.0","T","M","M","M"
"1908-1909","0.0","M","M","3.0","T","6.3","M","M","M","M","T","M","M"
"1909-1910","M","M","0.0","0.0","12.0","22.5","5.8","10.0","M","M","0.0","0.0","M"
"1910-1911","0.0","M","M","M","23.7","9.8","7.0","11.7","2.0","M","M","M","M"
"1911-1912","M","M","M","M","9.5","20.3","M","0.1","6.5","M","M","M","M"
"1912-1913","0.0","M","M","3.0","5.0","15.6","19.5","7.0","M","2.0","M","M","M"
"1913-1914","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1914-1915","M","M","M","M","M","15.5","19.7","18.0","2.0","0.0","0.0","M","M"
"1915-1916","M","0.0","M","0.0","28.5","27.0","M","35.0","11.5","0.0","M","M","M"
"1916-1917","M","M","0.0","M","6.0","14.5","4.5","11.5","12.0","16.0","0.0","0.0","M"
"1917-1918","M","M","M","M","7.0","17.5","5.0","11.5","M","0.0","0.0","M","M"
"1918-1919","0.0","M","M","0.0","1.0","4.5","13.5","M","6.5","0.0","0.0","0.0","M"
"1919-1920","0.0","M","0.0","T","5.8","12.0","4.0","1.5","0.0","1.0","M","M","M"
"1920-1921","M","M","0.0","T","3.8","20.8","26.1","7.6","5.2","0.5","0.0","0.0","M"
"1921-1922","M","0.0","0.0","0.0","15.0","M","M","8.0","5.5","1.0","0.0","0.0","M"
"1922-1923","0.0","0.0","M","0.0","4.0","M","7.8","8.5","1.5","1.5","M","0.0","M"
"1923-1924","0.0","M","M","M","1.2","14.0","13.8","7.7","1.0","0.0","M","0.0","M"
