"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1944-1945","M","M","M","M","M","M","M","M","M","0.0","0.0","0.0","M"
"1945-1946","0.0","0.0","0.0","0.0","M","0.0","T","T","0.0","0.0","0.0","0.0","M"
"1946-1947","0.0","0.0","0.0","0.0","0.9","T","M","0.0","0.0","0.0","0.0","0.0","M"
"1947-1948","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1948-1949","0.0","0.0","0.0","0.0","0.0","0.2","M","M","0.0","0.0","0.0","0.0","M"
"1949-1950","0.0","0.0","0.0","0.0","0.0","2.9","17.4","T","T","0.0","0.0","0.0","20.3"
"1950-1951","0.0","0.0","0.0","T","T","T","T","T","15.5","0.0","0.0","0.0","15.5"
"1951-1952","0.0","0.0","0.0","0.0","0.0","4.0","2.4","T","T","0.0","0.0","0.0","M"
"1952-1953","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","T","0.0","0.0","0.0","T"
"1953-1954","0.0","0.0","0.0","0.0","T","0.4","4.8","T","T","T","0.0","0.0","5.2"
"1954-1955","0.0","0.0","0.0","0.0","0.0","T","0.0","3.0","3.3","0.0","0.0","0.0","6.3"
"1955-1956","0.0","0.0","0.0","0.0","0.9","4.4","1.0","8.1","8.7","0.0","0.0","0.0","23.1"
"1956-1957","0.0","0.0","0.0","0.0","0.0","5.0","M","10.2","0.0","0.0","0.0","0.0","M"
"1957-1958","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","T"
"1958-1959","0.0","0.0","0.0","0.0","T","0.0","2.5","4.4","T","0.0","0.0","0.0","6.9"
"1959-1960","0.0","0.0","0.0","0.0","T","T","0.8","0.0","4.6","0.0","0.0","0.0","5.4"
"1960-1961","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","1.5","0.0","0.0","0.0","1.5"
"1961-1962","0.0","0.0","0.0","0.0","0.0","0.2","0.8","6.2","8.0","0.0","0.0","0.0","15.2"
"1962-1963","0.0","0.0","0.0","0.0","T","T","1.6","0.0","0.0","0.0","0.0","0.0","1.6"
"1963-1964","0.0","0.0","0.0","0.0","T","0.0","1.0","T","T","0.0","0.0","0.0","1.0"
"1964-1965","0.0","0.0","0.0","0.0","T","12.6","2.7","0.8","T","T","T","0.0","16.1"
"1965-1966","0.0","0.0","0.0","0.0","0.0","5.2","2.0","T","1.0","T","0.0","0.0","8.2"
"1966-1967","0.0","0.0","0.0","0.0","0.0","1.4","0.8","0.0","T","0.0","0.0","0.0","2.2"
"1967-1968","0.0","0.0","0.0","0.0","0.0","T","1.8","0.0","0.0","T","0.0","0.0","1.8"
"1968-1969","0.0","0.0","0.0","0.0","T","2.8","9.3","T","0.0","0.0","0.0","0.0","12.1"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.6"
"1970-1971","0.0","0.0","0.0","0.0","0.5","1.0","9.6","2.6","T","0.0","0.0","0.0","13.7"
"1971-1972","0.0","0.0","0.0","0.0","0.0","11.6","9.8","T","0.2","0.5","0.0","0.0","22.1"
"1972-1973","0.0","0.0","0.0","0.0","0.0","2.7","1.5","T","T","0.0","0.0","0.0","4.2"
"1973-1974","0.0","0.0","0.0","0.0","1.9","T","2.0","T","1.1","T","0.0","0.0","5.0"
"1974-1975","0.0","0.0","0.0","0.0","0.0","T","8.5","0.3","T","T","0.0","0.0","8.8"
"1975-1976","0.0","0.0","0.0","0.0","0.9","2.2","T","1.4","T","T","0.0","0.0","4.5"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","T","0.0","0.0","0.0","T"
"1977-1978","0.0","0.0","0.0","0.0","T","T","2.0","0.0","0.0","0.0","0.0","0.0","2.0"
"1978-1979","0.0","0.0","0.0","0.0","0.3","0.1","0.7","1.5","T","0.0","0.0","0.0","2.6"
"1979-1980","0.0","0.0","0.0","0.0","0.0","T","9.7","1.0","T","0.0","0.0","0.0","10.7"
"1980-1981","0.0","0.0","0.0","0.0","0.0","4.5","0.0","0.1","0.0","1.3","0.0","0.0","5.9"
"1981-1982","0.0","0.0","0.0","0.0","0.0","2.5","6.7","T","0.0","0.0","0.0","0.0","9.2"
"1982-1983","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1983-1984","0.0","0.0","0.0","0.0","0.0","1.0","T","0.0","0.0","0.0","0.0","0.0","1.0"
"1984-1985","0.0","0.0","0.0","T","T","2.2","0.0","T","T","0.0","0.0","0.0","2.2"
"1985-1986","0.0","0.0","0.0","0.0","13.2","0.3","0.0","3.8","0.0","0.0","0.0","0.0","17.3"
"1986-1987","0.0","0.0","0.0","0.0","0.6","0.0","T","0.0","0.0","0.0","0.0","0.0","0.6"
"1987-1988","0.0","0.0","0.0","0.0","0.0","T","0.0","T","0.0","0.0","0.0","0.0","T"
"1988-1989","0.0","0.0","0.0","0.0","0.0","T","1.3","0.4","1.2","T","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","T","8.1","T","0.0","0.0","0.0","8.1"
"1990-1991","0.0","0.0","0.0","0.0","T","2.9","0.3","0.0","T","0.0","0.0","0.0","3.2"
"1991-1992","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.5"
"1992-1993","0.0","0.0","0.0","0.0","0.0","8.4","T","T","0.0","0.0","0.0","0.0","8.4"
"1993-1994","0.0","0.0","0.0","0.0","0.1","T","0.0","0.2","T","0.0","0.0","0.0","0.3"
"1994-1995","0.0","0.0","0.0","0.0","T","T","0.0","7.4","2.3","0.0","0.0","0.0","9.7"
"1995-1996","0.0","0.0","0.0","0.0","T","T","7.8","0.0","0.0","0.0","0.0","0.0","7.8"
"1996-1997","0.0","0.0","0.0","0.0","3.3","15.3","0.0","0.0","T","0.0","0.0","0.0","18.6"
"1997-1998","0.0","0.0","0.0","0.0","0.0","T","5.3","0.0","T","0.0","0.0","0.0","5.3"
"1998-1999","0.0","0.0","0.0","0.0","0.0","2.3","M","M","M","M","M","M","M"
"1999-2000","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2000-2001","M","M","M","M","M","M","M","4.6","0.0","0.0","0.0","0.0","M"
"2001-2002","0.0","0.0","0.0","0.0","T","T","2.3","0.0","5.0","0.0","T","0.0","7.3"
"2002-2003","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","T","0.0","0.0","T"
"2003-2004","0.0","0.0","0.0","0.0","T","T","0.7","0.0","T","0.0","M","M","M"
"2004-2005","0.0","0.0","0.0","0.0","0.0","M","0.5","0.0","0.0","0.0","0.0","0.0","M"
"2005-2006","0.0","0.0","0.0","0.0","T","M","M","T","T","M","0.0","0.0","M"
"2006-2007","0.0","0.0","M","T","M","M","M","0.3","M","M","M","M","M"
"2007-2008","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2008-2009","M","M","M","M","M","M","M","M","M","M","M","M","M"
