"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1912","M","M","M","30","35","35","41","39","35","29","27","26","M"
"1913","13","19","15","27","31","37","39","38","35","31","27","20","13"
"1914","24","20","26","28","33","36","36","41","39","32","26","12","12"
"1915","17","24","29","29","34","38","42","43","32","32","23","18","17"
"1916","2","17","26","29","29","35","41","38","33","20","15","18","2"
"1917","M","21","23","M","M","M","36","36","30","22","26","M","M"
"1918","21","23","22","25","33","35","M","M","M","28","24","20","M"
"1919","20","23","27","28","29","M","37","38","26","19","19","0","M"
"1920","16","M","21","29","31","36","41","39","40","30","22","22","M"
"1921","22","19","27","25","30","40","40","42","32","27","26","18","18"
"1922","0","13","23","28","31","40","40","40","38","30","21","M","M"
"1923","M","M","28","M","M","M","M","M","M","M","M","M","M"
"1924","M","M","M","M","M","M","38","37","33","M","22","0","M"
"1925","25","29","26","29","37","40","44","37","35","27","23","26","23"
"1926","22","26","26","31","31","40","40","43","28","29","27","11","11"
"1927","12","22","25","23","32","42","42","44","39","30","31","13","12"
"1928","20","26","23","29","33","38","44","41","33","26","24","17","17"
"1929","8","-4","27","27","33","34","40","40","30","27","19","25","-4"
"1930","0","23","24","32","30","36","40","38","34","28","25","20","0"
"1931","27","26","24","31","35","39","42","42","34","29","19","20","M"
"1932","21","9","26","32","33","36","42","45","34","31","26","8","8"
"1933","23","10","26","29","35","35","41","41","30","33","29","30","10"
"1934","26","28","28","29","35","38","41","43","30","30","33","26","26"
"1935","4","22","26","23","32","37","41","39","35","26","14","20","4"
"1936","20","14","23","26","35","43","44","43","35","35","18","24","14"
"1937","5","23","28","28","32","38","42","37","34","33","29","23","5"
"1938","23","23","25","26","30","33","42","M","40","26","22","20","M"
"1939","26","21","26","28","32","35","40","40","35","24","30","24","21"
"1940","24","26","29","31","32","39","41","42","35","31","22","16","16"
"1941","24","24","24","31","33","40","43","47","33","32","26","23","23"
"1942","10","21","26","31","M","39","46","45","31","25","23","27","M"
"1943","4","24","19","30","32","39","34","M","35","28","27","20","M"
"1944","20","22","20","31","30","37","41","37","35","32","25","13","M"
"1945","20","23","26","29","36","M","M","M","M","M","M","10","M"
"1946","25","25","M","M","M","M","M","M","M","M","M","M","M"
"1947","M","23","M","32","36","M","M","M","M","M","25","M","M"
"1948","M","M","M","M","M","M","M","M","M","M","22","14","M"
"1949","9","13","27","30","31","39","M","39","M","M","M","M","M"
"1950","M","-5","M","M","M","M","M","M","M","M","M","M","M"
"1951","12","23","25","M","33","39","46","43","40","28","26","19","M"
"1952","11","26","26","26","30","39","41","43","39","32","16","23","11"
"1953","30","26","24","27","34","41","42","44","38","29","25","27","M"
"1954","10","29","22","29","27","39","40","42","34","30","31","24","10"
"1955","25","22","10","29","35","41","44","43","36","33","6","19","M"
"1956","12","12","20","29","34","33","44","44","36","32","23","13","12"
"1957","3","19","30","31","40","43","45","42","34","28","23","M","M"
"1958","27","26","M","32","35","42","46","44","38","29","17","M","M"
