"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1947-1948","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1948-1949","0.0","0.0","0.0","0.0","0.7","5.4","2.5","12.3","0.5","0.0","0.0","0.0","21.4"
"1949-1950","0.0","0.0","0.0","0.0","0.0","T","55.5","6.8","3.8","0.0","0.0","0.0","66.1"
"1950-1951","0.0","0.0","0.0","0.0","T","1.4","5.4","2.1","6.2","0.0","0.0","0.0","15.1"
"1951-1952","0.0","0.0","0.0","0.0","T","9.7","21.8","6.8","T","0.0","0.0","0.0","38.3"
"1952-1953","0.0","0.0","0.0","0.0","T","5.6","0.3","0.0","T","0.0","0.0","0.0","5.9"
"1953-1954","0.0","0.0","0.0","0.0","0.0","T","32.2","1.4","0.0","0.0","0.0","T","33.6"
"1954-1955","0.0","0.0","0.0","0.0","0.0","0.1","5.2","2.7","3.5","0.0","0.0","0.0","11.5"
"1955-1956","0.0","0.0","0.0","0.0","9.8","13.6","13.7","4.4","T","0.0","0.0","0.0","41.5"
"1956-1957","0.0","0.0","0.0","0.0","T","0.3","23.0","7.4","2.2","0.0","0.0","0.0","32.9"
"1957-1958","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1958-1959","0.0","0.0","0.0","0.0","T","T","0.6","4.2","0.0","0.0","0.0","0.0","4.8"
"1959-1960","0.0","0.0","0.0","0.0","T","1.1","13.0","0.2","14.0","0.0","0.0","0.0","28.3"
"1960-1961","0.0","0.0","0.0","0.0","0.0","2.6","T","T","T","0.0","0.0","0.0","2.6"
"1961-1962","0.0","0.0","0.0","0.0","T","3.5","4.2","1.7","2.0","0.0","0.0","0.0","11.4"
"1962-1963","0.0","0.0","0.0","0.0","0.0","T","11.4","T","0.0","0.0","0.0","0.0","11.4"
"1963-1964","0.0","0.0","0.0","0.0","0.0","1.6","0.1","0.0","0.0","0.0","0.0","0.0","1.7"
"1964-1965","0.0","0.0","0.0","0.0","0.1","16.1","15.0","0.0","2.0","0.0","0.0","0.0","33.2"
"1965-1966","0.0","0.0","0.0","0.0","0.0","4.4","5.0","T","T","0.0","0.0","0.0","9.4"
"1966-1967","0.0","0.0","0.0","0.0","0.0","5.0","T","T","0.0","0.0","0.0","0.0","5.0"
"1967-1968","0.0","0.0","0.0","0.0","0.0","8.0","6.1","2.0","0.0","T","0.0","0.0","16.1"
"1968-1969","0.0","0.0","0.0","0.0","T","23.0","17.4","2.6","0.0","0.0","0.0","0.0","43.0"
"1969-1970","0.0","0.0","0.0","0.0","0.0","1.0","17.0","T","T","0.0","0.0","0.0","18.0"
"1970-1971","0.0","0.0","0.0","0.0","1.5","6.1","2.0","T","T","0.0","0.0","0.0","9.6"
"1971-1972","0.0","0.0","0.0","T","0.0","7.3","2.0","1.0","T","0.0","0.0","0.0","10.3"
"1972-1973","0.0","0.0","0.0","0.0","0.0","18.6","3.0","4.0","0.0","0.0","0.0","0.0","25.6"
"1973-1974","0.0","0.0","0.0","0.0","11.8","10.8","6.0","0.0","T","0.0","0.0","0.0","28.6"
"1974-1975","0.0","0.0","0.0","0.0","0.0","T","3.5","10.2","T","0.0","0.0","0.0","13.7"
"1975-1976","0.0","0.0","0.0","0.0","7.0","2.6","1.1","T","0.0","0.0","0.0","0.0","10.7"
"1976-1977","0.0","0.0","0.0","0.0","0.0","T","3.2","T","0.0","0.0","0.0","0.0","3.2"
"1977-1978","0.0","0.0","0.0","0.0","20.4","2.5","1.9","1.0","1.2","0.0","0.0","0.0","27.0"
"1978-1979","0.0","0.0","0.0","0.0","3.7","1.8","19.7","T","T","0.0","0.0","0.0","25.2"
"1979-1980","0.0","0.0","0.0","0.0","1.5","1.1","28.8","4.0","3.1","0.0","0.0","0.0","38.5"
"1980-1981","0.0","0.0","0.0","0.0","T","3.0","T","1.1","0.0","0.0","0.0","0.0","4.1"
"1981-1982","0.0","0.0","0.0","0.0","0.0","8.3","7.2","0.3","0.0","0.0","0.0","0.0","15.8"
"1982-1983","0.0","0.0","0.0","0.0","T","0.8","0.6","4.2","0.0","0.0","0.0","0.0","5.6"
"1983-1984","0.0","0.0","0.0","0.0","T","18.5","0.4","0.0","0.0","0.0","0.0","0.0","18.9"
"1984-1985","0.0","0.0","0.0","0.0","T","3.0","0.6","16.7","0.5","0.0","0.0","0.0","20.8"
"1985-1986","0.0","0.0","0.0","0.0","21.5","8.0","2.9","10.8","0.0","0.0","0.0","0.0","43.2"
"1986-1987","0.0","0.0","0.0","0.0","T","1.9","5.8","0.0","0.0","0.0","0.0","0.0","7.7"
"1987-1988","0.0","0.0","0.0","0.0","T","6.4","11.8","0.0","0.0","0.0","0.0","0.0","18.2"
"1988-1989","0.0","T","0.0","0.0","0.0","T","0.4","6.2","4.7","0.0","0.0","0.0","11.3"
"1989-1990","0.0","0.0","0.0","0.0","0.0","T","0.0","0.4","0.0","0.0","0.0","0.0","0.4"
"1990-1991","0.0","0.0","0.0","0.0","0.0","8.0","3.1","0.0","0.4","T","0.0","0.0","11.5"
"1991-1992","0.0","0.0","0.0","2.0","T","2.1","T","0.0","0.0","0.0","0.0","0.0","4.1"
"1992-1993","0.0","0.0","0.0","T","T","20.0","12.8","10.0","2.9","0.0","0.0","0.0","45.7"
"1993-1994","0.0","0.0","0.0","0.0","2.9","1.5","0.0","7.8","0.0","0.0","0.0","0.0","12.2"
"1994-1995","0.0","0.0","0.0","0.0","0.0","0.7","5.7","6.0","0.0","0.0","0.0","0.0","12.4"
"1995-1996","0.0","0.0","0.0","0.0","0.0","3.0","26.5","0.8","T","0.0","0.0","0.0","30.3"
"1996-1997","0.0","0.0","0.0","0.0","1.3","12.7","2.8","0.5","1.2","0.0","0.0","0.0","18.5"
"1997-1998","0.0","0.0","0.0","0.0","0.0","T","20.6","0.0","0.0","0.0","0.0","0.0","20.6"
"1998-1999","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.1","0.0","0.0","0.0","0.0","0.3"
"1999-2000","0.0","0.0","0.0","0.0","0.0","T","7.9","1.2","0.0","0.0","0.0","0.0","9.1"
