"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1892-1893","M","M","M","M","M","M","13.9","M","M","M","M","M","M"
"1893-1894","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1894-1895","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1895-1896","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1896-1897","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1897-1898","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1898-1899","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1899-1900","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1900-1901","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1901-1902","M","M","M","M","M","M","3.5","0.0","0.5","T","0.0","0.0","M"
"1902-1903","0.0","0.0","0.0","0.0","0.0","1.5","2.2","M","4.0","M","M","M","M"
"1903-1904","M","M","M","0.0","T","0.0","1.3","M","M","M","M","M","M"
"1904-1905","M","M","M","M","M","M","8.0","0.0","0.0","0.0","M","M","M"
"1905-1906","M","M","M","M","T","0.5","2.5","M","2.0","M","M","M","M"
"1906-1907","M","M","M","M","M","M","2.9","1.5","0.0","M","0.0","M","M"
"1907-1908","M","M","M","M","M","M","T","0.5","M","0.0","M","M","M"
"1908-1909","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1909-1910","M","M","M","M","0.0","6.0","T","1.0","T","0.0","0.0","0.0","M"
"1910-1911","M","M","M","M","0.0","M","10.8","M","M","1.0","M","M","M"
"1911-1912","M","M","M","M","8.5","T","15.0","T","M","M","M","M","M"
"1912-1913","M","M","M","0.0","M","0.5","10.5","T","0.5","0.0","M","M","M"
"1913-1914","M","M","M","M","M","T","2.0","M","T","0.0","M","M","M"
"1914-1915","M","M","M","0.0","M","M","0.0","M","0.0","M","0.0","0.0","M"
"1915-1916","M","0.0","M","M","0.0","0.5","22.0","9.2","T","0.0","M","0.0","M"
"1916-1917","M","M","M","M","M","1.5","7.3","10.7","M","M","0.0","0.0","M"
"1917-1918","M","0.0","M","0.0","M","M","T","6.0","0.8","0.0","M","M","M"
"1918-1919","M","M","M","M","T","M","T","T","0.0","0.0","M","0.0","M"
"1919-1920","0.0","M","0.0","0.5","M","10.5","M","M","1.5","0.5","0.0","0.0","M"
"1920-1921","M","M","0.0","0.0","0.0","T","1.5","4.0","M","0.0","0.0","0.0","M"
"1921-1922","M","M","M","0.0","8.5","6.0","M","0.3","M","T","0.0","0.0","M"
"1922-1923","0.0","M","0.0","M","M","M","M","M","M","M","M","M","M"
"1923-1924","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1924-1925","M","0.0","M","M","M","1.0","0.0","0.0","0.0","0.0","M","M","M"
"1925-1926","M","M","M","M","M","M","0.0","0.0","M","M","M","M","M"
"1926-1927","M","M","M","M","0.0","0.9","T","M","T","T","M","M","M"
"1927-1928","M","M","M","M","M","M","T","M","M","M","M","M","M"
"1928-1929","M","M","M","M","M","M","0.7","M","M","M","M","M","M"
"1929-1930","M","M","M","M","M","M","18.5","0.5","M","M","M","M","M"
"1930-1931","M","M","M","M","M","M","0.0","0.0","T","0.0","0.0","0.0","M"
"1931-1932","0.0","0.0","0.0","0.0","0.0","T","5.0","T","T","0.0","0.0","0.0","5.0"
"1932-1933","0.0","0.0","0.0","0.0","0.0","T","4.3","4.5","0.0","T","0.0","0.0","8.8"
"1933-1934","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","T"
