"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1928-1929","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1929-1930","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1930-1931","0.0","M","M","M","M","M","M","M","M","M","M","M","M"
"1931-1932","M","M","M","M","M","M","16.0","M","M","M","M","M","M"
"1932-1933","M","M","M","M","M","M","8.0","M","M","M","M","0.0","M"
"1933-1934","0.0","M","M","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","M","M"
"1934-1935","M","M","0.0","0.0","0.0","T","15.0","0.0","M","0.0","0.0","0.0","M"
"1935-1936","M","M","0.0","T","0.0","0.0","T","M","M","0.0","M","0.0","M"
"1936-1937","0.0","0.0","0.0","0.0","0.0","T","M","M","0.0","0.0","M","0.0","M"
"1937-1938","M","M","M","M","M","M","M","M","M","M","0.0","M","M"
"1938-1939","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1939-1940","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1940-1941","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1941-1942","M","M","M","M","M","M","0.0","T","M","M","M","M","M"
"1942-1943","M","M","M","M","M","M","18.0","T","M","0.0","0.0","0.0","M"
"1943-1944","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1944-1945","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","T"
"1945-1946","0.0","0.0","0.0","0.0","T","0.0","0.0","3.5","0.0","T","0.0","0.0","3.5"
"1946-1947","0.0","0.0","0.0","0.0","T","0.0","M","0.0","0.0","M","M","0.0","M"
"1947-1948","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1948-1949","0.0","0.0","0.0","M","0.0","T","7.0","25.0","T","0.0","0.0","0.0","M"
"1949-1950","0.0","0.0","0.0","T","0.0","5.1","39.5","M","T","0.0","T","0.0","M"
"1950-1951","0.0","0.0","0.0","0.0","T","0.0","T","M","M","0.0","0.0","0.0","M"
"1951-1952","0.0","0.0","0.0","0.0","0.0","1.0","M","T","T","0.0","0.0","0.0","M"
"1952-1953","0.0","0.0","0.0","0.0","0.0","T","0.0","T","0.0","0.0","T","0.0","T"
"1953-1954","0.0","0.0","M","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
"1954-1955","M","M","0.0","0.0","M","M","0.0","M","M","M","M","0.0","M"
"1955-1956","0.0","0.0","0.0","T","M","M","M","M","M","0.0","0.0","0.0","M"
"1956-1957","0.0","0.0","0.0","T","0.0","M","M","M","T","0.0","0.0","0.0","M"
"1957-1958","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","M","M","M","0.0","M"
"1958-1959","0.0","0.0","0.0","0.0","0.0","0.0","M","M","M","M","0.0","0.0","M"
"1959-1960","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","M","T","0.0","0.0","M"
"1960-1961","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","M","M","0.0","0.0","M"
"1961-1962","0.0","0.0","0.0","0.0","0.0","M","T","0.0","M","0.0","0.0","0.0","M"
"1962-1963","0.0","0.0","0.0","0.0","T","0.0","M","0.0","0.0","0.5","0.0","0.0","M"
"1963-1964","0.0","0.0","0.0","0.0","0.0","0.0","M","T","0.0","T","M","0.0","M"
"1964-1965","M","0.0","0.0","0.0","M","M","M","M","0.0","M","M","M","M"
"1965-1966","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1966-1967","0.0","M","M","M","M","M","M","M","M","0.0","M","M","M"
"1967-1968","M","M","M","M","M","M","M","M","0.0","0.4","0.0","0.0","M"
"1968-1969","0.0","0.0","0.0","0.0","0.0","5.0","33.2","M","T","0.0","0.0","0.0","M"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1970-1971","0.0","0.0","0.0","0.0","T","5.3","19.2","2.3","2.9","T","0.0","0.0","29.7"
"1971-1972","0.0","0.0","0.0","0.0","0.0","4.0","3.0","T","0.4","T","0.0","0.0","7.4"
"1972-1973","0.0","0.0","0.0","0.0","0.0","10.0","1.0","0.0","T","0.0","0.0","0.0","11.0"
"1973-1974","0.0","0.0","0.0","0.0","T","0.0","0.1","T","0.0","0.0","0.0","0.0","0.1"
"1974-1975","0.0","0.0","0.0","0.0","0.0","T","3.3","0.6","0.0","0.0","0.0","0.0","3.9"
"1975-1976","0.0","0.0","0.0","0.0","0.0","0.0","T","0.8","T","T","0.0","0.0","0.8"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","T","0.0","T"
"1977-1978","0.0","0.0","0.0","0.0","T","T","0.0","0.0","0.0","0.0","0.0","0.0","T"
"1978-1979","0.0","0.0","0.0","0.0","T","2.0","T","T","T","0.0","0.0","0.0","2.0"
"1979-1980","0.0","0.0","0.0","0.0","0.0","0.0","7.9","8.0","0.3","0.0","0.0","0.0","16.2"
"1980-1981","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","T"
"1981-1982","0.0","0.0","0.0","0.0","0.0","0.8","M","T","0.0","0.0","0.0","0.0","M"
"1982-1983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","T"
"1983-1984","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"1984-1985","0.0","0.0","0.0","0.0","0.0","2.0","T","5.5","0.0","0.0","0.0","0.0","7.5"
"1985-1986","0.0","0.0","0.0","0.0","5.8","4.0","0.0","M","0.0","0.0","0.0","0.0","M"
"1986-1987","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1987-1988","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1988-1989","0.0","0.0","0.0","0.0","T","0.0","1.5","M","0.0","0.0","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.5","T","0.0","0.0","0.0","15.5"
"1990-1991","0.0","0.0","0.0","0.0","0.0","3.5","0.0","0.0","0.5","0.5","0.0","0.0","4.5"
"1991-1992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1992-1993","0.0","0.0","0.0","0.0","0.0","0.0","6.4","T","0.0","0.0","0.0","0.0","6.4"
"1993-1994","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","T","0.0","0.0","0.0","0.2"
"1994-1995","0.0","0.0","0.0","0.0","0.0","3.8","0.0","4.5","T","0.0","0.0","0.0","8.3"
"1995-1996","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.0","0.0","0.0","0.0","0.0","1.5"
"1996-1997","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1997-1998","0.0","0.0","0.0","0.0","0.0","0.0","4.7","0.0","0.0","0.0","0.0","0.0","4.7"
"1998-1999","0.0","0.0","0.0","0.0","0.0","M","0.0","1.8","0.8","0.0","0.0","0.0","M"
"1999-2000","0.0","0.0","0.0","0.0","0.0","M","T","0.0","0.0","0.0","0.0","0.0","M"
"2000-2001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
