"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1908-1909","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1909-1910","M","M","M","M","3.0","M","15.0","21.8","T","4.5","0.0","0.0","M"
"1910-1911","0.0","0.0","M","M","9.8","12.0","23.5","16.5","1.0","1.5","M","M","M"
"1911-1912","M","M","M","M","17.5","33.0","13.5","9.5","5.0","M","0.0","M","M"
"1912-1913","M","M","M","M","1.0","24.0","37.5","2.5","6.0","0.5","M","M","M"
"1913-1914","0.0","M","M","2.0","5.5","7.0","17.0","12.0","3.0","M","0.0","M","M"
"1914-1915","0.0","M","0.0","M","M","12.5","9.0","3.5","M","5.0","0.0","0.0","M"
"1915-1916","M","0.0","M","0.0","26.0","27.0","19.4","15.0","23.0","1.0","T","T","M"
"1916-1917","M","M","0.0","T","20.7","16.0","18.0","M","21.5","3.0","0.0","0.0","M"
"1917-1918","0.0","M","M","T","M","17.5","10.0","20.0","3.5","M","T","M","M"
"1918-1919","M","M","M","M","1.0","15.0","3.5","M","10.5","T","0.0","0.0","M"
"1919-1920","0.0","0.0","M","7.0","18.0","4.0","6.0","M","M","M","M","M","M"
"1920-1921","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1921-1922","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1922-1923","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1923-1924","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1924-1925","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1925-1926","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1926-1927","M","M","0.0","M","M","10.0","M","M","1.0","0.0","0.0","0.0","M"
"1927-1928","0.0","0.0","0.0","T","5.5","M","M","3.5","1.5","T","T","T","M"
"1928-1929","0.0","0.0","0.0","0.0","0.0","0.2","M","M","M","0.0","M","0.0","M"
"1929-1930","M","M","M","M","M","M","M","M","M","M","0.0","0.0","M"
"1930-1931","0.0","0.0","0.0","0.0","M","M","M","8.7","1.5","0.0","0.0","0.0","M"
"1931-1932","0.0","0.0","0.0","0.0","11.0","30.6","26.2","17.6","10.9","T","0.0","0.0","96.3"
"1932-1933","0.0","0.0","0.0","1.0","0.0","23.0","41.0","19.0","4.0","4.5","0.0","0.0","92.5"
"1933-1934","0.0","0.0","0.0","2.0","0.0","16.0","15.5","3.0","0.0","0.0","0.0","0.0","36.5"
"1934-1935","0.0","0.0","0.0","2.0","T","16.0","M","6.8","M","0.0","0.0","0.0","M"
"1935-1936","0.0","0.0","0.0","0.0","T","4.0","T","6.0","0.0","0.0","0.0","0.0","10.0"
"1936-1937","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1937-1938","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","T"
"1938-1939","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1939-1940","0.0","0.0","0.0","0.0","0.0","0.0","M","M","T","0.0","M","0.0","M"
"1940-1941","0.0","0.0","0.0","0.0","13.8","M","M","M","0.0","0.0","0.0","0.0","M"
"1941-1942","0.0","0.0","0.0","0.0","0.0","7.1","M","10.0","3.0","T","T","0.0","M"
"1942-1943","0.0","0.0","0.0","0.0","13.2","M","M","M","M","0.0","0.0","0.0","M"
"1943-1944","0.0","0.0","0.0","T","0.0","2.0","M","M","5.0","0.0","0.0","0.0","M"
"1944-1945","0.0","M","0.0","0.0","4.0","12.0","7.0","1.0","5.5","1.0","0.0","0.0","M"
"1945-1946","0.0","0.0","0.0","T","8.1","9.5","16.0","11.5","2.0","2.0","0.0","0.0","49.1"
"1946-1947","0.0","0.0","0.0","0.8","13.8","15.9","17.5","1.0","1.0","0.0","0.0","0.0","50.0"
"1947-1948","0.0","0.0","0.0","0.0","4.5","8.9","15.6","14.0","1.0","0.0","0.0","0.0","44.0"
"1948-1949","0.0","0.0","0.0","T","14.0","33.0","7.0","38.8","11.0","0.0","0.0","0.0","103.8"
"1949-1950","0.0","M","0.0","0.2","T","28.9","65.8","18.0","7.1","2.7","0.0","0.0","M"
"1950-1951","T","0.0","0.0","0.0","18.6","17.5","43.0","15.4","17.0","0.0","0.0","0.0","111.5"
"1951-1952","0.0","0.0","0.0","4.0","1.0","48.0","41.7","13.5","10.4","T","0.0","0.0","118.6"
"1952-1953","0.0","0.0","0.0","0.0","T","29.0","22.0","7.5","6.5","T","T","0.0","65.0"
"1953-1954","0.0","0.0","0.0","0.0","1.0","12.0","67.3","10.0","0.1","0.0","T","0.0","90.4"
"1954-1955","0.0","0.0","0.0","0.0","T","18.0","28.8","27.1","13.2","4.8","M","T","M"
"1955-1956","0.0","0.0","0.0","0.0","27.3","M","40.2","24.7","14.5","2.0","0.0","0.0","M"
"1956-1957","0.0","0.0","0.0","4.0","4.0","16.8","41.0","24.0","19.5","0.0","0.0","0.0","109.3"
"1957-1958","0.0","0.0","0.0","10.0","6.0","M","14.8","2.5","2.5","T","0.0","0.0","M"
"1958-1959","0.0","0.0","0.0","0.0","16.0","19.0","25.0","18.7","M","0.0","T","0.0","M"
"1959-1960","0.0","0.0","0.0","0.0","18.9","11.0","23.0","8.0","8.5","T","0.0","0.0","69.4"
"1960-1961","0.0","0.0","0.0","0.0","14.5","16.0","9.5","17.5","10.0","0.0","0.0","0.0","67.5"
"1961-1962","0.0","0.0","0.0","0.5","23.0","37.7","21.5","1.0","6.1","T","0.0","0.0","89.8"
"1962-1963","0.0","0.0","0.0","0.0","2.0","5.5","M","12.1","0.5","0.0","0.0","0.0","M"
"1963-1964","0.0","0.0","0.0","0.0","T","23.0","33.2","5.3","14.5","T","0.0","0.0","76.0"
"1964-1965","0.0","0.0","0.0","0.0","8.0","41.0","34.0","5.0","0.0","0.0","0.0","0.0","88.0"
"1965-1966","0.0","0.0","0.0","0.0","6.0","26.8","19.6","4.5","4.0","0.0","0.0","0.0","60.9"
